File.......:  202107290859_c-218_eis_rt - JUL,29.2021

System.....:  
Potential..:  0.006V
Current....:  -26.736nA
Temperature:  -0.7 +-0.1 C
Time.......:  08:59:28 - 09:00:16
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.2512e+02       -7.4648e+02        0.997           0.0
   2      7.5549e+05       2.2205e+02       -9.6849e+02        0.995           1.3
   3      5.7077e+05       3.4141e+02       -1.2545e+03        0.994           1.8
   4      4.3121e+05       6.3351e+02       -1.4971e+03        0.997           2.8
   5      3.2578e+05       9.8573e+02       -1.7766e+03        0.999           3.7
   6      2.4612e+05       1.4347e+03       -2.0135e+03        0.998           4.1
   7      1.8594e+05       1.9856e+03       -2.1321e+03        0.998           4.6
   8      1.4048e+05       2.5656e+03       -2.1463e+03        0.996           5.0
   9      1.0613e+05       3.0998e+03       -1.9853e+03        0.999           5.5
  10      8.0180e+04       3.5539e+03       -1.7583e+03        0.999           5.9
  11      6.0575e+04       3.8744e+03       -1.4808e+03        1.000           6.4
  12      4.5764e+04       4.1013e+03       -1.2094e+03        1.000           6.8
  13      3.4574e+04       4.2549e+03       -9.8082e+02        0.999           7.3
  14      2.6121e+04       4.3521e+03       -7.9265e+02        1.000           7.7
  15      1.9734e+04       4.4178e+03       -6.4092e+02        1.000           8.2
  16      1.4909e+04       4.4617e+03       -5.3342e+02        1.000           8.6
  17      1.1263e+04       4.4974e+03       -4.5423e+02        1.000           9.1
  18      8.5095e+03       4.5211e+03       -4.0664e+02        1.000           9.5
  19      6.4288e+03       4.5453e+03       -3.8417e+02        1.000          10.0
  20      4.8569e+03       4.5699e+03       -3.8590e+02        1.000          10.5
  21      3.6694e+03       4.5971e+03       -3.9738e+02        1.000          10.9
  22      2.7722e+03       4.6273e+03       -4.4055e+02        1.000          11.4
  23      2.0944e+03       4.6640e+03       -5.0488e+02        1.000          11.8
  24      1.5823e+03       4.7096e+03       -5.9269e+02        1.000          12.3
  25      1.1954e+03       4.7658e+03       -7.1143e+02        1.000          12.8
  26      9.0311e+02       4.8365e+03       -8.6071e+02        1.000          13.2
  27      6.8229e+02       4.9248e+03       -1.0491e+03        1.000          13.7
  28      5.1546e+02       5.0363e+03       -1.2833e+03        1.000          14.1
  29      3.8943e+02       5.1816e+03       -1.5657e+03        1.000          14.6
  30      2.9421e+02       5.3608e+03       -1.9146e+03        1.000          15.1
  31      2.2227e+02       5.5902e+03       -2.3296e+03        1.000          15.5
  32      1.6793e+02       5.8736e+03       -2.8339e+03        1.000          16.0
  33      1.2687e+02       6.2150e+03       -3.4360e+03        1.000          16.7
  34      9.5846e+01       6.6497e+03       -4.1496e+03        0.999          17.4
  35      7.2411e+01       7.1842e+03       -4.9935e+03        0.999          18.0
  36      5.4092e+01       7.8551e+03       -6.0422e+03        0.999          19.4
  37      3.9533e+01       8.7524e+03       -7.3925e+03        0.999          21.2
  38      2.8174e+01       9.9747e+03       -9.1561e+03        0.999          22.6
  39      1.9503e+01       1.1667e+04       -1.1503e+04        0.999          24.2
  40      1.3058e+01       1.4065e+04       -1.4678e+04        0.999          26.0
  41      8.4196e+00       1.7560e+04       -1.9027e+04        0.999          28.2
  42      5.2123e+00       2.2746e+04       -2.5010e+04        0.999          30.8
  43      3.0979e+00       3.0489e+04       -3.3148e+04        0.999          34.1
  44      1.7783e+00       4.1921e+04       -4.3949e+04        0.998          39.1
  45      1.0000e+00       5.7815e+04       -5.7607e+04        0.998          46.0

