File.......:  202107300846_c-219_eis_rt - JUL,30.2021

System.....:  
Potential..:  -0.009V
Current....:  -8.5585pA
Temperature:  -0.6 +-0.2 C
Time.......:  08:46:18 - 08:47:08
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -1.4525e+01       -7.1847e+02        0.997           0.0
   2      7.5549e+05      -3.4011e+00       -9.6486e+02        0.996           1.8
   3      5.7077e+05      -1.8258e+01       -1.2876e+03        0.990           2.3
   4      4.3121e+05       4.6847e+01       -1.6701e+03        0.997           3.3
   5      3.2578e+05       6.9703e+01       -2.1843e+03        0.997           4.2
   6      2.4612e+05       1.0895e+02       -2.8881e+03        0.997           4.7
   7      1.8594e+05       1.4625e+02       -3.8167e+03        0.999           5.1
   8      1.4048e+05       1.8874e+02       -4.9737e+03        0.996           5.5
   9      1.0613e+05       2.3512e+02       -6.5468e+03        0.999           6.0
  10      8.0180e+04       3.0993e+02       -8.5728e+03        0.997           6.4
  11      6.0575e+04       5.2999e+02       -1.1293e+04        0.998           7.1
  12      4.5764e+04       6.7774e+02       -1.4834e+04        0.999           7.8
  13      3.4574e+04       8.0079e+02       -1.9484e+04        0.998           8.2
  14      2.6121e+04       1.0296e+03       -2.5623e+04        0.998           8.7
  15      1.9734e+04       1.2659e+03       -3.3737e+04        0.999           9.2
  16      1.4909e+04       1.6753e+03       -4.4492e+04        0.997           9.6
  17      1.1263e+04       2.1507e+03       -5.8459e+04        0.998          10.1
  18      8.5095e+03       2.5822e+03       -7.7093e+04        0.999          10.5
  19      6.4288e+03       4.7798e+03       -1.0151e+05        0.999          11.2
  20      4.8569e+03       5.9601e+03       -1.3387e+05        0.997          11.9
  21      3.6694e+03       7.6871e+03       -1.7595e+05        0.999          12.4
  22      2.7722e+03       9.8415e+03       -2.3152e+05        0.997          12.8
  23      2.0944e+03       1.3062e+04       -3.0489e+05        0.999          13.3
  24      1.5823e+03       1.7992e+04       -4.0126e+05        0.999          13.7
  25      1.1954e+03       2.4715e+04       -5.2819e+05        0.996          14.2
  26      9.0311e+02       3.5761e+04       -6.9450e+05        0.999          14.7
  27      6.8229e+02       6.9131e+04       -9.1666e+05        0.998          15.3
  28      5.1546e+02       9.2249e+04       -1.1989e+06        0.997          16.0
  29      3.8943e+02       1.2973e+05       -1.5774e+06        0.997          16.5
  30      2.9421e+02       1.7986e+05       -2.0521e+06        0.998          17.0
  31      2.2227e+02       3.2148e+05       -2.7401e+06        0.991          17.4
  32      1.6793e+02       3.9662e+05       -3.5196e+06        0.993          17.9
  33      1.2687e+02       5.6922e+05       -4.5685e+06        0.997          18.3
  34      9.5846e+01       6.5137e+05       -5.8163e+06        0.991          18.9
  35      7.2411e+01       1.1681e+06       -7.4139e+06        0.995          19.5
  36      5.4092e+01      -4.4859e+06       -1.0629e+07        0.981          20.9
  37      3.9533e+01       4.3698e+06       -1.5623e+07        0.979          22.8
  38      2.8174e+01       6.8382e+06       -2.0235e+07        0.876          24.2
  39      1.9503e+01       8.1877e+06       -2.0923e+07        0.903          25.9
  40      1.3058e+01       1.7479e+07       -2.9049e+07        0.947          27.8
  41      8.4196e+00       3.0349e+07       -3.6011e+07        0.869          30.0
  42      5.2123e+00       4.4906e+07       -3.5653e+07        0.951          32.6
  43      3.0979e+00       5.9898e+07       -3.6307e+07        0.998          36.7
  44      1.7783e+00       7.3797e+07       -3.0073e+07        0.998          42.3
  45      1.0000e+00       8.3726e+07       -2.2693e+07        0.984          46.8

