File.......:  202108061349_c-233_eis_rt - AUG,06.2021

System.....:  
Potential..:  0.010V
Current....:  -268.61pA
Temperature:  -0.7 +-0.0 C
Time.......:  13:49:56 - 13:50:48
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.1898e+01       -6.3099e+02        0.991           0.0
   2      7.5549e+05       2.0369e+01       -8.3939e+02        0.994           1.8
   3      5.7077e+05       4.5058e+01       -1.0858e+03        0.984           2.3
   4      4.3121e+05       1.0504e+02       -1.4072e+03        0.997           3.3
   5      3.2578e+05       1.4169e+02       -1.8353e+03        0.998           4.2
   6      2.4612e+05       2.0390e+02       -2.3927e+03        0.997           4.7
   7      1.8594e+05       2.6916e+02       -3.1125e+03        0.998           5.1
   8      1.4048e+05       3.3800e+02       -4.0517e+03        0.997           5.5
   9      1.0613e+05       4.1697e+02       -5.2941e+03        0.998           6.0
  10      8.0180e+04       5.1842e+02       -6.9475e+03        0.998           6.4
  11      6.0575e+04       6.8590e+02       -9.0155e+03        0.997           6.9
  12      4.5764e+04       9.9960e+02       -1.1793e+04        0.999           7.6
  13      3.4574e+04       1.2662e+03       -1.5414e+04        0.998           8.2
  14      2.6121e+04       1.6304e+03       -2.0154e+04        0.998           8.7
  15      1.9734e+04       2.1819e+03       -2.6400e+04        0.998           9.2
  16      1.4909e+04       2.9189e+03       -3.4526e+04        0.999           9.6
  17      1.1263e+04       3.9982e+03       -4.5178e+04        0.998          10.1
  18      8.5095e+03       5.6546e+03       -5.9127e+04        0.998          10.5
  19      6.4288e+03       7.9315e+03       -7.7222e+04        0.998          11.0
  20      4.8569e+03       1.2469e+04       -1.0084e+05        0.997          11.7
  21      3.6694e+03       1.8321e+04       -1.3149e+05        0.999          12.4
  22      2.7722e+03       2.7081e+04       -1.7085e+05        0.998          12.8
  23      2.0944e+03       4.0769e+04       -2.2132e+05        0.997          13.3
  24      1.5823e+03       6.2244e+04       -2.8427e+05        0.998          13.7
  25      1.1954e+03       9.4751e+04       -3.6232e+05        0.999          14.2
  26      9.0311e+02       1.4282e+05       -4.5530e+05        0.998          14.7
  27      6.8229e+02       2.1255e+05       -5.6150e+05        0.999          15.1
  28      5.1546e+02       3.0520e+05       -6.7863e+05        0.998          15.6
  29      3.8943e+02       4.3212e+05       -7.9765e+05        0.998          16.3
  30      2.9421e+02       5.7306e+05       -9.2687e+05        0.998          17.0
  31      2.2227e+02       7.1165e+05       -1.0664e+06        0.998          17.4
  32      1.6793e+02       9.0134e+05       -1.1998e+06        0.996          17.9
  33      1.2687e+02       1.0925e+06       -1.3637e+06        0.999          18.3
  34      9.5846e+01       1.2726e+06       -1.5311e+06        0.997          18.9
  35      7.2411e+01       1.5165e+06       -1.7306e+06        0.998          19.4
  36      5.4092e+01       1.9272e+06       -1.6357e+06        0.998          20.8
  37      3.9533e+01       2.0789e+06       -2.4085e+06        0.995          22.6
  38      2.8174e+01       2.6433e+06       -2.6759e+06        0.966          24.0
  39      1.9503e+01       3.3016e+06       -3.1811e+06        0.980          25.6
  40      1.3058e+01       4.1650e+06       -3.7368e+06        0.987          27.5
  41      8.4196e+00       5.4044e+06       -4.4245e+06        0.975          29.7
  42      5.2123e+00       6.8394e+06       -5.0879e+06        0.993          32.3
  43      3.0979e+00       8.6990e+06       -5.6540e+06        0.999          35.6
  44      1.7783e+00       1.0775e+07       -6.1439e+06        0.999          42.5
  45      1.0000e+00       1.2962e+07       -6.7295e+06        0.996          49.4

