File.......:  202108061340_c-231_eis_rt - AUG,06.2021

System.....:  
Potential..:  -0.135V
Current....:  -14.541nA
Temperature:  -0.7 +-0.0 C
Time.......:  13:40:56 - 13:41:43
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.4409e+01       -2.3420e+00        0.999           0.0
   2      7.5549e+05       3.4646e+01       -2.6320e+00        0.999           1.3
   3      5.7077e+05       3.4893e+01       -2.9486e+00        0.999           1.8
   4      4.3121e+05       3.5201e+01       -3.4220e+00        1.000           2.5
   5      3.2578e+05       3.5621e+01       -4.0220e+00        1.000           3.2
   6      2.4612e+05       3.6085e+01       -4.7451e+00        1.000           3.7
   7      1.8594e+05       3.6671e+01       -5.6338e+00        1.000           4.1
   8      1.4048e+05       3.7391e+01       -6.7176e+00        1.000           4.6
   9      1.0613e+05       3.8203e+01       -8.0211e+00        1.000           5.0
  10      8.0180e+04       3.9248e+01       -9.5743e+00        1.000           5.5
  11      6.0575e+04       4.0327e+01       -1.1528e+01        1.000           5.9
  12      4.5764e+04       4.1750e+01       -1.3812e+01        1.000           6.3
  13      3.4574e+04       4.3416e+01       -1.6627e+01        1.000           6.8
  14      2.6121e+04       4.5331e+01       -1.9912e+01        1.000           7.3
  15      1.9734e+04       4.7594e+01       -2.3896e+01        1.000           7.7
  16      1.4909e+04       5.0152e+01       -2.8811e+01        1.000           8.2
  17      1.1263e+04       5.3249e+01       -3.4838e+01        1.000           8.6
  18      8.5095e+03       5.7272e+01       -4.2595e+01        1.000           9.3
  19      6.4288e+03       6.1388e+01       -5.1895e+01        0.999          10.0
  20      4.8569e+03       6.6271e+01       -6.3424e+01        0.999          10.5
  21      3.6694e+03       7.2218e+01       -7.7747e+01        1.000          10.9
  22      2.7722e+03       7.9200e+01       -9.5803e+01        0.998          11.4
  23      2.0944e+03       8.7752e+01       -1.1841e+02        0.998          11.8
  24      1.5823e+03       9.8389e+01       -1.4677e+02        0.998          12.3
  25      1.1954e+03       1.1159e+02       -1.8227e+02        0.999          12.8
  26      9.0311e+02       1.2847e+02       -2.2656e+02        0.997          13.2
  27      6.8229e+02       1.4994e+02       -2.8167e+02        0.999          13.7
  28      5.1546e+02       1.7759e+02       -3.4993e+02        0.998          14.1
  29      3.8943e+02       2.1368e+02       -4.3425e+02        0.998          14.6
  30      2.9421e+02       2.5987e+02       -5.3725e+02        0.998          15.1
  31      2.2227e+02       3.1751e+02       -6.5755e+02        0.997          15.8
  32      1.6793e+02       3.9318e+02       -8.0748e+02        0.997          16.4
  33      1.2687e+02       4.8960e+02       -9.8767e+02        0.997          16.9
  34      9.5846e+01       6.1169e+02       -1.2033e+03        0.997          17.4
  35      7.2411e+01       7.6460e+02       -1.4577e+03        0.997          18.0
  36      5.4092e+01       9.5954e+02       -1.7709e+03        0.998          19.4
  37      3.9533e+01       1.2234e+03       -2.1731e+03        0.998          21.3
  38      2.8174e+01       1.5804e+03       -2.6984e+03        0.998          22.7
  39      1.9503e+01       2.0687e+03       -3.3922e+03        0.998          24.3
  40      1.3058e+01       2.7458e+03       -4.3362e+03        0.999          26.2
  41      8.4196e+00       3.7052e+03       -5.6596e+03        0.999          28.5
  42      5.2123e+00       5.0973e+03       -7.5777e+03        0.999          31.7
  43      3.0979e+00       7.1801e+03       -1.0365e+04        0.999          35.6
  44      1.7783e+00       1.0402e+04       -1.4518e+04        0.998          40.6
  45      1.0000e+00       1.5297e+04       -2.0269e+04        0.997          45.3

