File.......:  202108090850_c-234_eis_rt - AUG,09.2021

System.....:  
Potential..:  0.064V
Current....:  29.34pA
Temperature:  -0.7 +-0.1 C
Time.......:  08:50:57 - 08:51:47
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       1.0000e+06      -7.9654e+00       -7.1946e+02        0.994           0.0
  2       7.5549e+05       2.5624e+00       -9.6562e+02        0.997           1.8
  3       5.7077e+05      -2.7850e+01       -1.2607e+03        0.996           2.3
  4       4.3121e+05       4.9726e+01       -1.6647e+03        0.997           3.3
  5       3.2578e+05       7.6137e+01       -2.1925e+03        0.998           4.2
  6       2.4612e+05       1.1579e+02       -2.8782e+03        0.997           4.7
  7       1.8594e+05       1.4829e+02       -3.7837e+03        0.998           5.1
  8       1.4048e+05       1.6998e+02       -4.9630e+03        0.996           5.5
  9       1.0613e+05       2.3558e+02       -6.4902e+03        0.997           6.0
 10       8.0180e+04       2.8973e+02       -8.5647e+03        0.999           6.4
 11       6.0575e+04       5.7162e+02       -1.1254e+04        0.999           7.1
 12       4.5764e+04       6.4913e+02       -1.4791e+04        0.998           7.8
 13       3.4574e+04       7.8190e+02       -1.9446e+04        0.998           8.2
 14       2.6121e+04       9.6697e+02       -2.5588e+04        1.000           8.7
 15       1.9734e+04       1.2185e+03       -3.3710e+04        0.999           9.2
 16       1.4909e+04       1.4835e+03       -4.4329e+04        0.997           9.6
 17       1.1263e+04       1.8495e+03       -5.8361e+04        0.997          10.1
 18       8.5095e+03       2.4729e+03       -7.6951e+04        0.996          10.5
 19       6.4288e+03       4.4428e+03       -1.0150e+05        0.999          11.2
 20       4.8569e+03       5.1886e+03       -1.3351e+05        0.997          11.9
 21       3.6694e+03       6.6138e+03       -1.7604e+05        0.998          12.4
 22       2.7722e+03       8.2543e+03       -2.3182e+05        0.999          12.8
 23       2.0944e+03       1.0533e+04       -3.0541e+05        0.997          13.3
 24       1.5823e+03       1.3815e+04       -4.0242e+05        0.997          13.7
 25       1.1954e+03       1.7938e+04       -5.3051e+05        0.999          14.2
 26       9.0311e+02       2.4787e+04       -6.9966e+05        0.997          14.7
 27       6.8229e+02       5.3921e+04       -9.2280e+05        0.998          15.3
 28       5.1546e+02       6.7983e+04       -1.2160e+06        0.997          16.0
 29       3.8943e+02       9.0261e+04       -1.5936e+06        0.997          16.5
 30       2.9421e+02       1.1929e+05       -2.1144e+06        0.997          17.0
 31       2.2227e+02       1.5331e+05       -2.7335e+06        0.997          17.4
 32       1.6793e+02       2.5811e+05       -3.6293e+06        0.994          17.9
 33       1.2687e+02       4.2849e+05       -4.7601e+06        0.999          18.3
 34       9.5846e+01       2.1053e+05       -6.3188e+06        0.997          18.9
 35       7.2411e+01       4.3395e+05       -8.4585e+06        0.991          19.5
 36       5.4092e+01       1.8643e+06       -6.6840e+06        0.988          20.9
 37       3.9533e+01       2.6375e+06       -1.2519e+07        0.981          22.8
 38       2.8174e+01       2.4909e+06       -2.2609e+07        0.881          24.2
 39       1.9503e+01       4.6552e+06       -2.9605e+07        0.890          25.8
 40       1.3058e+01       8.2289e+06       -4.0611e+07        0.934          27.8
 41       8.4196e+00       1.6154e+07       -5.2201e+07        0.881          29.9
 42       5.2123e+00       2.7797e+07       -8.0167e+07        0.956          32.6
 43       3.0979e+00       5.6561e+07       -1.1423e+08        0.992          36.7
 44       1.7783e+00       9.8986e+07       -1.5797e+08        0.995          42.3
 45       1.0000e+00       1.6686e+08       -2.0522e+08        0.952          47.0

