File.......:  202108090900_c-236_eis_rt - AUG,09.2021

System.....:  
Potential..:  0.085V
Current....:  -24.878pA
Temperature:  -0.7 +-0.0 C
Time.......:  09:00:44 - 09:01:38
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.0515e+01       -5.8903e+02        0.998           0.0
   2      7.5549e+05       1.7206e+01       -7.8495e+02        0.997           1.8
   3      5.7077e+05       5.2116e+00       -1.0449e+03        0.990           2.3
   4      4.3121e+05       5.8576e+01       -1.3456e+03        0.997           3.3
   5      3.2578e+05       7.6369e+01       -1.7707e+03        0.997           4.2
   6      2.4612e+05       1.0361e+02       -2.3110e+03        0.997           4.7
   7      1.8594e+05       1.3208e+02       -3.0515e+03        0.997           5.1
   8      1.4048e+05       1.5132e+02       -3.9802e+03        0.997           5.5
   9      1.0613e+05       2.2688e+02       -5.2508e+03        0.997           6.0
  10      8.0180e+04       2.8580e+02       -6.8841e+03        0.997           6.4
  11      6.0575e+04       3.4393e+02       -9.0150e+03        0.998           6.9
  12      4.5764e+04       5.5720e+02       -1.1894e+04        0.998           7.6
  13      3.4574e+04       6.6699e+02       -1.5642e+04        0.998           8.2
  14      2.6121e+04       8.2613e+02       -2.0583e+04        0.999           8.7
  15      1.9734e+04       1.0274e+03       -2.7083e+04        0.999           9.2
  16      1.4909e+04       1.2775e+03       -3.5601e+04        0.998           9.6
  17      1.1263e+04       1.6133e+03       -4.6902e+04        0.999          10.1
  18      8.5095e+03       1.9275e+03       -6.1818e+04        0.999          10.5
  19      6.4288e+03       2.4355e+03       -8.1242e+04        0.999          11.0
  20      4.8569e+03       4.1635e+03       -1.0723e+05        0.997          11.7
  21      3.6694e+03       5.2825e+03       -1.4140e+05        0.999          12.4
  22      2.7722e+03       6.3748e+03       -1.8635e+05        0.998          12.8
  23      2.0944e+03       8.2913e+03       -2.4544e+05        0.998          13.3
  24      1.5823e+03       1.0662e+04       -3.2331e+05        0.998          13.7
  25      1.1954e+03       1.2931e+04       -4.2569e+05        0.999          14.2
  26      9.0311e+02       1.8536e+04       -5.6216e+05        0.998          14.7
  27      6.8229e+02       2.4786e+04       -7.4026e+05        0.999          15.1
  28      5.1546e+02       4.9646e+04       -9.7742e+05        0.999          15.8
  29      3.8943e+02       6.2312e+04       -1.2838e+06        0.998          16.5
  30      2.9421e+02       8.3368e+04       -1.6955e+06        0.999          17.0
  31      2.2227e+02       9.1270e+04       -2.2057e+06        0.996          17.4
  32      1.6793e+02       1.7482e+05       -2.9295e+06        0.994          17.9
  33      1.2687e+02       2.3399e+05       -3.8663e+06        0.997          18.3
  34      9.5846e+01       4.4092e+05       -4.8624e+06        0.993          18.9
  35      7.2411e+01       5.5740e+05       -6.3183e+06        0.998          19.5
  36      5.4092e+01      -3.2889e+06       -8.3191e+06        0.994          21.7
  37      3.9533e+01       1.2162e+06       -1.0278e+07        0.986          24.3
  38      2.8174e+01       2.5600e+06       -1.7956e+07        0.895          25.7
  39      1.9503e+01       4.0182e+06       -2.4453e+07        0.909          27.4
  40      1.3058e+01       5.3923e+06       -3.2326e+07        0.940          29.2
  41      8.4196e+00       1.0040e+07       -5.2097e+07        0.894          31.4
  42      5.2123e+00       2.1921e+07       -7.4332e+07        0.960          34.1
  43      3.0979e+00       3.7768e+07       -1.1133e+08        0.997          38.8
  44      1.7783e+00       7.9093e+07       -1.6630e+08        0.987          47.0
  45      1.0000e+00       1.4463e+08       -2.3666e+08        0.953          51.7

