File.......:  202108091241_c-238_eis_rt - AUG,09.2021

System.....:  
Potential..:  -0.002V
Current....:  -42.935nA
Temperature:  -0.7 +-0.1 C
Time.......:  12:41:26 - 12:42:13
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       4.7047e+01       -1.1364e+01        0.999           0.0
   2      7.5549e+05       4.8447e+01       -1.3013e+01        0.999           1.5
   3      5.7077e+05       4.9952e+01       -1.5056e+01        1.000           2.1
   4      4.3121e+05       5.1793e+01       -1.7467e+01        1.000           2.8
   5      3.2578e+05       5.4043e+01       -2.0497e+01        1.000           3.5
   6      2.4612e+05       5.6596e+01       -2.4062e+01        1.000           3.9
   7      1.8594e+05       5.9623e+01       -2.8449e+01        1.000           4.4
   8      1.4048e+05       6.3875e+01       -3.3952e+01        1.000           5.1
   9      1.0613e+05       6.8105e+01       -4.0332e+01        1.000           5.7
  10      8.0180e+04       7.3034e+01       -4.8095e+01        1.000           6.2
  11      6.0575e+04       7.8831e+01       -5.7357e+01        1.000           6.6
  12      4.5764e+04       8.5716e+01       -6.8654e+01        0.999           7.1
  13      3.4574e+04       9.3878e+01       -8.2377e+01        0.999           7.5
  14      2.6121e+04       1.0381e+02       -9.8925e+01        0.999           8.0
  15      1.9734e+04       1.1578e+02       -1.1901e+02        0.998           8.4
  16      1.4909e+04       1.3038e+02       -1.4318e+02        0.999           8.9
  17      1.1263e+04       1.4826e+02       -1.7236e+02        0.999           9.3
  18      8.5095e+03       1.7011e+02       -2.0706e+02        0.999           9.8
  19      6.4288e+03       1.9674e+02       -2.4859e+02        0.999          10.3
  20      4.8569e+03       2.2937e+02       -2.9760e+02        0.998          10.7
  21      3.6694e+03       2.6986e+02       -3.5508e+02        0.999          11.2
  22      2.7722e+03       3.1823e+02       -4.2299e+02        1.000          11.6
  23      2.0944e+03       3.7680e+02       -5.0221e+02        0.999          12.1
  24      1.5823e+03       4.4431e+02       -5.9033e+02        0.999          12.8
  25      1.1954e+03       5.2823e+02       -6.9693e+02        0.998          13.5
  26      9.0311e+02       6.2910e+02       -8.2017e+02        0.999          13.9
  27      6.8229e+02       7.4866e+02       -9.6237e+02        0.999          14.4
  28      5.1546e+02       8.9023e+02       -1.1259e+03        0.998          14.9
  29      3.8943e+02       1.0586e+03       -1.3139e+03        0.998          15.3
  30      2.9421e+02       1.2552e+03       -1.5284e+03        0.998          15.8
  31      2.2227e+02       1.4872e+03       -1.7728e+03        0.997          16.2
  32      1.6793e+02       1.7559e+03       -2.0523e+03        0.996          16.7
  33      1.2687e+02       2.0688e+03       -2.3705e+03        0.996          17.2
  34      9.5846e+01       2.4337e+03       -2.7346e+03        0.995          17.7
  35      7.2411e+01       2.8557e+03       -3.1444e+03        0.994          18.3
  36      5.4092e+01       3.3509e+03       -3.6331e+03        0.994          19.7
  37      3.9533e+01       3.9819e+03       -4.2332e+03        0.993          21.4
  38      2.8174e+01       4.7812e+03       -4.9876e+03        0.993          23.2
  39      1.9503e+01       5.8130e+03       -5.9448e+03        0.991          25.2
  40      1.3058e+01       7.1712e+03       -7.1881e+03        0.991          27.1
  41      8.4196e+00       8.9967e+03       -8.8284e+03        0.989          29.3
  42      5.2123e+00       1.1510e+04       -1.1045e+04        0.989          32.0
  43      3.0979e+00       1.4942e+04       -1.3965e+04        0.988          35.3
  44      1.7783e+00       1.9685e+04       -1.7936e+04        0.989          40.2
  45      1.0000e+00       2.6018e+04       -2.2947e+04        0.987          44.8

