File.......:  202108100853_c-240_eis_rt - AUG,10.2021

System.....:  
Potential..:  -0.013V
Current....:  -139.63pA
Temperature:  -0.7 +-0.1 C
Time.......:  08:53:05 - 08:53:53
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -9.1172e+00       -7.0367e+02        0.994           0.0
   2      7.5549e+05      -7.1307e+00       -9.4513e+02        0.998           1.8
   3      5.7077e+05      -3.6434e+01       -1.2454e+03        0.992           2.3
   4      4.3121e+05       5.2252e+01       -1.6218e+03        0.997           3.3
   5      3.2578e+05       7.3501e+01       -2.1212e+03        0.997           4.2
   6      2.4612e+05       1.1729e+02       -2.7895e+03        0.998           4.7
   7      1.8594e+05       1.3349e+02       -3.6513e+03        0.999           5.1
   8      1.4048e+05       2.2795e+02       -4.8261e+03        0.996           5.5
   9      1.0613e+05       2.6162e+02       -6.2971e+03        0.998           6.0
  10      8.0180e+04       3.6328e+02       -8.2954e+03        0.997           6.4
  11      6.0575e+04       5.9072e+02       -1.0881e+04        0.998           7.1
  12      4.5764e+04       7.2778e+02       -1.4306e+04        0.998           7.8
  13      3.4574e+04       9.2321e+02       -1.8791e+04        0.998           8.2
  14      2.6121e+04       1.1826e+03       -2.4694e+04        0.998           8.7
  15      1.9734e+04       1.5577e+03       -3.2471e+04        0.998           9.2
  16      1.4909e+04       1.9774e+03       -4.2635e+04        0.998           9.6
  17      1.1263e+04       2.7637e+03       -5.6148e+04        0.997          10.0
  18      8.5095e+03       3.8279e+03       -7.3842e+04        0.998          10.5
  19      6.4288e+03       5.1257e+03       -9.7001e+04        0.996          11.0
  20      4.8569e+03       8.4857e+03       -1.2774e+05        0.998          11.7
  21      3.6694e+03       1.2242e+04       -1.6783e+05        0.999          12.4
  22      2.7722e+03       1.7335e+04       -2.2049e+05        0.998          12.8
  23      2.0944e+03       2.5615e+04       -2.8915e+05        0.998          13.3
  24      1.5823e+03       3.8887e+04       -3.7938e+05        0.999          13.7
  25      1.1954e+03       5.9203e+04       -4.9673e+05        0.998          14.2
  26      9.0311e+02       9.4001e+04       -6.4884e+05        0.999          14.7
  27      6.8229e+02       1.4889e+05       -8.4396e+05        0.999          15.1
  28      5.1546e+02       2.5528e+05       -1.0911e+06        0.999          15.8
  29      3.8943e+02       3.9734e+05       -1.3934e+06        0.998          16.5
  30      2.9421e+02       6.2169e+05       -1.7614e+06        0.999          17.0
  31      2.2227e+02       9.3415e+05       -2.1430e+06        0.998          17.4
  32      1.6793e+02       1.4807e+06       -2.5697e+06        0.996          17.9
  33      1.2687e+02       2.1418e+06       -2.9097e+06        0.992          18.3
  34      9.5846e+01       2.8316e+06       -2.9714e+06        0.994          18.9
  35      7.2411e+01       3.6522e+06       -2.9488e+06        0.996          19.4
  36      5.4092e+01       3.7005e+06       -1.9389e+06        0.995          20.8
  37      3.9533e+01       4.8893e+06       -2.5523e+06        0.991          22.7
  38      2.8174e+01       5.7439e+06       -1.8681e+06        0.948          24.1
  39      1.9503e+01       6.1016e+06       -1.5291e+06        0.974          25.7
  40      1.3058e+01       6.4472e+06       -1.2200e+06        0.991          27.5
  41      8.4196e+00       6.5276e+06       -9.5206e+05        0.975          29.7
  42      5.2123e+00       6.6849e+06       -7.2614e+05        0.995          32.3
  43      3.0979e+00       6.8011e+06       -6.0606e+05        1.000          35.6
  44      1.7783e+00       6.9091e+06       -5.8305e+05        1.000          40.6
  45      1.0000e+00       7.0417e+06       -6.5922e+05        0.999          45.1

