File.......:  202108101311_c-245_eis_rt - AUG,10.2021

System.....:  
Potential..:  0.005V
Current....:  -3.7416nA
Temperature:  -0.7 +-0.1 C
Time.......:  13:11:16 - 13:12:04
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.6458e+01       -4.6226e+02        0.996           0.0
   2      7.5549e+05       5.0328e+01       -6.0238e+02        0.998           1.8
   3      5.7077e+05       4.0166e+01       -7.9374e+02        0.994           2.3
   4      4.3121e+05       8.7760e+01       -1.0241e+03        0.996           3.3
   5      3.2578e+05       1.1709e+02       -1.3321e+03        0.998           4.2
   6      2.4612e+05       1.5914e+02       -1.7390e+03        0.998           4.7
   7      1.8594e+05       1.9940e+02       -2.2602e+03        0.997           5.1
   8      1.4048e+05       2.5731e+02       -2.9410e+03        0.999           5.5
   9      1.0613e+05       3.3188e+02       -3.8569e+03        0.998           6.0
  10      8.0180e+04       4.2954e+02       -5.0267e+03        0.999           6.4
  11      6.0575e+04       5.6381e+02       -6.5347e+03        0.998           6.9
  12      4.5764e+04       7.9828e+02       -8.5415e+03        0.999           7.3
  13      3.4574e+04       1.0310e+03       -1.1188e+04        0.997           7.8
  14      2.6121e+04       1.5161e+03       -1.4589e+04        0.997           8.5
  15      1.9734e+04       2.0933e+03       -1.9043e+04        0.997           9.2
  16      1.4909e+04       2.9503e+03       -2.4856e+04        0.999           9.6
  17      1.1263e+04       4.3289e+03       -3.2420e+04        0.999          10.1
  18      8.5095e+03       6.4617e+03       -4.2246e+04        0.997          10.5
  19      6.4288e+03       9.6573e+03       -5.4766e+04        0.998          11.0
  20      4.8569e+03       1.4973e+04       -7.0669e+04        0.998          11.4
  21      3.6694e+03       2.3970e+04       -9.0581e+04        0.999          12.1
  22      2.7722e+03       3.6816e+04       -1.1471e+05        0.998          12.8
  23      2.0944e+03       5.6343e+04       -1.4272e+05        0.997          13.3
  24      1.5823e+03       8.4935e+04       -1.7302e+05        0.998          13.7
  25      1.1954e+03       1.2405e+05       -2.0224e+05        0.999          14.2
  26      9.0311e+02       1.7314e+05       -2.2656e+05        0.998          14.7
  27      6.8229e+02       2.2870e+05       -2.4157e+05        0.999          15.1
  28      5.1546e+02       2.8628e+05       -2.4606e+05        1.000          15.6
  29      3.8943e+02       3.4109e+05       -2.4137e+05        1.000          16.0
  30      2.9421e+02       3.9022e+05       -2.3136e+05        0.999          16.5
  31      2.2227e+02       4.3584e+05       -2.2159e+05        1.000          17.0
  32      1.6793e+02       4.7282e+05       -2.0905e+05        1.000          17.4
  33      1.2687e+02       5.0862e+05       -1.9836e+05        0.999          17.9
  34      9.5846e+01       5.4369e+05       -1.9208e+05        0.999          18.4
  35      7.2411e+01       5.7518e+05       -1.8195e+05        1.000          19.0
  36      5.4092e+01       5.8350e+05       -1.7254e+05        0.999          20.4
  37      3.9533e+01       6.4070e+05       -1.6668e+05        0.999          22.1
  38      2.8174e+01       6.6933e+05       -1.5339e+05        0.994          24.0
  39      1.9503e+01       7.0073e+05       -1.4906e+05        0.997          25.9
  40      1.3058e+01       7.3289e+05       -1.4903e+05        0.999          27.8
  41      8.4196e+00       7.6711e+05       -1.5123e+05        0.997          30.0
  42      5.2123e+00       8.0381e+05       -1.6279e+05        0.999          32.6
  43      3.0979e+00       8.4916e+05       -1.8611e+05        1.000          35.9
  44      1.7783e+00       9.0354e+05       -2.2528e+05        1.000          40.8
  45      1.0000e+00       9.7201e+05       -2.8685e+05        1.000          45.4

