File.......:  202108110904_c-246_eis_rt - AUG,11.2021

System.....:  
Potential..:  -0.009V
Current....:  -9.9434nA
Temperature:  -0.7 +-0.2 C
Time.......:  09:04:38 - 09:05:25
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       7.0043e+00       -6.0669e+02        0.997           0.0
   2      7.5549e+05       2.7783e+00       -7.9583e+02        0.995           1.8
   3      5.7077e+05      -1.0378e+01       -1.0866e+03        0.985           2.3
   4      4.3121e+05       6.4228e+01       -1.3751e+03        0.997           3.3
   5      3.2578e+05       9.0945e+01       -1.8002e+03        0.997           4.2
   6      2.4612e+05       1.4022e+02       -2.3656e+03        0.999           4.7
   7      1.8594e+05       2.0186e+02       -3.0910e+03        0.999           5.1
   8      1.4048e+05       2.8035e+02       -4.0577e+03        0.995           5.5
   9      1.0613e+05       3.6312e+02       -5.3159e+03        0.998           6.0
  10      8.0180e+04       5.5596e+02       -6.9573e+03        0.999           6.4
  11      6.0575e+04       8.9982e+02       -9.1027e+03        0.999           7.1
  12      4.5764e+04       1.2810e+03       -1.1924e+04        0.998           7.8
  13      3.4574e+04       1.8847e+03       -1.5587e+04        0.998           8.2
  14      2.6121e+04       2.8463e+03       -2.0334e+04        0.999           8.7
  15      1.9734e+04       4.3631e+03       -2.6466e+04        0.998           9.2
  16      1.4909e+04       6.8054e+03       -3.4293e+04        0.998           9.6
  17      1.1263e+04       1.0649e+04       -4.4176e+04        1.000          10.1
  18      8.5095e+03       1.6867e+04       -5.6348e+04        0.998          10.5
  19      6.4288e+03       2.6591e+04       -7.0624e+04        0.998          11.0
  20      4.8569e+03       4.1887e+04       -8.5728e+04        0.997          11.7
  21      3.6694e+03       6.2445e+04       -1.0039e+05        1.000          12.4
  22      2.7722e+03       8.8696e+04       -1.1169e+05        0.999          12.8
  23      2.0944e+03       1.1904e+05       -1.1692e+05        0.999          13.3
  24      1.5823e+03       1.4988e+05       -1.1441e+05        0.998          13.7
  25      1.1954e+03       1.7736e+05       -1.0538e+05        0.998          14.2
  26      9.0311e+02       1.9958e+05       -9.2625e+04        0.999          14.7
  27      6.8229e+02       2.1590e+05       -7.8688e+04        1.000          15.1
  28      5.1546e+02       2.2746e+05       -6.5807e+04        0.999          15.6
  29      3.8943e+02       2.3573e+05       -5.4444e+04        1.000          16.0
  30      2.9421e+02       2.4162e+05       -4.5687e+04        0.999          16.5
  31      2.2227e+02       2.4603e+05       -3.8608e+04        1.000          17.0
  32      1.6793e+02       2.4981e+05       -3.3547e+04        1.000          17.4
  33      1.2687e+02       2.5308e+05       -3.0215e+04        1.000          17.9
  34      9.5846e+01       2.5647e+05       -2.7317e+04        1.000          18.4
  35      7.2411e+01       2.5901e+05       -2.6046e+04        1.000          19.0
  36      5.4092e+01       2.6493e+05       -2.4086e+04        0.999          20.4
  37      3.9533e+01       2.6433e+05       -2.7107e+04        1.000          22.1
  38      2.8174e+01       2.6933e+05       -2.8526e+04        0.998          23.6
  39      1.9503e+01       2.7418e+05       -3.1934e+04        0.999          25.2
  40      1.3058e+01       2.8016e+05       -3.7465e+04        1.000          27.0
  41      8.4196e+00       2.8841e+05       -4.5101e+04        0.999          29.2
  42      5.2123e+00       2.9909e+05       -5.7042e+04        1.000          31.8
  43      3.0979e+00       3.1453e+05       -7.4711e+04        1.000          35.1
  44      1.7783e+00       3.3644e+05       -1.0112e+05        1.000          40.0
  45      1.0000e+00       3.6854e+05       -1.3947e+05        1.000          44.6

