File.......:  202108120915_c-250_eis_rt - AUG,12.2021

System.....:  
Potential..:  0.014V
Current....:  3.1581pA
Temperature:  -0.7 +-0.1 C
Time.......:  09:15:25 - 09:16:15
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -4.5656e+00       -7.1099e+02        0.995           0.0
   2      7.5549e+05      -4.1300e+00       -9.9690e+02        0.989           1.8
   3      5.7077e+05      -3.0443e+01       -1.2395e+03        0.997           2.3
   4      4.3121e+05       4.9896e+01       -1.6468e+03        0.997           3.3
   5      3.2578e+05       7.1106e+01       -2.1586e+03        0.998           4.2
   6      2.4612e+05       9.8162e+01       -2.8501e+03        0.998           4.7
   7      1.8594e+05       1.2687e+02       -3.7114e+03        0.998           5.1
   8      1.4048e+05       1.9534e+02       -4.9542e+03        0.994           5.5
   9      1.0613e+05       2.2874e+02       -6.4333e+03        0.998           6.0
  10      8.0180e+04       2.9464e+02       -8.4936e+03        0.996           6.4
  11      6.0575e+04       5.1809e+02       -1.1136e+04        0.999           7.1
  12      4.5764e+04       6.5885e+02       -1.4624e+04        0.998           7.8
  13      3.4574e+04       7.9249e+02       -1.9243e+04        0.998           8.2
  14      2.6121e+04       9.6891e+02       -2.5288e+04        0.999           8.7
  15      1.9734e+04       1.2275e+03       -3.3300e+04        1.000           9.2
  16      1.4909e+04       1.5248e+03       -4.3745e+04        0.999           9.6
  17      1.1263e+04       1.9391e+03       -5.7702e+04        0.999          10.1
  18      8.5095e+03       2.4345e+03       -7.5777e+04        0.998          10.5
  19      6.4288e+03       4.4993e+03       -1.0038e+05        0.999          11.2
  20      4.8569e+03       5.2496e+03       -1.3181e+05        0.997          11.9
  21      3.6694e+03       6.8022e+03       -1.7392e+05        0.999          12.4
  22      2.7722e+03       8.6751e+03       -2.2898e+05        0.997          12.8
  23      2.0944e+03       1.1171e+04       -3.0156e+05        0.998          13.3
  24      1.5823e+03       1.5064e+04       -3.9776e+05        0.999          13.7
  25      1.1954e+03       1.9986e+04       -5.2352e+05        0.999          14.2
  26      9.0311e+02       2.7358e+04       -6.8989e+05        0.999          14.7
  27      6.8229e+02       5.9325e+04       -9.0952e+05        0.998          15.3
  28      5.1546e+02       7.7055e+04       -1.1960e+06        0.997          16.0
  29      3.8943e+02       1.0468e+05       -1.5662e+06        0.998          16.5
  30      2.9421e+02       1.4777e+05       -2.0670e+06        0.996          17.0
  31      2.2227e+02       1.8246e+05       -2.6855e+06        0.996          17.4
  32      1.6793e+02       3.2622e+05       -3.5550e+06        0.991          17.9
  33      1.2687e+02       5.3313e+05       -4.6393e+06        0.996          18.3
  34      9.5846e+01       1.1258e+06       -6.1685e+06        0.992          18.9
  35      7.2411e+01       1.4496e+06       -7.9423e+06        0.998          19.5
  36      5.4092e+01       9.7697e+06       -1.0327e+07        0.983          21.0
  37      3.9533e+01       1.1282e+06       -1.2334e+07        0.984          22.8
  38      2.8174e+01       4.4577e+06       -1.6012e+07        0.889          24.2
  39      1.9503e+01       6.4213e+06       -2.2172e+07        0.900          25.8
  40      1.3058e+01       1.2744e+07       -3.2353e+07        0.948          27.7
  41      8.4196e+00       2.4663e+07       -5.0912e+07        0.838          29.9
  42      5.2123e+00       3.8291e+07       -6.0527e+07        0.949          32.6
  43      3.0979e+00       6.1316e+07       -7.7706e+07        0.996          36.6
  44      1.7783e+00       9.7784e+07       -8.9919e+07        0.994          42.3
  45      1.0000e+00       1.3723e+08       -9.8763e+07        0.966          46.8

