File.......:  202108150855_c-254_eis_rt - AUG,15.2021

System.....:  
Potential..:  0.330V
Current....:  -15.919pA
Temperature:  -0.7 +-0.2 C
Time.......:  08:55:50 - 08:56:38
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -1.1412e+01       -8.6004e+02        0.997           0.0
   2      7.5549e+05      -2.7827e+01       -1.1527e+03        0.994           1.8
   3      5.7077e+05      -1.0815e+02       -1.5183e+03        0.984           2.3
   4      4.3121e+05       3.9985e+01       -1.9876e+03        0.997           3.3
   5      3.2578e+05       6.6463e+01       -2.6107e+03        0.998           4.2
   6      2.4612e+05       1.1037e+02       -3.4329e+03        0.998           4.6
   7      1.8594e+05       1.4470e+02       -4.5013e+03        0.998           5.0
   8      1.4048e+05       2.3263e+02       -5.9151e+03        0.998           5.5
   9      1.0613e+05       2.7797e+02       -7.7745e+03        0.999           5.9
  10      8.0180e+04       5.2576e+02       -1.0260e+04        0.998           6.6
  11      6.0575e+04       6.2456e+02       -1.3447e+04        0.998           7.2
  12      4.5764e+04       7.6123e+02       -1.7668e+04        0.998           7.6
  13      3.4574e+04       9.1236e+02       -2.3236e+04        0.998           8.1
  14      2.6121e+04       1.1541e+03       -3.0542e+04        0.999           8.5
  15      1.9734e+04       1.4132e+03       -4.0227e+04        0.998           9.0
  16      1.4909e+04       1.7596e+03       -5.2913e+04        0.998           9.4
  17      1.1263e+04       2.1872e+03       -6.9733e+04        0.998           9.8
  18      8.5095e+03       4.3868e+03       -9.2276e+04        0.999          10.5
  19      6.4288e+03       5.0375e+03       -1.2133e+05        0.998          11.2
  20      4.8569e+03       5.9530e+03       -1.5988e+05        0.999          11.6
  21      3.6694e+03       7.2380e+03       -2.1063e+05        0.997          12.1
  22      2.7722e+03       8.8029e+03       -2.7746e+05        0.997          12.5
  23      2.0944e+03       1.1040e+04       -3.6583e+05        0.999          13.0
  24      1.5823e+03       1.4108e+04       -4.8235e+05        0.999          13.4
  25      1.1954e+03       1.8265e+04       -6.3588e+05        0.998          13.8
  26      9.0311e+02       4.6923e+04       -8.4348e+05        0.998          14.5
  27      6.8229e+02       5.5792e+04       -1.1088e+06        0.998          15.2
  28      5.1546e+02       6.7559e+04       -1.4587e+06        0.999          15.6
  29      3.8943e+02       8.5449e+04       -1.9215e+06        0.998          16.1
  30      2.9421e+02       1.1287e+05       -2.5270e+06        0.997          16.5
  31      2.2227e+02       1.3517e+05       -3.3273e+06        0.999          17.0
  32      1.6793e+02       2.0857e+05       -4.3793e+06        0.997          17.4
  33      1.2687e+02       2.9908e+05       -5.7639e+06        0.998          17.8
  34      9.5846e+01       3.5802e+05       -7.4924e+06        0.998          18.4
  35      7.2411e+01       9.9016e+05       -9.9319e+06        0.997          19.2
  36      5.4092e+01       2.6456e+06       -1.4630e+07        0.995          20.8
  37      3.9533e+01       1.0224e+06       -1.7148e+07        0.999          22.7
  38      2.8174e+01       2.8027e+06       -2.4100e+07        0.971          24.1
  39      1.9503e+01       4.6398e+06       -3.4349e+07        0.969          25.6
  40      1.3058e+01       5.7348e+06       -5.0650e+07        0.985          27.5
  41      8.4196e+00       1.2305e+07       -7.7060e+07        0.960          29.7
  42      5.2123e+00       1.8642e+07       -1.1848e+08        0.982          32.4
  43      3.0979e+00       4.2861e+07       -1.8598e+08        0.998          35.7
  44      1.7783e+00       9.1753e+07       -2.9591e+08        0.996          40.7
  45      1.0000e+00       1.8623e+08       -4.5631e+08        0.984          45.2

