File.......:  202108160855_c-259_eis_rt - AUG,16.2021

System.....:  
Potential..:  0.040V
Current....:  -43.098pA
Temperature:  -0.7 +-0.2 C
Time.......:  08:55:19 - 08:56:07
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -1.4909e+00       -6.2810e+02        0.998           0.0
   2      7.5549e+05       5.7764e+00       -8.3053e+02        0.997           1.8
   3      5.7077e+05      -3.1311e+01       -1.1085e+03        0.989           2.3
   4      4.3121e+05       4.8248e+01       -1.4438e+03        0.997           3.3
   5      3.2578e+05       6.9214e+01       -1.8971e+03        0.998           4.2
   6      2.4612e+05       9.6714e+01       -2.4917e+03        0.998           4.6
   7      1.8594e+05       1.2585e+02       -3.2695e+03        0.998           5.0
   8      1.4048e+05       1.8073e+02       -4.2929e+03        0.999           5.5
   9      1.0613e+05       2.1529e+02       -5.6397e+03        0.998           5.9
  10      8.0180e+04       2.6878e+02       -7.4263e+03        0.998           6.3
  11      6.0575e+04       4.6621e+02       -9.7493e+03        0.998           7.0
  12      4.5764e+04       5.6524e+02       -1.2817e+04        0.998           7.6
  13      3.4574e+04       6.6835e+02       -1.6856e+04        0.998           8.1
  14      2.6121e+04       8.4202e+02       -2.2163e+04        0.999           8.5
  15      1.9734e+04       1.0444e+03       -2.9173e+04        0.999           8.9
  16      1.4909e+04       1.2776e+03       -3.8399e+04        0.999           9.4
  17      1.1263e+04       1.5932e+03       -5.0601e+04        0.999           9.8
  18      8.5095e+03       1.9709e+03       -6.6670e+04        0.998          10.3
  19      6.4288e+03       3.6725e+03       -8.8031e+04        0.999          10.9
  20      4.8569e+03       4.3709e+03       -1.1594e+05        0.999          11.6
  21      3.6694e+03       5.3998e+03       -1.5277e+05        0.998          12.0
  22      2.7722e+03       6.6440e+03       -2.0127e+05        0.998          12.5
  23      2.0944e+03       8.5006e+03       -2.6532e+05        0.999          12.9
  24      1.5823e+03       1.1046e+04       -3.4981e+05        0.999          13.4
  25      1.1954e+03       1.4479e+04       -4.6130e+05        0.998          13.8
  26      9.0311e+02       1.9571e+04       -6.0796e+05        0.997          14.2
  27      6.8229e+02       4.3845e+04       -8.0355e+05        0.998          14.9
  28      5.1546e+02       5.4996e+04       -1.0569e+06        0.998          15.6
  29      3.8943e+02       7.3111e+04       -1.3907e+06        0.998          16.0
  30      2.9421e+02       9.8248e+04       -1.8298e+06        0.997          16.5
  31      2.2227e+02       1.4954e+05       -2.4106e+06        0.998          16.9
  32      1.6793e+02       2.0024e+05       -3.1665e+06        0.998          17.3
  33      1.2687e+02       2.8986e+05       -4.1593e+06        0.997          17.8
  34      9.5846e+01       4.6399e+05       -5.4870e+06        0.998          18.4
  35      7.2411e+01       6.9884e+05       -7.0727e+06        0.997          18.9
  36      5.4092e+01       1.3408e+06       -8.5793e+06        0.996          20.3
  37      3.9533e+01       1.6504e+06       -1.2833e+07        0.995          22.5
  38      2.8174e+01       3.0798e+06       -1.6731e+07        0.981          24.4
  39      1.9503e+01       4.9929e+06       -2.3730e+07        0.979          26.0
  40      1.3058e+01       9.4128e+06       -3.3756e+07        0.989          27.9
  41      8.4196e+00       1.5956e+07       -4.7468e+07        0.968          30.1
  42      5.2123e+00       3.1024e+07       -6.7184e+07        0.990          32.7
  43      3.0979e+00       5.6510e+07       -9.0704e+07        0.998          36.1
  44      1.7783e+00       9.6972e+07       -1.1471e+08        0.997          41.0
  45      1.0000e+00       1.4989e+08       -1.3353e+08        0.994          45.7

