File.......:  202108170850_c-264_eis_rt - AUG,17.2021

System.....:  
Potential..:  0.010V
Current....:  -118.39nA
Temperature:  -0.7 +-0.2 C
Time.......:  08:50:45 - 08:51:32
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       9.0272e+01       -4.5809e+02        0.997           0.0
   2      7.5549e+05       1.5245e+02       -5.9546e+02        0.998           1.3
   3      5.7077e+05       2.3717e+02       -7.4711e+02        0.996           1.8
   4      4.3121e+05       4.1266e+02       -9.0183e+02        0.997           2.8
   5      3.2578e+05       6.1979e+02       -1.0626e+03        0.998           3.7
   6      2.4612e+05       8.9638e+02       -1.1945e+03        0.999           4.1
   7      1.8594e+05       1.2178e+03       -1.2599e+03        0.999           4.6
   8      1.4048e+05       1.5581e+03       -1.2469e+03        0.998           5.0
   9      1.0613e+05       1.8573e+03       -1.1652e+03        0.999           5.5
  10      8.0180e+04       2.1085e+03       -1.0307e+03        0.999           5.9
  11      6.0575e+04       2.2947e+03       -8.8943e+02        0.999           6.4
  12      4.5764e+04       2.4313e+03       -7.4513e+02        1.000           6.8
  13      3.4574e+04       2.5306e+03       -6.2667e+02        1.000           7.3
  14      2.6121e+04       2.6037e+03       -5.2333e+02        1.000           7.7
  15      1.9734e+04       2.6594e+03       -4.4269e+02        1.000           8.2
  16      1.4909e+04       2.7029e+03       -3.8119e+02        1.000           8.6
  17      1.1263e+04       2.7418e+03       -3.3536e+02        1.000           9.1
  18      8.5095e+03       2.7747e+03       -3.0365e+02        1.000           9.5
  19      6.4288e+03       2.8062e+03       -2.8439e+02        1.000          10.0
  20      4.8569e+03       2.8370e+03       -2.7392e+02        1.000          10.5
  21      3.6694e+03       2.8700e+03       -2.6724e+02        1.000          10.9
  22      2.7722e+03       2.9026e+03       -2.7389e+02        1.000          11.4
  23      2.0944e+03       2.9373e+03       -2.8712e+02        1.000          11.8
  24      1.5823e+03       2.9749e+03       -3.0738e+02        1.000          12.3
  25      1.1954e+03       3.0158e+03       -3.3798e+02        1.000          12.8
  26      9.0311e+02       3.0617e+03       -3.7601e+02        1.000          13.2
  27      6.8229e+02       3.1129e+03       -4.2514e+02        1.000          13.7
  28      5.1546e+02       3.1720e+03       -4.8544e+02        1.000          14.1
  29      3.8943e+02       3.2417e+03       -5.5535e+02        1.000          14.6
  30      2.9421e+02       3.3215e+03       -6.4064e+02        1.000          15.1
  31      2.2227e+02       3.4152e+03       -7.3811e+02        1.000          15.5
  32      1.6793e+02       3.5235e+03       -8.5489e+02        1.000          16.0
  33      1.2687e+02       3.6500e+03       -9.9026e+02        1.000          16.4
  34      9.5846e+01       3.8000e+03       -1.1464e+03        1.000          17.0
  35      7.2411e+01       3.9745e+03       -1.3236e+03        1.000          17.5
  36      5.4092e+01       4.1797e+03       -1.5451e+03        1.000          18.9
  37      3.9533e+01       4.4499e+03       -1.8110e+03        1.000          20.7
  38      2.8174e+01       4.7979e+03       -2.1409e+03        1.000          22.1
  39      1.9503e+01       5.2530e+03       -2.5546e+03        0.999          23.7
  40      1.3058e+01       5.8553e+03       -3.0795e+03        0.999          25.6
  41      8.4196e+00       6.6558e+03       -3.7529e+03        0.998          28.2
  42      5.2123e+00       7.7519e+03       -4.6342e+03        0.998          31.3
  43      3.0979e+00       9.2464e+03       -5.7794e+03        0.997          34.6
  44      1.7783e+00       1.1286e+04       -7.2580e+03        0.997          39.5
  45      1.0000e+00       1.3937e+04       -9.0972e+03        0.995          44.1

