File.......:  202108170859_c-266_eis_rt - AUG,17.2021

System.....:  
Potential..:  -0.005V
Current....:  -24.524pA
Temperature:  -0.6 +-0.1 C
Time.......:  08:59:06 - 08:59:56
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       5.8717e+00       -5.3200e+02        0.997           0.0
   2      7.5549e+05       5.5830e+00       -7.0049e+02        0.993           1.8
   3      5.7077e+05       1.0136e+00       -9.2368e+02        0.991           2.3
   4      4.3121e+05       4.4509e+01       -1.2210e+03        0.996           3.3
   5      3.2578e+05       6.2484e+01       -1.6021e+03        0.997           4.2
   6      2.4612e+05       8.6060e+01       -2.1051e+03        0.998           4.6
   7      1.8594e+05       1.0772e+02       -2.7624e+03        0.998           5.0
   8      1.4048e+05       1.5813e+02       -3.6269e+03        0.998           5.5
   9      1.0613e+05       1.8613e+02       -4.7661e+03        0.998           5.9
  10      8.0180e+04       2.3812e+02       -6.2800e+03        0.999           6.3
  11      6.0575e+04       4.0115e+02       -8.2419e+03        0.998           7.0
  12      4.5764e+04       4.8354e+02       -1.0830e+04        0.998           7.6
  13      3.4574e+04       5.7927e+02       -1.4238e+04        0.998           8.1
  14      2.6121e+04       7.2599e+02       -1.8731e+04        0.999           8.5
  15      1.9734e+04       8.9641e+02       -2.4653e+04        0.997           8.9
  16      1.4909e+04       1.1274e+03       -3.2447e+04        0.999           9.4
  17      1.1263e+04       1.4031e+03       -4.2739e+04        0.998           9.8
  18      8.5095e+03       1.7511e+03       -5.6294e+04        0.997          10.3
  19      6.4288e+03       2.1846e+03       -7.4155e+04        0.999          10.7
  20      4.8569e+03       3.8251e+03       -9.7831e+04        0.999          11.4
  21      3.6694e+03       4.7678e+03       -1.2891e+05        0.999          12.0
  22      2.7722e+03       5.9538e+03       -1.6982e+05        0.998          12.5
  23      2.0944e+03       7.6241e+03       -2.2377e+05        0.998          12.9
  24      1.5823e+03       1.0025e+04       -2.9490e+05        0.997          13.4
  25      1.1954e+03       1.3318e+04       -3.8875e+05        0.999          13.8
  26      9.0311e+02       1.8240e+04       -5.1217e+05        0.998          14.2
  27      6.8229e+02       2.5499e+04       -6.7471e+05        0.997          14.7
  28      5.1546e+02       4.9914e+04       -8.8951e+05        0.999          15.4
  29      3.8943e+02       6.7414e+04       -1.1700e+06        0.997          16.0
  30      2.9421e+02       9.2149e+04       -1.5403e+06        0.997          16.5
  31      2.2227e+02       1.3855e+05       -2.0199e+06        0.999          16.9
  32      1.6793e+02       1.9352e+05       -2.6589e+06        0.998          17.3
  33      1.2687e+02       2.8375e+05       -3.4914e+06        0.998          17.8
  34      9.5846e+01       4.6659e+05       -4.5423e+06        0.999          18.4
  35      7.2411e+01       6.1325e+05       -5.9808e+06        0.999          18.9
  36      5.4092e+01       1.7350e+06       -7.7242e+06        1.000          21.1
  37      3.9533e+01       1.9367e+06       -1.0813e+07        0.995          23.6
  38      2.8174e+01       3.1682e+06       -1.4034e+07        0.984          25.4
  39      1.9503e+01       5.7095e+06       -1.9515e+07        0.981          27.4
  40      1.3058e+01       1.0691e+07       -2.7293e+07        0.989          29.3
  41      8.4196e+00       1.9618e+07       -3.6047e+07        0.978          31.4
  42      5.2123e+00       3.5590e+07       -4.4361e+07        0.993          34.1
  43      3.0979e+00       5.7061e+07       -4.6904e+07        0.997          37.5
  44      1.7783e+00       7.7866e+07       -4.1628e+07        0.997          42.5
  45      1.0000e+00       9.2551e+07       -3.2343e+07        0.996          47.0

