File.......:  202109140856_c-283_eis_rt - SEP,14.2021

System.....:  
Potential..:  -0.063V
Current....:  -2.8825pA
Temperature:  -0.6 +-0.1 C
Time.......:  08:56:33 - 08:57:21
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.3918e+00       -5.7326e+02        0.996           0.0
   2      7.5549e+05       1.7109e+01       -7.6619e+02        0.992           1.8
   3      5.7077e+05      -8.8316e-01       -9.8972e+02        0.995           2.3
   4      4.3121e+05       5.1302e+01       -1.3121e+03        0.997           3.3
   5      3.2578e+05       6.8665e+01       -1.7236e+03        0.998           4.2
   6      2.4612e+05       9.3525e+01       -2.2596e+03        0.998           4.6
   7      1.8594e+05       1.1920e+02       -2.9659e+03        0.999           5.0
   8      1.4048e+05       1.6154e+02       -3.9015e+03        0.998           5.5
   9      1.0613e+05       1.9495e+02       -5.1295e+03        0.998           5.9
  10      8.0180e+04       2.4025e+02       -6.7610e+03        0.998           6.3
  11      6.0575e+04       4.0803e+02       -8.8711e+03        0.998           7.0
  12      4.5764e+04       4.8446e+02       -1.1668e+04        0.998           7.6
  13      3.4574e+04       5.7549e+02       -1.5358e+04        0.998           8.1
  14      2.6121e+04       7.1370e+02       -2.0205e+04        0.998           8.5
  15      1.9734e+04       8.7567e+02       -2.6618e+04        0.998           8.9
  16      1.4909e+04       1.0684e+03       -3.5056e+04        0.998           9.4
  17      1.1263e+04       1.3355e+03       -4.6216e+04        0.998           9.8
  18      8.5095e+03       1.6647e+03       -6.0915e+04        0.999          10.3
  19      6.4288e+03       3.0871e+03       -8.0482e+04        0.998          10.9
  20      4.8569e+03       3.7681e+03       -1.0598e+05        0.999          11.6
  21      3.6694e+03       4.6323e+03       -1.3980e+05        0.998          12.0
  22      2.7722e+03       5.7644e+03       -1.8425e+05        0.999          12.5
  23      2.0944e+03       7.4424e+03       -2.4301e+05        0.998          12.9
  24      1.5823e+03       9.8948e+03       -3.2051e+05        0.997          13.4
  25      1.1954e+03       1.3346e+04       -4.2261e+05        0.997          13.8
  26      9.0311e+02       1.8511e+04       -5.5749e+05        0.998          14.2
  27      6.8229e+02       2.6241e+04       -7.3481e+05        0.997          14.7
  28      5.1546e+02       5.2672e+04       -9.6937e+05        0.999          15.4
  29      3.8943e+02       7.2207e+04       -1.2754e+06        0.997          16.0
  30      2.9421e+02       1.0138e+05       -1.6778e+06        0.997          16.5
  31      2.2227e+02       1.5898e+05       -2.2021e+06        0.997          16.9
  32      1.6793e+02       2.2243e+05       -2.8959e+06        0.999          17.3
  33      1.2687e+02       3.3053e+05       -3.8011e+06        0.997          17.8
  34      9.5846e+01       5.1127e+05       -5.0185e+06        0.998          18.4
  35      7.2411e+01       8.9148e+05       -6.4271e+06        0.998          18.9
  36      5.4092e+01       2.4605e+06       -8.2237e+06        0.999          20.7
  37      3.9533e+01       1.7319e+06       -1.1240e+07        0.999          22.9
  38      2.8174e+01       3.4892e+06       -1.4692e+07        0.977          24.3
  39      1.9503e+01       5.9159e+06       -2.0382e+07        0.975          25.9
  40      1.3058e+01       1.0005e+07       -2.8125e+07        0.988          27.8
  41      8.4196e+00       1.8873e+07       -3.8698e+07        0.964          30.0
  42      5.2123e+00       3.2148e+07       -5.0725e+07        0.987          32.7
  43      3.0979e+00       5.3231e+07       -6.3943e+07        0.998          36.0
  44      1.7783e+00       8.2710e+07       -7.3225e+07        0.999          41.0
  45      1.0000e+00       1.1658e+08       -7.5429e+07        0.995          45.7

