File.......:  202109140859_c-284_eis_rt - SEP,14.2021

System.....:  
Potential..:  0.022V
Current....:  -2.3371pA
Temperature:  -0.7 +-0.1 C
Time.......:  08:59:36 - 09:00:24
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -6.9235e+00       -5.6705e+02        0.997           0.0
   2      7.5549e+05      -2.9456e-02       -7.5391e+02        0.997           1.8
   3      5.7077e+05      -9.8728e+00       -9.8975e+02        0.989           2.3
   4      4.3121e+05       4.1376e+01       -1.3037e+03        0.997           3.3
   5      3.2578e+05       5.7611e+01       -1.7152e+03        0.998           4.2
   6      2.4612e+05       7.8859e+01       -2.2498e+03        0.998           4.6
   7      1.8594e+05       1.0244e+02       -2.9552e+03        0.998           5.0
   8      1.4048e+05       1.4713e+02       -3.8857e+03        0.998           5.5
   9      1.0613e+05       1.7645e+02       -5.1116e+03        0.998           5.9
  10      8.0180e+04       2.2108e+02       -6.7349e+03        0.998           6.4
  11      6.0575e+04       3.8581e+02       -8.8423e+03        0.998           7.0
  12      4.5764e+04       4.6173e+02       -1.1633e+04        0.998           7.6
  13      3.4574e+04       5.5168e+02       -1.5317e+04        0.998           8.1
  14      2.6121e+04       6.8947e+02       -2.0150e+04        0.997           8.5
  15      1.9734e+04       8.5476e+02       -2.6561e+04        0.998           9.0
  16      1.4909e+04       1.0518e+03       -3.4964e+04        0.998           9.4
  17      1.1263e+04       1.3241e+03       -4.6103e+04        0.998           9.8
  18      8.5095e+03       1.6193e+03       -6.0802e+04        0.997          10.3
  19      6.4288e+03       3.0727e+03       -8.0296e+04        0.999          11.0
  20      4.8569e+03       3.6764e+03       -1.0566e+05        0.997          11.6
  21      3.6694e+03       4.6268e+03       -1.3946e+05        0.999          12.1
  22      2.7722e+03       5.8084e+03       -1.8379e+05        0.999          12.5
  23      2.0944e+03       7.4889e+03       -2.4236e+05        0.999          12.9
  24      1.5823e+03       9.9616e+03       -3.1961e+05        0.999          13.4
  25      1.1954e+03       1.3246e+04       -4.2149e+05        0.998          13.8
  26      9.0311e+02       1.8577e+04       -5.5577e+05        0.998          14.3
  27      6.8229e+02       2.6296e+04       -7.3235e+05        0.999          14.7
  28      5.1546e+02       5.2342e+04       -9.6613e+05        0.998          15.4
  29      3.8943e+02       7.1868e+04       -1.2711e+06        0.997          16.1
  30      2.9421e+02       9.9915e+04       -1.6724e+06        0.998          16.5
  31      2.2227e+02       1.5424e+05       -2.1908e+06        0.999          16.9
  32      1.6793e+02       2.1342e+05       -2.8847e+06        0.999          17.4
  33      1.2687e+02       3.1445e+05       -3.7860e+06        0.998          17.8
  34      9.5846e+01       4.9793e+05       -4.9941e+06        0.998          18.4
  35      7.2411e+01       8.0165e+05       -6.3990e+06        0.998          19.0
  36      5.4092e+01       1.2718e+06       -7.5695e+06        0.998          20.7
  37      3.9533e+01       2.3293e+06       -1.1553e+07        0.994          22.9
  38      2.8174e+01       3.0148e+06       -1.5015e+07        0.969          24.4
  39      1.9503e+01       5.0257e+06       -2.1089e+07        0.976          26.0
  40      1.3058e+01       9.6865e+06       -2.9119e+07        0.985          27.9
  41      8.4196e+00       1.6138e+07       -4.0102e+07        0.967          30.1
  42      5.2123e+00       3.1220e+07       -5.4130e+07        0.986          32.8
  43      3.0979e+00       5.3497e+07       -7.0784e+07        0.999          36.2
  44      1.7783e+00       8.7535e+07       -8.2585e+07        0.998          41.1
  45      1.0000e+00       1.2706e+08       -8.5281e+07        0.991          45.7

