File.......:  202109140901_c-285_eis_rt - SEP,14.2021

System.....:  
Potential..:  -0.001V
Current....:  -44.128uA
Temperature:  -0.7 +-0.1 C
Time.......:  09:01:45 - 09:02:33
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.1236e+01        7.5852e-01        0.999           0.0
   2      7.5549e+05       1.1197e+01        5.7949e-01        0.999           2.1
   3      5.7077e+05       1.1152e+01        4.4661e-01        1.000           2.6
   4      4.3121e+05       4.6178e+01       -1.3469e+03        0.997           3.8
   5      3.2578e+05       6.5602e+01       -1.7693e+03        0.998           5.0
   6      2.4612e+05       9.0340e+01       -2.3232e+03        0.998           5.4
   7      1.8594e+05       1.1697e+02       -3.0478e+03        0.998           5.8
   8      1.4048e+05       1.6751e+02       -4.0085e+03        0.998           6.3
   9      1.0613e+05       2.0725e+02       -5.2596e+03        0.998           6.7
  10      8.0180e+04       2.6388e+02       -6.9135e+03        0.998           7.1
  11      6.0575e+04       4.3923e+02       -9.0880e+03        0.998           7.8
  12      4.5764e+04       5.3348e+02       -1.1946e+04        0.998           8.4
  13      3.4574e+04       6.4853e+02       -1.5705e+04        0.998           8.9
  14      2.6121e+04       8.2129e+02       -2.0653e+04        0.998           9.3
  15      1.9734e+04       1.0283e+03       -2.7208e+04        0.998           9.7
  16      1.4909e+04       1.2895e+03       -3.5777e+04        0.999          10.2
  17      1.1263e+04       1.6550e+03       -4.7145e+04        0.997          10.6
  18      8.5095e+03       2.1288e+03       -6.2099e+04        0.998          11.1
  19      6.4288e+03       2.7995e+03       -8.1822e+04        0.998          11.5
  20      4.8569e+03       4.1637e+03       -1.0771e+05        0.999          11.9
  21      3.6694e+03       5.8606e+03       -1.4198e+05        0.997          12.4
  22      2.7722e+03       8.2703e+03       -1.8704e+05        0.997          12.8
  23      2.0944e+03       1.1967e+04       -2.4627e+05        0.997          13.3
  24      1.5823e+03       1.7815e+04       -3.2456e+05        0.997          13.7
  25      1.1954e+03       2.6258e+04       -4.2721e+05        0.998          14.2
  26      9.0311e+02       4.1220e+04       -5.6264e+05        0.998          14.6
  27      6.8229e+02       6.4402e+04       -7.4002e+05        0.997          15.0
  28      5.1546e+02       1.0379e+05       -9.7351e+05        0.999          15.5
  29      3.8943e+02       1.6918e+05       -1.2803e+06        0.998          15.9
  30      2.9421e+02       2.7525e+05       -1.6818e+06        0.998          16.4
  31      2.2227e+02       4.6248e+05       -2.2043e+06        0.996          16.8
  32      1.6793e+02       7.8408e+05       -2.8755e+06        0.997          17.2
  33      1.2687e+02       1.3132e+06       -3.6872e+06        0.995          17.7
  34      9.5846e+01       2.2164e+06       -4.7415e+06        0.993          18.3
  35      7.2411e+01       3.8399e+06       -5.9132e+06        0.992          18.9
  36      5.4092e+01       4.3481e+06       -6.8874e+06        0.993          20.4
  37      3.9533e+01       6.0645e+06       -6.5174e+06        0.997          22.1
  38      2.8174e+01       7.9644e+06       -6.9202e+06        0.978          23.6
  39      1.9503e+01       9.9192e+06       -6.2023e+06        0.984          25.2
  40      1.3058e+01       1.2013e+07       -5.1207e+06        0.992          27.0
  41      8.4196e+00       1.3560e+07       -4.1782e+06        0.986          29.2
  42      5.2123e+00       1.3760e+07       -2.7982e+06        0.983          31.9
  43      3.0979e+00       1.5112e+07       -2.4008e+06        0.988          35.2
  44      1.7783e+00       1.5309e+07       -2.1397e+06        0.993          40.1
  45      1.0000e+00       1.6638e+07       -2.2919e+06        0.994          44.6

