File.......:  202109150859_c-286_eis - SEP,15.2021

System.....:  
Potential..:  -0.066V
Current....:  -24.523pA
Temperature:  -0.7 +-0.2 C
Time.......:  08:59:29 - 09:00:19
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       5.6095e+00       -5.1183e+02        0.997           0.0
   2      7.5549e+05       1.3255e+01       -6.7364e+02        0.997           1.8
   3      5.7077e+05      -3.3094e+00       -8.8976e+02        0.996           2.3
   4      4.3121e+05       4.4724e+01       -1.1585e+03        0.996           3.3
   5      3.2578e+05       5.9560e+01       -1.5216e+03        0.998           4.2
   6      2.4612e+05       8.2117e+01       -1.9988e+03        0.998           4.6
   7      1.8594e+05       9.8380e+01       -2.6233e+03        0.998           5.0
   8      1.4048e+05       1.3822e+02       -3.4556e+03        0.998           5.5
   9      1.0613e+05       1.6460e+02       -4.5348e+03        0.998           5.9
  10      8.0180e+04       2.0510e+02       -5.9778e+03        0.998           6.3
  11      6.0575e+04       2.5630e+02       -7.8398e+03        0.998           6.8
  12      4.5764e+04       4.1424e+02       -1.0331e+04        0.998           7.4
  13      3.4574e+04       4.8704e+02       -1.3595e+04        0.998           8.1
  14      2.6121e+04       6.0291e+02       -1.7894e+04        0.998           8.5
  15      1.9734e+04       7.4930e+02       -2.3571e+04        0.998           8.9
  16      1.4909e+04       9.0762e+02       -3.1043e+04        0.997           9.4
  17      1.1263e+04       1.1195e+03       -4.0956e+04        0.999           9.8
  18      8.5095e+03       1.3653e+03       -5.4004e+04        0.997          10.3
  19      6.4288e+03       1.6726e+03       -7.1206e+04        0.999          10.7
  20      4.8569e+03       3.0721e+03       -9.3983e+04        0.999          11.4
  21      3.6694e+03       3.8338e+03       -1.2403e+05        0.999          12.0
  22      2.7722e+03       4.7031e+03       -1.6354e+05        0.998          12.5
  23      2.0944e+03       5.9892e+03       -2.1576e+05        0.997          12.9
  24      1.5823e+03       7.8980e+03       -2.8472e+05        0.998          13.4
  25      1.1954e+03       1.0616e+04       -3.7568e+05        0.999          13.8
  26      9.0311e+02       1.4517e+04       -4.9577e+05        0.998          14.3
  27      6.8229e+02       2.0488e+04       -6.5381e+05        0.998          14.7
  28      5.1546e+02       4.2366e+04       -8.6338e+05        0.999          15.4
  29      3.8943e+02       5.7692e+04       -1.1372e+06        0.997          16.0
  30      2.9421e+02       8.1983e+04       -1.4978e+06        0.997          16.5
  31      2.2227e+02       1.1643e+05       -1.9732e+06        0.999          16.9
  32      1.6793e+02       1.7687e+05       -2.5944e+06        0.998          17.3
  33      1.2687e+02       2.7852e+05       -3.4089e+06        0.998          17.8
  34      9.5846e+01       3.9782e+05       -4.4326e+06        0.998          18.4
  35      7.2411e+01       6.1587e+05       -5.8723e+06        0.998          18.9
  36      5.4092e+01       1.2087e+06       -6.9936e+06        0.996          20.7
  37      3.9533e+01       2.0122e+06       -1.0186e+07        0.995          23.3
  38      2.8174e+01       3.1641e+06       -1.3660e+07        0.977          25.5
  39      1.9503e+01       5.3542e+06       -1.8625e+07        0.976          27.5
  40      1.3058e+01       8.6539e+06       -2.6142e+07        0.990          29.4
  41      8.4196e+00       1.6436e+07       -3.6121e+07        0.968          31.6
  42      5.2123e+00       2.8386e+07       -4.7851e+07        0.987          34.3
  43      3.0979e+00       4.7529e+07       -6.1933e+07        0.999          37.7
  44      1.7783e+00       7.5612e+07       -7.3352e+07        0.998          42.6
  45      1.0000e+00       1.1029e+08       -7.8629e+07        0.997          47.2

