File.......:  202109150902_c-287_eis_rt - SEP,15.2021

System.....:  
Potential..:  -0.008V
Current....:  -23.429pA
Temperature:  -0.7 +-0.1 C
Time.......:  09:02:45 - 09:03:35
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.2222e+00       -4.6667e+02        0.997           0.0
   2      7.5549e+05       3.4186e+00       -6.1915e+02        0.997           1.8
   3      5.7077e+05       2.4979e+00       -8.0456e+02        0.994           2.3
   4      4.3121e+05       3.2382e+01       -1.0641e+03        0.996           3.3
   5      3.2578e+05       4.4327e+01       -1.3984e+03        0.998           4.2
   6      2.4612e+05       6.2595e+01       -1.8385e+03        0.998           4.6
   7      1.8594e+05       7.6348e+01       -2.4157e+03        0.998           5.0
   8      1.4048e+05       1.0897e+02       -3.1807e+03        0.998           5.5
   9      1.0613e+05       1.3359e+02       -4.1787e+03        0.998           5.9
  10      8.0180e+04       1.7282e+02       -5.5136e+03        0.998           6.3
  11      6.0575e+04       2.1395e+02       -7.2338e+03        0.998           6.8
  12      4.5764e+04       3.5518e+02       -9.5362e+03        0.998           7.4
  13      3.4574e+04       4.1620e+02       -1.2552e+04        0.998           8.1
  14      2.6121e+04       5.1735e+02       -1.6527e+04        0.999           8.5
  15      1.9734e+04       6.3808e+02       -2.1801e+04        0.999           8.9
  16      1.4909e+04       7.7453e+02       -2.8699e+04        0.999           9.4
  17      1.1263e+04       9.4720e+02       -3.7872e+04        0.999           9.8
  18      8.5095e+03       1.1686e+03       -4.9947e+04        0.999          10.3
  19      6.4288e+03       1.4171e+03       -6.5892e+04        0.997          10.7
  20      4.8569e+03       2.6650e+03       -8.6983e+04        0.997          11.4
  21      3.6694e+03       3.2705e+03       -1.1483e+05        0.998          12.0
  22      2.7722e+03       3.9707e+03       -1.5145e+05        0.999          12.5
  23      2.0944e+03       4.9714e+03       -1.9985e+05        0.998          12.9
  24      1.5823e+03       6.4097e+03       -2.6383e+05        0.997          13.4
  25      1.1954e+03       8.3297e+03       -3.4824e+05        0.998          13.8
  26      9.0311e+02       1.1360e+04       -4.5973e+05        0.998          14.3
  27      6.8229e+02       1.5450e+04       -6.0650e+05        0.997          14.7
  28      5.1546e+02       2.1542e+04       -8.0057e+05        0.999          15.1
  29      3.8943e+02       4.4924e+04       -1.0560e+06        0.999          15.8
  30      2.9421e+02       6.0515e+04       -1.3924e+06        0.999          16.5
  31      2.2227e+02       8.9794e+04       -1.8359e+06        0.997          16.9
  32      1.6793e+02       1.2300e+05       -2.4165e+06        0.999          17.3
  33      1.2687e+02       1.8112e+05       -3.1819e+06        0.997          17.8
  34      9.5846e+01       2.8884e+05       -4.1258e+06        0.997          18.4
  35      7.2411e+01       3.7285e+05       -5.5208e+06        0.998          18.9
  36      5.4092e+01       1.2678e+06       -6.6517e+06        0.999          21.1
  37      3.9533e+01       1.4448e+06       -9.9690e+06        0.994          24.0
  38      2.8174e+01       1.7046e+06       -1.3671e+07        0.970          25.8
  39      1.9503e+01       2.9056e+06       -1.8956e+07        0.979          27.4
  40      1.3058e+01       5.3282e+06       -2.6320e+07        0.987          29.3
  41      8.4196e+00       1.0833e+07       -3.9201e+07        0.965          31.4
  42      5.2123e+00       1.8759e+07       -5.7369e+07        0.988          34.1
  43      3.0979e+00       3.7321e+07       -8.3678e+07        0.998          37.5
  44      1.7783e+00       7.0821e+07       -1.1754e+08        0.998          42.5
  45      1.0000e+00       1.2585e+08       -1.5335e+08        0.990          47.1

