File.......:  202109170855_c-289_eis_rt - SEP,17.2021

System.....:  
Potential..:  0.002V
Current....:  -9.2671pA
Temperature:  -0.7 +-0.1 C
Time.......:  08:55:08 - 08:55:57
Comment....:  
              
              
              
              Main
time.......:  11280 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -1.0760e+01       -7.2996e+02        0.997           0.0
   2      7.5549e+05      -1.2648e+01       -9.5542e+02        0.998           1.8
   3      5.7077e+05      -3.6859e+01       -1.2491e+03        0.996           2.3
   4      4.3121e+05       4.7496e+01       -1.6525e+03        0.997           3.3
   5      3.2578e+05       7.1049e+01       -2.1695e+03        0.998           4.2
   6      2.4612e+05       1.0082e+02       -2.8506e+03        0.998           4.6
   7      1.8594e+05       1.3032e+02       -3.7407e+03        0.998           5.0
   8      1.4048e+05       1.9974e+02       -4.9129e+03        0.999           5.5
   9      1.0613e+05       2.3997e+02       -6.4620e+03        0.998           5.9
  10      8.0180e+04       3.0971e+02       -8.4998e+03        0.998           6.4
  11      6.0575e+04       5.2549e+02       -1.1157e+04        0.998           7.0
  12      4.5764e+04       6.2679e+02       -1.4663e+04        0.998           7.6
  13      3.4574e+04       7.6656e+02       -1.9300e+04        0.998           8.1
  14      2.6121e+04       9.5120e+02       -2.5359e+04        0.998           8.5
  15      1.9734e+04       1.1819e+03       -3.3403e+04        0.999           9.0
  16      1.4909e+04       1.4412e+03       -4.3927e+04        0.999           9.4
  17      1.1263e+04       1.7961e+03       -5.7921e+04        0.999           9.8
  18      8.5095e+03       2.2542e+03       -7.6294e+04        0.999          10.3
  19      6.4288e+03       4.1198e+03       -1.0074e+05        0.999          11.0
  20      4.8569e+03       4.9343e+03       -1.3259e+05        0.999          11.6
  21      3.6694e+03       6.1283e+03       -1.7487e+05        0.998          12.1
  22      2.7722e+03       7.6213e+03       -2.3036e+05        0.999          12.5
  23      2.0944e+03       9.7566e+03       -3.0371e+05        0.999          12.9
  24      1.5823e+03       1.2764e+04       -4.0045e+05        0.998          13.4
  25      1.1954e+03       1.6996e+04       -5.2819e+05        0.997          13.8
  26      9.0311e+02       2.2977e+04       -6.9601e+05        0.998          14.3
  27      6.8229e+02       5.0656e+04       -9.2002e+05        0.998          14.9
  28      5.1546e+02       6.4222e+04       -1.2095e+06        0.998          15.6
  29      3.8943e+02       8.8197e+04       -1.5916e+06        0.998          16.1
  30      2.9421e+02       1.2227e+05       -2.0976e+06        0.997          16.5
  31      2.2227e+02       1.8767e+05       -2.7536e+06        0.998          16.9
  32      1.6793e+02       2.5472e+05       -3.6208e+06        0.996          17.4
  33      1.2687e+02       3.7718e+05       -4.7531e+06        0.998          17.8
  34      9.5846e+01       6.4950e+05       -6.1704e+06        0.996          18.4
  35      7.2411e+01       7.5483e+05       -8.1848e+06        0.998          19.4
  36      5.4092e+01       2.8529e+06       -9.4968e+06        0.997          21.6
  37      3.9533e+01       2.9441e+06       -1.3896e+07        0.993          23.8
  38      2.8174e+01       3.8681e+06       -2.0129e+07        0.963          25.3
  39      1.9503e+01       6.3094e+06       -2.7141e+07        0.973          26.9
  40      1.3058e+01       1.0476e+07       -3.6694e+07        0.982          28.8
  41      8.4196e+00       1.9810e+07       -5.2263e+07        0.961          31.0
  42      5.2123e+00       3.5436e+07       -7.2451e+07        0.987          33.7
  43      3.0979e+00       6.3780e+07       -9.6658e+07        0.998          37.1
  44      1.7783e+00       1.0768e+08       -1.2066e+08        0.997          42.1
  45      1.0000e+00       1.6431e+08       -1.3824e+08        0.986          46.7

