File.......:  202109170901_c-291_eis_rt - SEP,17.2021

System.....:  
Potential..:  -0.015V
Current....:  -1.9706pA
Temperature:  -0.7 +-0.2 C
Time.......:  09:01:03 - 09:01:51
Comment....:  
              
              
              
              Main
time.......:  11280 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -2.4253e+00       -6.0240e+02        0.998           0.0
   2      7.5549e+05      -3.0137e+00       -7.9793e+02        0.996           1.8
   3      5.7077e+05      -1.3339e+00       -1.0433e+03        0.994           2.3
   4      4.3121e+05       4.9297e+01       -1.3676e+03        0.997           3.3
   5      3.2578e+05       6.8979e+01       -1.7934e+03        0.998           4.2
   6      2.4612e+05       9.6948e+01       -2.3572e+03        0.998           4.6
   7      1.8594e+05       1.2488e+02       -3.0875e+03        0.998           5.0
   8      1.4048e+05       1.7813e+02       -4.0559e+03        0.998           5.5
   9      1.0613e+05       2.1390e+02       -5.3298e+03        0.998           5.9
  10      8.0180e+04       2.7913e+02       -7.0146e+03        0.998           6.4
  11      6.0575e+04       4.5154e+02       -9.2006e+03        0.998           7.0
  12      4.5764e+04       5.4353e+02       -1.2091e+04        0.998           7.6
  13      3.4574e+04       6.6186e+02       -1.5898e+04        0.998           8.1
  14      2.6121e+04       8.2143e+02       -2.0905e+04        0.999           8.5
  15      1.9734e+04       1.0188e+03       -2.7509e+04        0.998           9.0
  16      1.4909e+04       1.2535e+03       -3.6191e+04        0.999           9.4
  17      1.1263e+04       1.5826e+03       -4.7684e+04        0.999           9.8
  18      8.5095e+03       1.9503e+03       -6.2783e+04        0.999          10.3
  19      6.4288e+03       3.4777e+03       -8.2865e+04        0.999          11.0
  20      4.8569e+03       4.1345e+03       -1.0902e+05        0.999          11.6
  21      3.6694e+03       5.2053e+03       -1.4372e+05        0.998          12.1
  22      2.7722e+03       6.4176e+03       -1.8925e+05        0.999          12.5
  23      2.0944e+03       8.1065e+03       -2.4942e+05        0.998          12.9
  24      1.5823e+03       1.0437e+04       -3.2875e+05        0.997          13.4
  25      1.1954e+03       1.3575e+04       -4.3334e+05        0.998          13.8
  26      9.0311e+02       1.8032e+04       -5.7100e+05        0.998          14.3
  27      6.8229e+02       2.4373e+04       -7.5239e+05        0.997          14.7
  28      5.1546e+02       4.7945e+04       -9.9237e+05        0.998          15.4
  29      3.8943e+02       6.2256e+04       -1.3062e+06        0.997          16.1
  30      2.9421e+02       7.9378e+04       -1.7200e+06        0.997          16.5
  31      2.2227e+02       1.2624e+05       -2.2599e+06        0.997          16.9
  32      1.6793e+02       1.5520e+05       -2.9742e+06        0.997          17.4
  33      1.2687e+02       2.0834e+05       -3.9131e+06        0.998          17.8
  34      9.5846e+01       3.0510e+05       -5.2216e+06        0.996          18.4
  35      7.2411e+01       5.8766e+05       -6.7049e+06        0.998          19.0
  36      5.4092e+01       1.1233e+06       -7.9477e+06        0.996          20.4
  37      3.9533e+01       1.7121e+06       -1.2205e+07        0.993          22.2
  38      2.8174e+01       2.3850e+06       -1.6218e+07        0.975          24.0
  39      1.9503e+01       4.1980e+06       -2.3078e+07        0.971          26.0
  40      1.3058e+01       6.2119e+06       -3.3493e+07        0.984          27.9
  41      8.4196e+00       1.2029e+07       -4.9395e+07        0.968          30.1
  42      5.2123e+00       2.4554e+07       -7.3953e+07        0.985          32.7
  43      3.0979e+00       5.2372e+07       -1.0550e+08        0.999          36.1
  44      1.7783e+00       1.0392e+08       -1.3935e+08        0.996          41.0
  45      1.0000e+00       1.7538e+08       -1.5977e+08        0.985          45.6

