File.......:  202109220855_c-293_eis_rt - SEP,22.2021

System.....:  
Potential..:  0.017V
Current....:  2.0363pA
Temperature:  -0.7 +-0.1 C
Time.......:  08:55:46 - 08:56:38
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -5.2004e+00       -5.6185e+02        0.998           0.0
   2      7.5549e+05      -4.8395e+00       -7.5380e+02        0.987           1.9
   3      5.7077e+05      -4.6872e+00       -9.6055e+02        0.992           2.8
   4      4.3121e+05       3.8149e+01       -1.2849e+03        0.996           4.1
   5      3.2578e+05       4.9471e+01       -1.6866e+03        0.998           5.0
   6      2.4612e+05       7.2825e+01       -2.2288e+03        0.997           5.4
   7      1.8594e+05       9.7212e+01       -2.9369e+03        0.997           5.9
   8      1.4048e+05       1.2430e+02       -3.8242e+03        0.999           6.3
   9      1.0613e+05       1.7673e+02       -5.0413e+03        0.998           6.8
  10      8.0180e+04       2.2903e+02       -6.6440e+03        0.997           7.2
  11      6.0575e+04       3.1293e+02       -8.6787e+03        0.997           7.7
  12      4.5764e+04       4.7723e+02       -1.1480e+04        0.998           8.3
  13      3.4574e+04       5.7102e+02       -1.5105e+04        0.998           9.0
  14      2.6121e+04       7.0276e+02       -1.9857e+04        0.999           9.5
  15      1.9734e+04       8.7209e+02       -2.6178e+04        0.999           9.9
  16      1.4909e+04       1.0756e+03       -3.4426e+04        0.998          10.4
  17      1.1263e+04       1.3493e+03       -4.5398e+04        0.998          10.8
  18      8.5095e+03       1.6194e+03       -5.9877e+04        0.997          11.3
  19      6.4288e+03       2.2388e+03       -7.8902e+04        0.998          11.8
  20      4.8569e+03       3.8405e+03       -1.0389e+05        0.999          12.5
  21      3.6694e+03       4.6902e+03       -1.3719e+05        0.998          13.1
  22      2.7722e+03       5.9727e+03       -1.8077e+05        0.998          13.6
  23      2.0944e+03       7.5252e+03       -2.3830e+05        0.999          14.1
  24      1.5823e+03       1.0043e+04       -3.1434e+05        0.998          14.5
  25      1.1954e+03       1.2851e+04       -4.1459e+05        0.996          15.0
  26      9.0311e+02       1.8326e+04       -5.4690e+05        0.997          15.4
  27      6.8229e+02       2.5925e+04       -7.2046e+05        0.997          15.9
  28      5.1546e+02       5.1325e+04       -9.5076e+05        0.999          16.6
  29      3.8943e+02       7.0409e+04       -1.2500e+06        0.998          17.3
  30      2.9421e+02       9.9210e+04       -1.6493e+06        0.999          17.7
  31      2.2227e+02       1.3063e+05       -2.1339e+06        0.997          18.2
  32      1.6793e+02       2.1585e+05       -2.8471e+06        0.996          18.6
  33      1.2687e+02       2.9379e+05       -3.7448e+06        0.996          19.1
  34      9.5846e+01       6.4161e+05       -4.7708e+06        0.993          19.7
  35      7.2411e+01       9.3037e+05       -6.2785e+06        0.997          20.3
  36      5.4092e+01      -2.1304e+06       -9.9608e+06        0.995          22.5
  37      3.9533e+01       9.9922e+05       -1.0663e+07        0.985          25.1
  38      2.8174e+01       3.8455e+06       -1.4260e+07        0.919          26.5
  39      1.9503e+01       5.8204e+06       -1.9382e+07        0.934          28.1
  40      1.3058e+01       1.1200e+07       -2.7560e+07        0.955          30.1
  41      8.4196e+00       1.9716e+07       -3.7507e+07        0.919          32.3
  42      5.2123e+00       3.6762e+07       -4.7028e+07        0.976          35.5
  43      3.0979e+00       5.8453e+07       -5.1833e+07        0.998          39.4
  44      1.7783e+00       8.2394e+07       -4.8913e+07        0.997          44.4
  45      1.0000e+00       1.0141e+08       -3.8871e+07        0.986          49.0

