File.......:  202109220858_c-294_eis_rt - SEP,22.2021

System.....:  
Potential..:  -0.015V
Current....:  -1.6201pA
Temperature:  -0.6 +-0.2 C
Time.......:  08:58:07 - 08:58:57
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       5.9819e+00       -4.6937e+02        0.996           0.0
   2      7.5549e+05       1.0270e+01       -6.3109e+02        0.995           1.8
   3      5.7077e+05       4.1474e+00       -8.1427e+02        0.994           2.3
   4      4.3121e+05       4.2074e+01       -1.0750e+03        0.996           3.3
   5      3.2578e+05       5.2976e+01       -1.4155e+03        0.997           4.2
   6      2.4612e+05       7.3813e+01       -1.8614e+03        0.998           4.7
   7      1.8594e+05       9.5573e+01       -2.4312e+03        0.998           5.1
   8      1.4048e+05       1.1476e+02       -3.2048e+03        0.998           5.5
   9      1.0613e+05       1.6144e+02       -4.2077e+03        0.998           6.0
  10      8.0180e+04       2.1222e+02       -5.5392e+03        0.999           6.4
  11      6.0575e+04       2.5462e+02       -7.2776e+03        0.998           6.9
  12      4.5764e+04       3.5040e+02       -9.5588e+03        0.998           7.3
  13      3.4574e+04       4.9274e+02       -1.2579e+04        0.999           8.0
  14      2.6121e+04       6.2095e+02       -1.6559e+04        1.000           8.7
  15      1.9734e+04       7.7747e+02       -2.1783e+04        0.999           9.2
  16      1.4909e+04       9.7139e+02       -2.8677e+04        0.998           9.6
  17      1.1263e+04       1.2288e+03       -3.7795e+04        0.997          10.1
  18      8.5095e+03       1.4761e+03       -4.9821e+04        0.997          10.5
  19      6.4288e+03       1.8610e+03       -6.5600e+04        0.998          11.0
  20      4.8569e+03       2.9946e+03       -8.7004e+04        0.997          11.4
  21      3.6694e+03       4.3116e+03       -1.1408e+05        0.999          12.1
  22      2.7722e+03       5.5231e+03       -1.5030e+05        0.999          12.8
  23      2.0944e+03       7.3237e+03       -1.9801e+05        0.997          13.3
  24      1.5823e+03       9.9151e+03       -2.6105e+05        0.997          13.7
  25      1.1954e+03       1.3499e+04       -3.4374e+05        0.998          14.2
  26      9.0311e+02       1.9514e+04       -4.5298e+05        0.998          14.7
  27      6.8229e+02       2.8114e+04       -5.9605e+05        0.999          15.1
  28      5.1546e+02       4.1794e+04       -7.8472e+05        0.997          15.6
  29      3.8943e+02       7.3352e+04       -1.0294e+06        0.997          16.3
  30      2.9421e+02       1.0993e+05       -1.3546e+06        0.998          17.0
  31      2.2227e+02       1.4214e+05       -1.7680e+06        0.995          17.4
  32      1.6793e+02       2.4322e+05       -2.3143e+06        0.995          17.9
  33      1.2687e+02       3.6347e+05       -3.0240e+06        0.999          18.3
  34      9.5846e+01       5.8928e+05       -4.0027e+06        0.996          18.9
  35      7.2411e+01       7.9642e+05       -5.2612e+06        0.994          19.5
  36      5.4092e+01       3.3142e+05       -5.3174e+06        0.998          20.9
  37      3.9533e+01       1.8277e+06       -9.5161e+06        0.986          22.7
  38      2.8174e+01       3.5255e+06       -1.1382e+07        0.926          24.2
  39      1.9503e+01       5.5257e+06       -1.5796e+07        0.947          25.8
  40      1.3058e+01       8.4432e+06       -2.0542e+07        0.964          27.7
  41      8.4196e+00       1.4100e+07       -2.7868e+07        0.931          29.9
  42      5.2123e+00       2.6762e+07       -3.6713e+07        0.970          32.6
  43      3.0979e+00       4.2959e+07       -4.4643e+07        0.998          36.7
  44      1.7783e+00       6.4741e+07       -4.5820e+07        0.998          42.3
  45      1.0000e+00       8.4519e+07       -3.9126e+07        0.987          46.9

