File.......:  202109240859_c-296_eis_rt - SEP,24.2021

System.....:  
Potential..:  0.048V
Current....:  -7.1115pA
Temperature:  -0.7 +-0.2 C
Time.......:  08:59:58 - 09:00:46
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -3.8328e-01       -5.9379e+02        0.998           0.0
   2      7.5549e+05      -1.5213e+00       -7.8214e+02        0.996           1.8
   3      5.7077e+05       1.7188e+00       -1.0408e+03        0.995           2.3
   4      4.3121e+05       3.9014e+01       -1.3626e+03        0.997           3.3
   5      3.2578e+05       5.6694e+01       -1.7907e+03        0.998           4.2
   6      2.4612e+05       8.0748e+01       -2.3549e+03        0.998           4.6
   7      1.8594e+05       1.0502e+02       -3.0910e+03        0.998           5.0
   8      1.4048e+05       1.4490e+02       -4.0688e+03        0.998           5.5
   9      1.0613e+05       1.7907e+02       -5.3451e+03        0.998           5.9
  10      8.0180e+04       2.2913e+02       -7.0529e+03        0.999           6.3
  11      6.0575e+04       3.9309e+02       -9.2626e+03        0.998           7.0
  12      4.5764e+04       4.6734e+02       -1.2181e+04        0.998           7.6
  13      3.4574e+04       5.5691e+02       -1.6045e+04        0.998           8.1
  14      2.6121e+04       6.9103e+02       -2.1106e+04        0.997           8.5
  15      1.9734e+04       8.4723e+02       -2.7833e+04        0.999           8.9
  16      1.4909e+04       1.0344e+03       -3.6634e+04        0.998           9.4
  17      1.1263e+04       1.2879e+03       -4.8321e+04        0.999           9.8
  18      8.5095e+03       1.5694e+03       -6.3710e+04        0.999          10.3
  19      6.4288e+03       3.0098e+03       -8.4216e+04        0.999          10.9
  20      4.8569e+03       3.5654e+03       -1.1099e+05        0.999          11.6
  21      3.6694e+03       4.3670e+03       -1.4639e+05        0.999          12.0
  22      2.7722e+03       5.3332e+03       -1.9303e+05        0.999          12.5
  23      2.0944e+03       6.7314e+03       -2.5467e+05        0.997          12.9
  24      1.5823e+03       8.7335e+03       -3.3606e+05        0.997          13.4
  25      1.1954e+03       1.1395e+04       -4.4359e+05        0.999          13.8
  26      9.0311e+02       1.5321e+04       -5.8526e+05        0.998          14.2
  27      6.8229e+02       2.1286e+04       -7.7183e+05        0.997          14.7
  28      5.1546e+02       4.5190e+04       -1.0192e+06        0.998          15.4
  29      3.8943e+02       6.0081e+04       -1.3429e+06        0.997          16.0
  30      2.9421e+02       8.1560e+04       -1.7707e+06        0.997          16.5
  31      2.2227e+02       1.1743e+05       -2.3267e+06        0.998          16.9
  32      1.6793e+02       1.6774e+05       -3.0679e+06        0.997          17.3
  33      1.2687e+02       2.4961e+05       -4.0364e+06        0.997          17.8
  34      9.5846e+01       4.1910e+05       -5.3235e+06        0.997          18.4
  35      7.2411e+01       5.6091e+05       -6.8583e+06        0.999          18.9
  36      5.4092e+01       5.3851e+05       -8.5190e+06        0.997          20.7
  37      3.9533e+01       1.8066e+06       -1.2552e+07        0.995          22.9
  38      2.8174e+01       2.2304e+06       -1.7124e+07        0.976          24.3
  39      1.9503e+01       4.0033e+06       -2.3342e+07        0.980          25.9
  40      1.3058e+01       6.8177e+06       -3.3258e+07        0.991          27.8
  41      8.4196e+00       1.3627e+07       -4.9213e+07        0.972          30.0
  42      5.2123e+00       2.3326e+07       -7.2518e+07        0.988          32.7
  43      3.0979e+00       4.6728e+07       -1.0518e+08        0.998          36.1
  44      1.7783e+00       8.8091e+07       -1.4826e+08        0.998          41.0
  45      1.0000e+00       1.5628e+08       -1.9367e+08        0.991          45.7

