File.......:  202109280850_c-299_eis_rt - SEP,28.2021

System.....:  
Potential..:  0.024V
Current....:  -121.18nA
Temperature:  -0.7 +-0.0 C
Time.......:  08:50:32 - 08:51:19
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.5707e+02       -5.4521e+02        0.998           0.0
   2      7.5549e+05       2.7080e+02       -6.7514e+02        0.991           1.3
   3      5.7077e+05       4.0111e+02       -8.3218e+02        0.996           1.8
   4      4.3121e+05       6.2062e+02       -9.2216e+02        0.998           2.8
   5      3.2578e+05       8.6782e+02       -9.9850e+02        0.999           3.7
   6      2.4612e+05       1.1394e+03       -1.0185e+03        0.999           4.1
   7      1.8594e+05       1.3979e+03       -9.6889e+02        0.998           4.6
   8      1.4048e+05       1.6226e+03       -8.6244e+02        0.999           5.0
   9      1.0613e+05       1.8017e+03       -7.4416e+02        1.000           5.5
  10      8.0180e+04       1.9260e+03       -6.1505e+02        1.000           5.9
  11      6.0575e+04       2.0074e+03       -4.9820e+02        1.000           6.4
  12      4.5764e+04       2.0636e+03       -3.9853e+02        1.000           6.8
  13      3.4574e+04       2.1006e+03       -3.1883e+02        1.000           7.3
  14      2.6121e+04       2.1238e+03       -2.5553e+02        1.000           7.7
  15      1.9734e+04       2.1404e+03       -2.0849e+02        1.000           8.2
  16      1.4909e+04       2.1525e+03       -1.7507e+02        1.000           8.6
  17      1.1263e+04       2.1629e+03       -1.5225e+02        1.000           9.1
  18      8.5095e+03       2.1715e+03       -1.3941e+02        1.000           9.5
  19      6.4288e+03       2.1804e+03       -1.3520e+02        1.000          10.0
  20      4.8569e+03       2.1904e+03       -1.3726e+02        1.000          10.5
  21      3.6694e+03       2.2026e+03       -1.4297e+02        1.000          10.9
  22      2.7722e+03       2.2161e+03       -1.5896e+02        1.000          11.4
  23      2.0944e+03       2.2328e+03       -1.8121e+02        1.000          11.8
  24      1.5823e+03       2.2533e+03       -2.1019e+02        1.000          12.3
  25      1.1954e+03       2.2784e+03       -2.4827e+02        1.000          12.8
  26      9.0311e+02       2.3095e+03       -2.9387e+02        1.000          13.2
  27      6.8229e+02       2.3475e+03       -3.4953e+02        1.000          13.7
  28      5.1546e+02       2.3938e+03       -4.1575e+02        1.000          14.1
  29      3.8943e+02       2.4511e+03       -4.9135e+02        1.000          14.6
  30      2.9421e+02       2.5179e+03       -5.8174e+02        1.000          15.1
  31      2.2227e+02       2.5979e+03       -6.8500e+02        1.000          15.5
  32      1.6793e+02       2.6897e+03       -8.0878e+02        1.000          16.0
  33      1.2687e+02       2.7962e+03       -9.5481e+02        1.000          16.4
  34      9.5846e+01       2.9212e+03       -1.1289e+03        1.000          17.0
  35      7.2411e+01       3.0682e+03       -1.3367e+03        0.999          17.5
  36      5.4092e+01       3.2446e+03       -1.6051e+03        0.999          18.9
  37      3.9533e+01       3.4849e+03       -1.9471e+03        0.999          20.7
  38      2.8174e+01       3.8127e+03       -2.3990e+03        0.999          22.1
  39      1.9503e+01       4.2747e+03       -2.9936e+03        0.999          23.7
  40      1.3058e+01       4.9353e+03       -3.7803e+03        0.998          25.6
  41      8.4196e+00       5.8875e+03       -4.8094e+03        0.998          28.2
  42      5.2123e+00       7.2759e+03       -6.1638e+03        0.998          31.3
  43      3.0979e+00       9.2523e+03       -7.9105e+03        0.998          34.6
  44      1.7783e+00       1.1975e+04       -1.0165e+04        0.998          39.5
  45      1.0000e+00       1.5606e+04       -1.2983e+04        0.998          44.1

