File.......:  202109280853_c-300_eis_rt - SEP,28.2021

System.....:  
Potential..:  -0.001V
Current....:  -2.2543nA
Temperature:  -0.6 +-0.1 C
Time.......:  08:53:17 - 08:54:05
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.9315e+00       -5.2813e+02        0.997           0.0
   2      7.5549e+05       1.1551e+01       -7.0699e+02        0.997           1.8
   3      5.7077e+05      -8.6305e+00       -9.3291e+02        0.995           2.3
   4      4.3121e+05       4.9775e+01       -1.2023e+03        0.996           3.3
   5      3.2578e+05       6.4845e+01       -1.5752e+03        0.998           4.2
   6      2.4612e+05       1.0208e+02       -2.0747e+03        0.999           4.7
   7      1.8594e+05       1.3370e+02       -2.7108e+03        0.997           5.1
   8      1.4048e+05       1.5351e+02       -3.5511e+03        0.999           5.5
   9      1.0613e+05       2.3044e+02       -4.6779e+03        0.998           6.0
  10      8.0180e+04       3.0414e+02       -6.1569e+03        0.997           6.4
  11      6.0575e+04       4.5303e+02       -8.0460e+03        0.999           6.9
  12      4.5764e+04       6.7875e+02       -1.0563e+04        0.998           7.6
  13      3.4574e+04       8.9871e+02       -1.3860e+04        0.998           8.2
  14      2.6121e+04       1.2310e+03       -1.8192e+04        0.999           8.7
  15      1.9734e+04       1.7171e+03       -2.3849e+04        0.997           9.2
  16      1.4909e+04       2.4358e+03       -3.1255e+04        0.997           9.6
  17      1.1263e+04       3.5006e+03       -4.0995e+04        0.999          10.1
  18      8.5095e+03       5.0670e+03       -5.3680e+04        0.999          10.5
  19      6.4288e+03       7.6210e+03       -7.0219e+04        0.999          11.0
  20      4.8569e+03       1.2597e+04       -9.1857e+04        0.997          11.7
  21      3.6694e+03       1.9100e+04       -1.1948e+05        0.999          12.4
  22      2.7722e+03       2.9355e+04       -1.5491e+05        0.999          12.8
  23      2.0944e+03       4.5806e+04       -1.9989e+05        0.997          13.3
  24      1.5823e+03       7.1859e+04       -2.5538e+05        0.999          13.7
  25      1.1954e+03       1.1244e+05       -3.2147e+05        0.996          14.2
  26      9.0311e+02       1.7349e+05       -3.9561e+05        0.999          14.7
  27      6.8229e+02       2.6150e+05       -4.7138e+05        1.000          15.1
  28      5.1546e+02       3.7817e+05       -5.3858e+05        0.998          15.6
  29      3.8943e+02       5.2640e+05       -5.7607e+05        0.998          16.3
  30      2.9421e+02       6.7983e+05       -5.8460e+05        0.999          17.0
  31      2.2227e+02       8.2395e+05       -5.6452e+05        0.999          17.4
  32      1.6793e+02       9.4799e+05       -5.0948e+05        0.998          17.9
  33      1.2687e+02       1.0439e+06       -4.4760e+05        0.999          18.3
  34      9.5846e+01       1.1185e+06       -4.0073e+05        0.999          18.9
  35      7.2411e+01       1.1808e+06       -3.4039e+05        1.000          19.4
  36      5.4092e+01       1.2133e+06       -3.6723e+05        0.999          20.8
  37      3.9533e+01       1.2528e+06       -2.3449e+05        0.999          22.6
  38      2.8174e+01       1.2902e+06       -2.2210e+05        0.991          24.0
  39      1.9503e+01       1.3147e+06       -2.1099e+05        0.997          25.6
  40      1.3058e+01       1.3429e+06       -2.2426e+05        0.999          27.5
  41      8.4196e+00       1.3831e+06       -2.4775e+05        0.995          29.6
  42      5.2123e+00       1.4350e+06       -2.9982e+05        0.999          32.2
  43      3.0979e+00       1.5117e+06       -3.8593e+05        1.000          35.6
  44      1.7783e+00       1.6207e+06       -5.2042e+05        1.000          40.5
  45      1.0000e+00       1.7798e+06       -7.2064e+05        1.000          45.0

