File.......:  202110011222_c-308_eis_rt - OCT,01.2021

System.....:  
Potential..:  0.008V
Current....:  -27.751pA
Temperature:  -0.7 +-0.1 C
Time.......:  12:22:20 - 12:23:08
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       8.9545e+00       -4.9746e+02        0.997           0.0
   2      7.5549e+05       1.1711e+01       -6.6609e+02        0.997           1.8
   3      5.7077e+05       7.5995e+00       -8.7800e+02        0.997           2.3
   4      4.3121e+05       4.1643e+01       -1.1395e+03        0.997           3.3
   5      3.2578e+05       5.4678e+01       -1.4974e+03        0.998           4.2
   6      2.4612e+05       7.1291e+01       -1.9699e+03        0.998           4.6
   7      1.8594e+05       8.8255e+01       -2.5863e+03        0.999           5.0
   8      1.4048e+05       1.2384e+02       -3.4094e+03        0.998           5.5
   9      1.0613e+05       1.4758e+02       -4.4789e+03        0.999           5.9
  10      8.0180e+04       1.8596e+02       -5.9028e+03        0.999           6.3
  11      6.0575e+04       2.2679e+02       -7.7480e+03        0.999           6.8
  12      4.5764e+04       3.7344e+02       -1.0221e+04        0.998           7.4
  13      3.4574e+04       4.3742e+02       -1.3460e+04        0.998           8.1
  14      2.6121e+04       5.4205e+02       -1.7725e+04        0.998           8.5
  15      1.9734e+04       6.4797e+02       -2.3368e+04        0.999           8.9
  16      1.4909e+04       8.0282e+02       -3.0796e+04        0.997           9.4
  17      1.1263e+04       9.7379e+02       -4.0633e+04        0.999           9.8
  18      8.5095e+03       1.1936e+03       -5.3614e+04        0.997          10.3
  19      6.4288e+03       1.4560e+03       -7.0725e+04        0.999          10.7
  20      4.8569e+03       2.7317e+03       -9.3512e+04        0.999          11.4
  21      3.6694e+03       3.4313e+03       -1.2335e+05        0.999          12.0
  22      2.7722e+03       4.1971e+03       -1.6272e+05        0.998          12.5
  23      2.0944e+03       5.3838e+03       -2.1479e+05        0.997          12.9
  24      1.5823e+03       7.0730e+03       -2.8357e+05        0.998          13.4
  25      1.1954e+03       9.3932e+03       -3.7436e+05        0.999          13.8
  26      9.0311e+02       1.3013e+04       -4.9405e+05        0.998          14.3
  27      6.8229e+02       1.8544e+04       -6.5220e+05        0.998          14.7
  28      5.1546e+02       3.9906e+04       -8.6127e+05        0.999          15.4
  29      3.8943e+02       5.4050e+04       -1.1355e+06        0.997          16.0
  30      2.9421e+02       7.4282e+04       -1.4950e+06        0.997          16.5
  31      2.2227e+02       1.1311e+05       -1.9728e+06        0.999          16.9
  32      1.6793e+02       1.6741e+05       -2.5903e+06        0.999          17.3
  33      1.2687e+02       2.5292e+05       -3.4008e+06        0.998          17.8
  34      9.5846e+01       3.8727e+05       -4.4810e+06        0.998          18.4
  35      7.2411e+01       6.6408e+05       -5.8211e+06        0.998          18.9
  36      5.4092e+01       1.5800e+06       -7.5726e+06        0.995          20.3
  37      3.9533e+01       1.4658e+06       -1.0270e+07        0.998          22.5
  38      2.8174e+01       2.7311e+06       -1.3594e+07        0.986          24.3
  39      1.9503e+01       4.6541e+06       -1.8887e+07        0.984          25.9
  40      1.3058e+01       8.2121e+06       -2.6755e+07        0.990          27.8
  41      8.4196e+00       1.3868e+07       -3.7072e+07        0.980          29.9
  42      5.2123e+00       2.6170e+07       -5.1269e+07        0.991          32.6
  43      3.0979e+00       4.5758e+07       -6.9378e+07        0.999          36.0
  44      1.7783e+00       7.7963e+07       -8.6654e+07        0.998          41.0
  45      1.0000e+00       1.2055e+08       -9.6739e+07        0.993          45.6

