File.......:  202111010902_c-310_eis_rt - NOV,01.2021

System.....:  
Potential..:  0.042V
Current....:  30.705pA
Temperature:  -0.7 +-0.1 C
Time.......:  09:02:34 - 09:03:22
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -1.2678e+01       -6.4919e+02        0.996           0.0
   2      7.5549e+05      -1.0425e+01       -8.3790e+02        0.995           1.8
   3      5.7077e+05      -2.3634e+01       -1.1400e+03        0.993           2.3
   4      4.3121e+05       4.8270e+01       -1.4574e+03        0.997           3.3
   5      3.2578e+05       6.7657e+01       -1.9129e+03        0.998           4.2
   6      2.4612e+05       9.4450e+01       -2.5107e+03        0.998           4.6
   7      1.8594e+05       1.2655e+02       -3.3010e+03        0.998           5.0
   8      1.4048e+05       1.9599e+02       -4.3351e+03        0.998           5.5
   9      1.0613e+05       2.1181e+02       -5.6887e+03        0.998           5.9
  10      8.0180e+04       2.7365e+02       -7.5030e+03        0.998           6.4
  11      6.0575e+04       4.5883e+02       -9.8417e+03        0.999           7.0
  12      4.5764e+04       5.5370e+02       -1.2938e+04        0.998           7.6
  13      3.4574e+04       6.5917e+02       -1.7012e+04        0.998           8.1
  14      2.6121e+04       8.3020e+02       -2.2383e+04        0.999           8.5
  15      1.9734e+04       1.0209e+03       -2.9468e+04        0.998           9.0
  16      1.4909e+04       1.2679e+03       -3.8782e+04        0.997           9.4
  17      1.1263e+04       1.5793e+03       -5.1100e+04        0.999           9.8
  18      8.5095e+03       1.9353e+03       -6.7348e+04        0.999          10.3
  19      6.4288e+03       3.5611e+03       -8.8908e+04        0.998          11.0
  20      4.8569e+03       4.2467e+03       -1.1708e+05        0.997          11.6
  21      3.6694e+03       5.2257e+03       -1.5432e+05        0.998          12.1
  22      2.7722e+03       6.4331e+03       -2.0334e+05        0.998          12.5
  23      2.0944e+03       8.0953e+03       -2.6809e+05        0.999          12.9
  24      1.5823e+03       1.0487e+04       -3.5352e+05        0.998          13.4
  25      1.1954e+03       1.3501e+04       -4.6625e+05        0.997          13.8
  26      9.0311e+02       1.8235e+04       -6.1483e+05        0.997          14.3
  27      6.8229e+02       4.0815e+04       -8.1266e+05        0.998          14.9
  28      5.1546e+02       5.0502e+04       -1.0692e+06        0.998          15.6
  29      3.8943e+02       6.6106e+04       -1.4085e+06        0.998          16.1
  30      2.9421e+02       8.9245e+04       -1.8544e+06        0.997          16.5
  31      2.2227e+02       1.1672e+05       -2.4360e+06        0.998          16.9
  32      1.6793e+02       1.7593e+05       -3.2123e+06        0.998          17.4
  33      1.2687e+02       2.6276e+05       -4.2270e+06        0.999          17.8
  34      9.5846e+01       3.5133e+05       -5.5430e+06        0.998          18.4
  35      7.2411e+01       5.9105e+05       -7.3078e+06        0.998          19.0
  36      5.4092e+01       1.6211e+06       -9.3340e+06        0.995          20.4
  37      3.9533e+01       1.6981e+06       -1.2677e+07        0.997          22.6
  38      2.8174e+01       2.5923e+06       -1.7966e+07        0.982          24.3
  39      1.9503e+01       4.2181e+06       -2.4993e+07        0.990          25.9
  40      1.3058e+01       7.5954e+06       -3.5792e+07        0.987          27.8
  41      8.4196e+00       1.2895e+07       -5.1366e+07        0.982          29.9
  42      5.2123e+00       2.5764e+07       -7.6004e+07        0.993          32.6
  43      3.0979e+00       4.9244e+07       -1.1162e+08        0.997          36.0
  44      1.7783e+00       9.3208e+07       -1.5769e+08        0.998          41.0
  45      1.0000e+00       1.6481e+08       -2.0696e+08        0.990          45.6

