File.......:  202111181444_c-320_eis_rt - NOV,18.2021

System.....:  
Potential..:  0.002V
Current....:  -62.945nA
Temperature:  -0.7 +-0.1 C
Time.......:  14:44:09 - 14:44:55
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.4240e+02       -2.1173e+02        0.999           0.0
   2      7.5549e+05       2.9623e+02       -1.9799e+02        0.999           1.3
   3      5.7077e+05       3.4086e+02       -1.7676e+02        0.999           1.8
   4      4.3121e+05       3.7111e+02       -1.4863e+02        1.000           2.5
   5      3.2578e+05       3.9381e+02       -1.2390e+02        1.000           3.2
   6      2.4612e+05       4.0860e+02       -1.0261e+02        1.000           3.7
   7      1.8594e+05       4.1933e+02       -8.5452e+01        1.000           4.1
   8      1.4048e+05       4.2748e+02       -7.2836e+01        1.000           4.6
   9      1.0613e+05       4.3237e+02       -6.3764e+01        1.000           5.0
  10      8.0180e+04       4.3733e+02       -5.8274e+01        1.000           5.5
  11      6.0575e+04       4.4045e+02       -5.7367e+01        1.000           5.9
  12      4.5764e+04       4.4486e+02       -5.8779e+01        1.000           6.3
  13      3.4574e+04       4.4975e+02       -6.3823e+01        1.000           6.8
  14      2.6121e+04       4.5475e+02       -7.1436e+01        1.000           7.3
  15      1.9734e+04       4.6094e+02       -8.2548e+01        1.000           7.7
  16      1.4909e+04       4.6817e+02       -9.8016e+01        1.000           8.2
  17      1.1263e+04       4.7783e+02       -1.1787e+02        1.000           8.6
  18      8.5095e+03       4.8904e+02       -1.4321e+02        1.000           9.1
  19      6.4288e+03       5.0370e+02       -1.7522e+02        1.000           9.6
  20      4.8569e+03       5.2222e+02       -2.1475e+02        0.999          10.0
  21      3.6694e+03       5.4630e+02       -2.6220e+02        1.000          10.5
  22      2.7722e+03       5.7640e+02       -3.2078e+02        0.999          10.9
  23      2.0944e+03       6.0985e+02       -3.8821e+02        1.000          11.6
  24      1.5823e+03       6.5739e+02       -4.7162e+02        1.000          12.3
  25      1.1954e+03       7.1605e+02       -5.7110e+02        0.999          12.8
  26      9.0311e+02       7.8841e+02       -6.8886e+02        1.000          13.2
  27      6.8229e+02       8.7629e+02       -8.2846e+02        0.999          13.7
  28      5.1546e+02       9.8270e+02       -9.9387e+02        1.000          14.1
  29      3.8943e+02       1.1125e+03       -1.1896e+03        0.999          14.6
  30      2.9421e+02       1.2675e+03       -1.4222e+03        1.000          15.1
  31      2.2227e+02       1.4564e+03       -1.6973e+03        0.999          15.5
  32      1.6793e+02       1.6831e+03       -2.0247e+03        0.999          16.0
  33      1.2687e+02       1.9589e+03       -2.4117e+03        0.999          16.4
  34      9.5846e+01       2.2963e+03       -2.8682e+03        0.999          17.0
  35      7.2411e+01       2.7098e+03       -3.3997e+03        0.999          17.5
  36      5.4092e+01       3.2198e+03       -4.0432e+03        0.999          18.9
  37      3.9533e+01       3.9153e+03       -4.8444e+03        0.999          20.7
  38      2.8174e+01       4.8445e+03       -5.8394e+03        0.999          22.5
  39      1.9503e+01       6.1168e+03       -7.0814e+03        0.999          24.5
  40      1.3058e+01       7.8559e+03       -8.6262e+03        0.999          26.4
  41      8.4196e+00       1.0245e+04       -1.0532e+04        0.999          28.7
  42      5.2123e+00       1.3504e+04       -1.2875e+04        0.999          31.3
  43      3.0979e+00       1.7856e+04       -1.5716e+04        1.000          34.6
  44      1.7783e+00       2.3575e+04       -1.9166e+04        0.999          39.6
  45      1.0000e+00       3.0659e+04       -2.3269e+04        0.999          44.2

