File.......:  cpafter ppobqliftfsi - OCT,02.2021

System.....:  
Potential..:  1.866V
Current....:  -232.34nA
Temperature:  -0.7 +-0.2 C
Time.......:  17:26:14 - 17:27:00
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.3178e+02       -5.3910e+01        0.999           0.0
   2      7.5549e+05       1.4116e+02       -5.1815e+01        1.000           1.0
   3      5.7077e+05       1.5010e+02       -4.9926e+01        1.000           1.5
   4      4.3121e+05       1.5829e+02       -4.7874e+01        1.000           2.3
   5      3.2578e+05       1.6615e+02       -4.6562e+01        1.000           3.0
   6      2.4612e+05       1.7381e+02       -4.5464e+01        1.000           3.4
   7      1.8594e+05       1.8118e+02       -4.4825e+01        1.000           3.9
   8      1.4048e+05       1.8858e+02       -4.4481e+01        1.000           4.4
   9      1.0613e+05       1.9576e+02       -4.4482e+01        1.000           4.8
  10      8.0180e+04       2.0306e+02       -4.5002e+01        1.000           5.3
  11      6.0575e+04       2.1022e+02       -4.6084e+01        1.000           5.7
  12      4.5764e+04       2.1782e+02       -4.7538e+01        1.000           6.2
  13      3.4574e+04       2.2576e+02       -4.9560e+01        1.000           6.7
  14      2.6121e+04       2.3404e+02       -5.1792e+01        1.000           7.1
  15      1.9734e+04       2.4285e+02       -5.4547e+01        1.000           7.6
  16      1.4909e+04       2.5219e+02       -5.7728e+01        1.000           8.1
  17      1.1263e+04       2.6230e+02       -6.1311e+01        1.000           8.5
  18      8.5095e+03       2.7293e+02       -6.5260e+01        1.000           9.0
  19      6.4288e+03       2.8434e+02       -6.9658e+01        1.000           9.5
  20      4.8569e+03       2.9660e+02       -7.4289e+01        1.000           9.9
  21      3.6694e+03       3.0998e+02       -7.8775e+01        1.000          10.4
  22      2.7722e+03       3.2401e+02       -8.4110e+01        1.000          10.9
  23      2.0944e+03       3.3910e+02       -8.9734e+01        1.000          11.4
  24      1.5823e+03       3.5538e+02       -9.5581e+01        1.000          11.8
  25      1.1954e+03       3.7279e+02       -1.0194e+02        1.000          12.3
  26      9.0311e+02       3.9161e+02       -1.0835e+02        1.000          12.8
  27      6.8229e+02       4.1189e+02       -1.1504e+02        1.000          13.2
  28      5.1546e+02       4.3376e+02       -1.2161e+02        0.999          13.7
  29      3.8943e+02       4.5763e+02       -1.2749e+02        1.000          14.2
  30      2.9421e+02       4.8282e+02       -1.3295e+02        1.000          14.7
  31      2.2227e+02       5.0975e+02       -1.3672e+02        1.000          15.1
  32      1.6793e+02       5.3745e+02       -1.3932e+02        1.000          15.6
  33      1.2687e+02       5.6584e+02       -1.4004e+02        1.000          16.1
  34      9.5846e+01       5.9440e+02       -1.3864e+02        1.000          16.6
  35      7.2411e+01       6.2212e+02       -1.3506e+02        1.000          17.2
  36      5.4092e+01       6.4932e+02       -1.3219e+02        1.000          18.6
  37      3.9533e+01       6.7691e+02       -1.2586e+02        1.000          20.4
  38      2.8174e+01       6.9934e+02       -1.1766e+02        0.999          22.2
  39      1.9503e+01       7.2550e+02       -1.0990e+02        0.999          24.2
  40      1.3058e+01       7.5085e+02       -1.0290e+02        0.999          26.1
  41      8.4196e+00       7.7592e+02       -9.7296e+01        0.999          28.3
  42      5.2123e+00       8.0138e+02       -9.3575e+01        0.999          30.9
  43      3.0979e+00       8.2707e+02       -9.1409e+01        0.999          34.2
  44      1.7783e+00       8.5496e+02       -9.1228e+01        0.999          39.2
  45      1.0000e+00       8.8312e+02       -9.0749e+01        0.998          43.7

