File.......:  cell3ppochloranilliftfsi - OCT,04.2021

System.....:  
Potential..:  0.018V
Current....:  -18.228nA
Temperature:  -0.7 +-0.1 C
Time.......:  09:46:32 - 09:47:20
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.8497e+02       -4.8416e+01        0.999           0.0
   2      7.5549e+05       1.8898e+02       -4.1247e+01        0.999           1.3
   3      5.7077e+05       1.9235e+02       -3.7051e+01        1.000           1.8
   4      4.3121e+05       1.9482e+02       -3.4513e+01        1.000           2.5
   5      3.2578e+05       1.9781e+02       -3.4021e+01        1.000           3.2
   6      2.4612e+05       2.0097e+02       -3.4916e+01        1.000           3.7
   7      1.8594e+05       2.0468e+02       -3.7207e+01        1.000           4.1
   8      1.4048e+05       2.0910e+02       -4.0874e+01        1.000           4.6
   9      1.0613e+05       2.1397e+02       -4.5780e+01        1.000           5.0
  10      8.0180e+04       2.1989e+02       -5.2115e+01        1.000           5.5
  11      6.0575e+04       2.2629e+02       -6.0101e+01        1.000           5.9
  12      4.5764e+04       2.3412e+02       -6.9711e+01        1.000           6.3
  13      3.4574e+04       2.4307e+02       -8.1413e+01        1.000           6.8
  14      2.6121e+04       2.5322e+02       -9.5191e+01        1.000           7.3
  15      1.9734e+04       2.6494e+02       -1.1196e+02        0.999           7.7
  16      1.4909e+04       2.7824e+02       -1.3240e+02        1.000           8.2
  17      1.1263e+04       2.9375e+02       -1.5737e+02        0.999           8.6
  18      8.5095e+03       3.1130e+02       -1.8775e+02        0.999           9.1
  19      6.4288e+03       3.3161e+02       -2.2536e+02        1.000           9.6
  20      4.8569e+03       3.5522e+02       -2.7147e+02        1.000          10.0
  21      3.6694e+03       3.8348e+02       -3.2781e+02        0.999          10.5
  22      2.7722e+03       4.1560e+02       -3.9843e+02        0.999          10.9
  23      2.0944e+03       4.5336e+02       -4.8603e+02        1.000          11.4
  24      1.5823e+03       4.9427e+02       -5.9105e+02        1.000          12.1
  25      1.1954e+03       5.4634e+02       -7.2745e+02        0.999          12.8
  26      9.0311e+02       6.0940e+02       -8.9884e+02        1.000          13.2
  27      6.8229e+02       6.8557e+02       -1.1151e+03        0.999          13.7
  28      5.1546e+02       7.7991e+02       -1.3875e+03        0.999          14.1
  29      3.8943e+02       9.0026e+02       -1.7305e+03        0.999          14.6
  30      2.9421e+02       1.0521e+03       -2.1604e+03        0.999          15.1
  31      2.2227e+02       1.2505e+03       -2.6969e+03        0.999          15.5
  32      1.6793e+02       1.5038e+03       -3.3650e+03        0.999          16.0
  33      1.2687e+02       1.8331e+03       -4.1925e+03        0.999          16.4
  34      9.5846e+01       2.2621e+03       -5.2137e+03        0.999          17.0
  35      7.2411e+01       2.8069e+03       -6.4482e+03        0.999          17.8
  36      5.4092e+01       3.5398e+03       -8.0321e+03        0.999          19.5
  37      3.9533e+01       4.5859e+03       -1.0125e+04        0.999          21.3
  38      2.8174e+01       6.0850e+03       -1.2931e+04        0.999          22.8
  39      1.9503e+01       8.2852e+03       -1.6739e+04        0.999          24.4
  40      1.3058e+01       1.1573e+04       -2.1970e+04        0.999          26.3
  41      8.4196e+00       1.6568e+04       -2.9220e+04        0.999          28.5
  42      5.2123e+00       2.4210e+04       -3.9304e+04        0.999          31.2
  43      3.0979e+00       3.5750e+04       -5.3230e+04        0.999          34.6
  44      1.7783e+00       5.2756e+04       -7.2410e+04        0.999          41.5
  45      1.0000e+00       7.6242e+04       -9.8441e+04        0.999          46.2

