File.......:  cell4ppochloranilliftfsi - OCT,05.2021

System.....:  
Potential..:  -0.013V
Current....:  -23.599nA
Temperature:  -0.7 +-0.2 C
Time.......:  16:03:01 - 16:03:48
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.6885e+01       -8.9085e+02        0.998           0.0
   2      7.5549e+05       6.5700e+01       -1.1860e+03        0.996           1.5
   3      5.7077e+05       8.7517e+01       -1.5744e+03        0.995           2.1
   4      4.3121e+05       2.8946e+02       -2.0164e+03        0.997           3.0
   5      3.2578e+05       4.7411e+02       -2.5990e+03        0.998           4.0
   6      2.4612e+05       7.7595e+02       -3.3489e+03        0.998           4.4
   7      1.8594e+05       1.2003e+03       -4.2591e+03        0.998           4.8
   8      1.4048e+05       1.9411e+03       -5.3052e+03        0.997           5.3
   9      1.0613e+05       2.9445e+03       -6.5193e+03        0.999           5.7
  10      8.0180e+04       4.5718e+03       -7.6960e+03        0.999           6.4
  11      6.0575e+04       6.5193e+03       -8.6830e+03        0.999           7.1
  12      4.5764e+04       8.8431e+03       -9.2705e+03        0.999           7.5
  13      3.4574e+04       1.1314e+04       -9.2761e+03        0.999           8.0
  14      2.6121e+04       1.3632e+04       -8.7122e+03        0.999           8.5
  15      1.9734e+04       1.5561e+04       -7.7573e+03        1.000           8.9
  16      1.4909e+04       1.7016e+04       -6.6353e+03        1.000           9.4
  17      1.1263e+04       1.8061e+04       -5.5442e+03        1.000           9.8
  18      8.5095e+03       1.8774e+04       -4.5870e+03        0.999          10.3
  19      6.4288e+03       1.9269e+04       -3.8180e+03        1.000          10.7
  20      4.8569e+03       1.9614e+04       -3.2193e+03        1.000          11.2
  21      3.6694e+03       1.9893e+04       -2.7687e+03        1.000          11.6
  22      2.7722e+03       2.0115e+04       -2.4963e+03        1.000          12.1
  23      2.0944e+03       2.0322e+04       -2.3457e+03        1.000          12.6
  24      1.5823e+03       2.0530e+04       -2.3042e+03        1.000          13.0
  25      1.1954e+03       2.0748e+04       -2.3802e+03        1.000          13.5
  26      9.0311e+02       2.0996e+04       -2.5452e+03        1.000          13.9
  27      6.8229e+02       2.1278e+04       -2.8146e+03        1.000          14.4
  28      5.1546e+02       2.1607e+04       -3.1867e+03        1.000          14.9
  29      3.8943e+02       2.2010e+04       -3.6509e+03        1.000          15.3
  30      2.9421e+02       2.2477e+04       -4.2450e+03        1.000          15.8
  31      2.2227e+02       2.3049e+04       -4.9450e+03        1.000          16.2
  32      1.6793e+02       2.3718e+04       -5.8077e+03        1.000          16.7
  33      1.2687e+02       2.4519e+04       -6.8268e+03        1.000          17.2
  34      9.5846e+01       2.5485e+04       -8.0208e+03        1.000          17.7
  35      7.2411e+01       2.6628e+04       -9.3988e+03        1.000          18.3
  36      5.4092e+01       2.7990e+04       -1.1133e+04        1.000          19.7
  37      3.9533e+01       2.9810e+04       -1.3256e+04        1.000          21.4
  38      2.8174e+01       3.2147e+04       -1.5983e+04        1.000          22.8
  39      1.9503e+01       3.5241e+04       -1.9544e+04        1.000          24.4
  40      1.3058e+01       3.9415e+04       -2.4308e+04        0.999          26.3
  41      8.4196e+00       4.5152e+04       -3.0804e+04        0.999          28.4
  42      5.2123e+00       5.3201e+04       -3.9853e+04        0.999          31.1
  43      3.0979e+00       6.4599e+04       -5.2642e+04        1.000          35.0
  44      1.7783e+00       8.0919e+04       -7.0898e+04        0.999          40.6
  45      1.0000e+00       1.0359e+05       -9.6360e+04        0.999          45.2

