File.......:  cell10ppobqliftfsi30wt - OCT,12.2021

System.....:  
Potential..:  0.013V
Current....:  -5.6542nA
Temperature:  -0.8 +-0.2 C
Time.......:  16:21:41 - 16:22:29
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       5.8005e+01       -8.2436e+02        0.997           0.0
   2      7.5549e+05       9.3344e+01       -1.0831e+03        0.998           1.5
   3      5.7077e+05       1.0637e+02       -1.3780e+03        0.996           2.1
   4      4.3121e+05       2.9421e+02       -1.7849e+03        0.997           3.0
   5      3.2578e+05       4.4654e+02       -2.3011e+03        0.997           4.0
   6      2.4612e+05       6.5970e+02       -2.9550e+03        0.997           4.4
   7      1.8594e+05       9.9722e+02       -3.7506e+03        0.996           4.8
   8      1.4048e+05       1.5007e+03       -4.7549e+03        0.998           5.3
   9      1.0613e+05       2.2450e+03       -5.9272e+03        0.998           5.7
  10      8.0180e+04       3.3640e+03       -7.2662e+03        0.998           6.2
  11      6.0575e+04       5.0738e+03       -8.5687e+03        0.999           6.9
  12      4.5764e+04       7.1708e+03       -9.7721e+03        0.999           7.5
  13      3.4574e+04       9.7496e+03       -1.0577e+04        0.999           8.0
  14      2.6121e+04       1.2561e+04       -1.0753e+04        0.999           8.5
  15      1.9734e+04       1.5292e+04       -1.0280e+04        1.000           8.9
  16      1.4909e+04       1.7641e+04       -9.2990e+03        0.999           9.4
  17      1.1263e+04       1.9493e+04       -8.0615e+03        1.000           9.8
  18      8.5095e+03       2.0839e+04       -6.7825e+03        1.000          10.3
  19      6.4288e+03       2.1766e+04       -5.6365e+03        1.000          10.7
  20      4.8569e+03       2.2406e+04       -4.6939e+03        1.000          11.2
  21      3.6694e+03       2.2878e+04       -3.8763e+03        1.000          11.6
  22      2.7722e+03       2.3210e+04       -3.3248e+03        1.000          12.1
  23      2.0944e+03       2.3476e+04       -2.9432e+03        1.000          12.6
  24      1.5823e+03       2.3710e+04       -2.7102e+03        1.000          13.0
  25      1.1954e+03       2.3930e+04       -2.6319e+03        1.000          13.5
  26      9.0311e+02       2.4160e+04       -2.6691e+03        1.000          13.9
  27      6.8229e+02       2.4407e+04       -2.8385e+03        1.000          14.4
  28      5.1546e+02       2.4684e+04       -3.1306e+03        1.000          14.9
  29      3.8943e+02       2.5018e+04       -3.5296e+03        1.000          15.3
  30      2.9421e+02       2.5392e+04       -4.0857e+03        1.000          15.8
  31      2.2227e+02       2.5838e+04       -4.7783e+03        1.000          16.2
  32      1.6793e+02       2.6357e+04       -5.6813e+03        1.000          16.7
  33      1.2687e+02       2.6973e+04       -6.8041e+03        1.000          17.1
  34      9.5846e+01       2.7726e+04       -8.1902e+03        1.000          17.7
  35      7.2411e+01       2.8623e+04       -9.8933e+03        1.000          18.3
  36      5.4092e+01       2.9722e+04       -1.2125e+04        1.000          19.7
  37      3.9533e+01       3.1207e+04       -1.5086e+04        1.000          21.4
  38      2.8174e+01       3.3259e+04       -1.9099e+04        1.000          22.8
  39      1.9503e+01       3.6129e+04       -2.4688e+04        1.000          24.4
  40      1.3058e+01       4.0242e+04       -3.2650e+04        0.999          26.3
  41      8.4196e+00       4.6325e+04       -4.4287e+04        0.999          28.4
  42      5.2123e+00       5.5539e+04       -6.1741e+04        0.999          31.6
  43      3.0979e+00       6.9888e+04       -8.8411e+04        0.998          35.4
  44      1.7783e+00       9.2574e+04       -1.2955e+05        0.998          40.4
  45      1.0000e+00       1.2761e+05       -1.9157e+05        0.997          44.9

