File.......:  cell3ppobqliftfsi30wt - OCT,12.2021

System.....:  
Potential..:  -0.079V
Current....:  7.2005nA
Temperature:  -0.7 +-0.1 C
Time.......:  16:19:47 - 16:20:35
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -2.5151e+01       -1.0222e+03        0.997           0.0
   2      7.5549e+05      -2.8985e+01       -1.3596e+03        0.997           1.8
   3      5.7077e+05      -9.9753e+01       -1.7821e+03        0.995           2.3
   4      4.3121e+05       6.2752e+01       -2.3491e+03        0.998           3.3
   5      3.2578e+05       9.3639e+01       -3.0978e+03        0.998           4.2
   6      2.4612e+05       1.8110e+02       -4.0634e+03        0.998           4.7
   7      1.8594e+05       2.3909e+02       -5.3154e+03        0.998           5.1
   8      1.4048e+05       4.0503e+02       -7.0092e+03        0.996           5.5
   9      1.0613e+05       4.8226e+02       -9.1495e+03        0.998           6.0
  10      8.0180e+04       9.0354e+02       -1.2045e+04        0.999           6.7
  11      6.0575e+04       1.1830e+03       -1.5764e+04        0.999           7.4
  12      4.5764e+04       1.6020e+03       -2.0643e+04        0.998           7.8
  13      3.4574e+04       2.2348e+03       -2.7057e+04        0.999           8.2
  14      2.6121e+04       3.2142e+03       -3.5363e+04        0.999           8.7
  15      1.9734e+04       4.6592e+03       -4.6329e+04        0.999           9.2
  16      1.4909e+04       6.8488e+03       -6.0554e+04        0.998           9.6
  17      1.1263e+04       1.0417e+04       -7.9055e+04        0.998          10.1
  18      8.5095e+03       1.7876e+04       -1.0300e+05        0.997          10.8
  19      6.4288e+03       2.6692e+04       -1.3343e+05        0.998          11.5
  20      4.8569e+03       4.0842e+04       -1.7209e+05        0.998          11.9
  21      3.6694e+03       6.3428e+04       -2.1959e+05        0.999          12.4
  22      2.7722e+03       9.8363e+04       -2.7626e+05        0.997          12.8
  23      2.0944e+03       1.5122e+05       -3.3990e+05        0.998          13.3
  24      1.5823e+03       2.2742e+05       -4.0488e+05        0.999          13.7
  25      1.1954e+03       3.2821e+05       -4.6079e+05        1.000          14.2
  26      9.0311e+02       4.5098e+05       -4.9682e+05        0.999          14.7
  27      6.8229e+02       5.8117e+05       -5.0268e+05        0.999          15.1
  28      5.1546e+02       7.1229e+05       -4.7033e+05        0.999          15.8
  29      3.8943e+02       8.1525e+05       -4.2785e+05        0.999          16.5
  30      2.9421e+02       8.9637e+05       -3.7764e+05        1.000          17.0
  31      2.2227e+02       9.5444e+05       -3.3041e+05        1.000          17.4
  32      1.6793e+02       1.0010e+06       -2.8465e+05        0.999          17.9
  33      1.2687e+02       1.0359e+06       -2.5200e+05        1.000          18.3
  34      9.5846e+01       1.0615e+06       -2.2732e+05        1.000          18.9
  35      7.2411e+01       1.0847e+06       -2.1295e+05        1.000          19.4
  36      5.4092e+01       1.0941e+06       -1.9411e+05        1.000          20.8
  37      3.9533e+01       1.1405e+06       -2.1779e+05        0.999          22.6
  38      2.8174e+01       1.1676e+06       -2.2631e+05        0.998          24.0
  39      1.9503e+01       1.2076e+06       -2.5005e+05        0.998          25.6
  40      1.3058e+01       1.2602e+06       -2.8817e+05        0.999          27.5
  41      8.4196e+00       1.3250e+06       -3.4735e+05        0.998          29.6
  42      5.2123e+00       1.4158e+06       -4.3212e+05        0.999          32.3
  43      3.0979e+00       1.5443e+06       -5.5476e+05        1.000          35.6
  44      1.7783e+00       1.7206e+06       -7.2783e+05        0.999          40.5
  45      1.0000e+00       1.9639e+06       -9.6184e+05        0.999          45.1

