File.......:  cell4ppochloranil0604liftfsi40wt - OCT,13.2021

System.....:  
Potential..:  0.023V
Current....:  -5.1841nA
Temperature:  -0.8 +-0.1 C
Time.......:  16:12:46 - 16:13:34
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       4.7230e+01       -8.4574e+02        0.999           0.0
   2      7.5549e+05       8.8245e+01       -1.1044e+03        0.996           1.5
   3      5.7077e+05       1.0498e+02       -1.4271e+03        0.995           2.1
   4      4.3121e+05       2.5266e+02       -1.8482e+03        0.997           3.0
   5      3.2578e+05       3.7372e+02       -2.3861e+03        0.998           4.0
   6      2.4612e+05       5.6686e+02       -3.0677e+03        0.998           4.4
   7      1.8594e+05       8.2204e+02       -3.9750e+03        0.997           4.8
   8      1.4048e+05       1.2394e+03       -5.0496e+03        0.999           5.3
   9      1.0613e+05       1.8567e+03       -6.4617e+03        0.998           5.7
  10      8.0180e+04       2.8205e+03       -8.1224e+03        0.998           6.2
  11      6.0575e+04       4.3731e+03       -9.9993e+03        0.999           6.9
  12      4.5764e+04       6.4542e+03       -1.2053e+04        0.998           7.5
  13      3.4574e+04       9.3136e+03       -1.4005e+04        0.999           8.0
  14      2.6121e+04       1.2953e+04       -1.5467e+04        0.999           8.5
  15      1.9734e+04       1.7106e+04       -1.6107e+04        0.999           8.9
  16      1.4909e+04       2.1287e+04       -1.5729e+04        0.998           9.4
  17      1.1263e+04       2.5041e+04       -1.4504e+04        0.999           9.8
  18      8.5095e+03       2.8078e+04       -1.2739e+04        0.999          10.3
  19      6.4288e+03       3.0320e+04       -1.0835e+04        1.000          10.7
  20      4.8569e+03       3.1931e+04       -9.0504e+03        1.000          11.2
  21      3.6694e+03       3.3020e+04       -7.4723e+03        1.000          11.6
  22      2.7722e+03       3.3793e+04       -6.2733e+03        1.000          12.1
  23      2.0944e+03       3.4359e+04       -5.3684e+03        1.000          12.6
  24      1.5823e+03       3.4814e+04       -4.7377e+03        1.000          13.0
  25      1.1954e+03       3.5195e+04       -4.3716e+03        1.000          13.5
  26      9.0311e+02       3.5563e+04       -4.2104e+03        1.000          13.9
  27      6.8229e+02       3.5936e+04       -4.2691e+03        1.000          14.4
  28      5.1546e+02       3.6338e+04       -4.5155e+03        1.000          14.9
  29      3.8943e+02       3.6813e+04       -4.9233e+03        1.000          15.3
  30      2.9421e+02       3.7340e+04       -5.5488e+03        1.000          15.8
  31      2.2227e+02       3.7966e+04       -6.3522e+03        1.000          16.2
  32      1.6793e+02       3.8677e+04       -7.4189e+03        1.000          16.7
  33      1.2687e+02       3.9520e+04       -8.7557e+03        1.000          17.2
  34      9.5846e+01       4.0530e+04       -1.0412e+04        1.000          17.7
  35      7.2411e+01       4.1712e+04       -1.2421e+04        1.000          18.3
  36      5.4092e+01       4.3145e+04       -1.5169e+04        1.000          19.7
  37      3.9533e+01       4.5052e+04       -1.8605e+04        1.000          21.4
  38      2.8174e+01       4.7597e+04       -2.3387e+04        1.000          22.8
  39      1.9503e+01       5.1099e+04       -3.0030e+04        1.000          24.4
  40      1.3058e+01       5.6051e+04       -3.9545e+04        0.999          26.7
  41      8.4196e+00       6.3277e+04       -5.3535e+04        0.999          29.3
  42      5.2123e+00       7.4105e+04       -7.4677e+04        0.999          31.9
  43      3.0979e+00       9.0768e+04       -1.0732e+05        0.999          35.2
  44      1.7783e+00       1.1695e+05       -1.5838e+05        0.999          40.2
  45      1.0000e+00       1.5752e+05       -2.3690e+05        0.998          44.7

