File.......:  cell1 - OCT,16.2021

System.....:  
Potential..:  0.069V
Current....:  -201.61nA
Temperature:  -0.8 +-0.1 C
Time.......:  14:13:27 - 14:14:13
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.3268e+02       -6.0284e+02        0.998           0.0
   2      7.5549e+05       3.4308e+02       -7.4137e+02        0.997           1.3
   3      5.7077e+05       4.7556e+02       -8.9206e+02        0.995           1.8
   4      4.3121e+05       6.9591e+02       -9.9889e+02        0.998           2.8
   5      3.2578e+05       9.3597e+02       -1.1065e+03        0.999           3.7
   6      2.4612e+05       1.2187e+03       -1.1713e+03        0.999           4.1
   7      1.8594e+05       1.5161e+03       -1.1790e+03        0.999           4.6
   8      1.4048e+05       1.8051e+03       -1.1189e+03        0.999           5.0
   9      1.0613e+05       2.0538e+03       -1.0158e+03        1.000           5.5
  10      8.0180e+04       2.2566e+03       -8.8467e+02        1.000           5.9
  11      6.0575e+04       2.4047e+03       -7.5042e+02        1.000           6.4
  12      4.5764e+04       2.5159e+03       -6.2230e+02        1.000           6.8
  13      3.4574e+04       2.5929e+03       -5.1628e+02        1.000           7.3
  14      2.6121e+04       2.6462e+03       -4.2580e+02        1.000           7.7
  15      1.9734e+04       2.6845e+03       -3.5625e+02        1.000           8.2
  16      1.4909e+04       2.7135e+03       -3.0597e+02        1.000           8.6
  17      1.1263e+04       2.7400e+03       -2.7031e+02        1.000           9.1
  18      8.5095e+03       2.7620e+03       -2.4909e+02        1.000           9.5
  19      6.4288e+03       2.7832e+03       -2.4079e+02        1.000          10.0
  20      4.8569e+03       2.8044e+03       -2.4259e+02        1.000          10.5
  21      3.6694e+03       2.8284e+03       -2.4923e+02        1.000          10.9
  22      2.7722e+03       2.8548e+03       -2.7150e+02        1.000          11.4
  23      2.0944e+03       2.8855e+03       -3.0312e+02        1.000          11.8
  24      1.5823e+03       2.9189e+03       -3.4484e+02        1.000          12.3
  25      1.1954e+03       2.9595e+03       -4.0090e+02        1.000          12.8
  26      9.0311e+02       3.0076e+03       -4.6927e+02        1.000          13.2
  27      6.8229e+02       3.0637e+03       -5.5522e+02        1.000          13.7
  28      5.1546e+02       3.1295e+03       -6.6089e+02        1.000          14.1
  29      3.8943e+02       3.2114e+03       -7.8672e+02        1.000          14.6
  30      2.9421e+02       3.3079e+03       -9.4197e+02        1.000          15.1
  31      2.2227e+02       3.4259e+03       -1.1264e+03        1.000          15.5
  32      1.6793e+02       3.5682e+03       -1.3514e+03        1.000          16.0
  33      1.2687e+02       3.7420e+03       -1.6208e+03        1.000          16.4
  34      9.5846e+01       3.9572e+03       -1.9419e+03        1.000          17.0
  35      7.2411e+01       4.2202e+03       -2.3194e+03        0.999          17.5
  36      5.4092e+01       4.5436e+03       -2.7930e+03        0.999          18.9
  37      3.9533e+01       4.9901e+03       -3.3862e+03        0.999          20.7
  38      2.8174e+01       5.5874e+03       -4.1431e+03        0.999          22.5
  39      1.9503e+01       6.4223e+03       -5.1279e+03        0.999          24.5
  40      1.3058e+01       7.5965e+03       -6.4129e+03        0.999          26.3
  41      8.4196e+00       9.2828e+03       -8.0898e+03        0.999          28.5
  42      5.2123e+00       1.1721e+04       -1.0250e+04        0.999          31.1
  43      3.0979e+00       1.5207e+04       -1.2929e+04        0.999          34.4
  44      1.7783e+00       2.0006e+04       -1.6109e+04        0.998          39.4
  45      1.0000e+00       2.6108e+04       -1.9732e+04        0.997          44.0

