File.......:  cell10 - OCT,15.2021

System.....:  
Potential..:  0.050V
Current....:  -9.1364nA
Temperature:  -0.8 +-0.0 C
Time.......:  15:20:48 - 15:21:36
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.6852e+02       -7.2220e+02        0.997           0.0
   2      7.5549e+05       2.5904e+02       -9.2036e+02        0.999           1.3
   3      5.7077e+05       3.7471e+02       -1.1453e+03        0.997           1.8
   4      4.3121e+05       5.9955e+02       -1.3967e+03        0.997           2.8
   5      3.2578e+05       8.7420e+02       -1.6768e+03        0.998           3.7
   6      2.4612e+05       1.2554e+03       -1.9559e+03        0.999           4.1
   7      1.8594e+05       1.7416e+03       -2.1947e+03        0.999           4.6
   8      1.4048e+05       2.3011e+03       -2.3208e+03        0.997           5.0
   9      1.0613e+05       2.9147e+03       -2.3550e+03        0.999           5.5
  10      8.0180e+04       3.5019e+03       -2.2345e+03        0.999           5.9
  11      6.0575e+04       4.0052e+03       -2.0191e+03        0.999           6.4
  12      4.5764e+04       4.3960e+03       -1.7443e+03        1.000           6.8
  13      3.4574e+04       4.6937e+03       -1.4778e+03        1.000           7.3
  14      2.6121e+04       4.8983e+03       -1.2105e+03        0.999           7.7
  15      1.9734e+04       5.0424e+03       -9.9156e+02        1.000           8.2
  16      1.4909e+04       5.1388e+03       -8.2176e+02        1.000           8.6
  17      1.1263e+04       5.2147e+03       -6.8663e+02        1.000           9.1
  18      8.5095e+03       5.2664e+03       -5.9220e+02        1.000           9.5
  19      6.4288e+03       5.3108e+03       -5.3033e+02        1.000          10.0
  20      4.8569e+03       5.3525e+03       -4.9533e+02        1.000          10.5
  21      3.6694e+03       5.3926e+03       -4.7601e+02        1.000          10.9
  22      2.7722e+03       5.4353e+03       -4.8829e+02        1.000          11.4
  23      2.0944e+03       5.4809e+03       -5.2070e+02        1.000          11.8
  24      1.5823e+03       5.5336e+03       -5.7279e+02        1.000          12.3
  25      1.1954e+03       5.5937e+03       -6.5167e+02        1.000          12.8
  26      9.0311e+02       5.6636e+03       -7.5180e+02        1.000          13.2
  27      6.8229e+02       5.7450e+03       -8.8304e+02        1.000          13.7
  28      5.1546e+02       5.8381e+03       -1.0486e+03        1.000          14.1
  29      3.8943e+02       5.9527e+03       -1.2503e+03        1.000          14.6
  30      2.9421e+02       6.0844e+03       -1.5051e+03        1.000          15.1
  31      2.2227e+02       6.2432e+03       -1.8153e+03        1.000          15.5
  32      1.6793e+02       6.4302e+03       -2.2054e+03        1.000          16.0
  33      1.2687e+02       6.6421e+03       -2.6925e+03        1.000          16.7
  34      9.5846e+01       6.9111e+03       -3.2905e+03        1.000          17.4
  35      7.2411e+01       7.2365e+03       -4.0287e+03        1.000          18.0
  36      5.4092e+01       7.6384e+03       -4.9948e+03        1.000          19.4
  37      3.9533e+01       8.1870e+03       -6.2873e+03        0.999          21.2
  38      2.8174e+01       8.9364e+03       -8.0808e+03        0.999          22.6
  39      1.9503e+01       9.9969e+03       -1.0623e+04        0.999          24.2
  40      1.3058e+01       1.1537e+04       -1.4331e+04        0.999          26.0
  41      8.4196e+00       1.3859e+04       -1.9895e+04        0.999          28.2
  42      5.2123e+00       1.7467e+04       -2.8490e+04        0.999          30.8
  43      3.0979e+00       2.3241e+04       -4.2021e+04        0.999          34.1
  44      1.7783e+00       3.2665e+04       -6.3613e+04        0.999          41.0
  45      1.0000e+00       4.7733e+04       -9.7346e+04        0.999          45.6

98          45.3

