File.......:  cell2ppochloranil0604liftfsi40wt - OCT,14.2021

System.....:  
Potential..:  -0.113V
Current....:  2.9422nA
Temperature:  -0.8 +-0.2 C
Time.......:  15:49:27 - 15:50:15
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -2.7470e+01       -9.4926e+02        0.998           0.0
   2      7.5549e+05       7.5431e+00       -1.2690e+03        0.998           1.8
   3      5.7077e+05      -3.1180e+01       -1.6455e+03        0.995           2.3
   4      4.3121e+05       6.7060e+01       -2.1782e+03        0.998           3.3
   5      3.2578e+05       1.0445e+02       -2.8465e+03        0.997           4.2
   6      2.4612e+05       1.6086e+02       -3.7337e+03        0.997           4.7
   7      1.8594e+05       2.5234e+02       -4.9160e+03        0.998           5.1
   8      1.4048e+05       3.6996e+02       -6.4093e+03        0.997           5.5
   9      1.0613e+05       5.3428e+02       -8.4013e+03        0.998           6.0
  10      8.0180e+04       9.0082e+02       -1.1037e+04        0.999           6.7
  11      6.0575e+04       1.2303e+03       -1.4407e+04        0.998           7.4
  12      4.5764e+04       1.6977e+03       -1.8852e+04        0.999           7.8
  13      3.4574e+04       2.3852e+03       -2.4689e+04        0.998           8.2
  14      2.6121e+04       3.4593e+03       -3.2230e+04        0.999           8.7
  15      1.9734e+04       5.1041e+03       -4.2151e+04        0.998           9.2
  16      1.4909e+04       7.6701e+03       -5.4873e+04        0.999           9.6
  17      1.1263e+04       1.1697e+04       -7.1361e+04        0.998          10.1
  18      8.5095e+03       1.9647e+04       -9.2494e+04        0.999          10.8
  19      6.4288e+03       2.9615e+04       -1.1886e+05        0.999          11.5
  20      4.8569e+03       4.5414e+04       -1.5133e+05        0.999          11.9
  21      3.6694e+03       7.0285e+04       -1.9008e+05        0.998          12.4
  22      2.7722e+03       1.0719e+05       -2.3323e+05        1.000          12.8
  23      2.0944e+03       1.6001e+05       -2.7672e+05        0.999          13.3
  24      1.5823e+03       2.3036e+05       -3.1345e+05        0.998          13.8
  25      1.1954e+03       3.1487e+05       -3.3551e+05        0.999          14.2
  26      9.0311e+02       4.0427e+05       -3.3694e+05        0.999          14.7
  27      6.8229e+02       4.8815e+05       -3.1756e+05        0.998          15.1
  28      5.1546e+02       5.5886e+05       -2.8414e+05        0.998          15.6
  29      3.8943e+02       6.1131e+05       -2.4298e+05        0.999          16.1
  30      2.9421e+02       6.5045e+05       -2.0434e+05        0.999          16.5
  31      2.2227e+02       6.7831e+05       -1.6556e+05        1.000          17.2
  32      1.6793e+02       6.9810e+05       -1.3910e+05        1.000          17.9
  33      1.2687e+02       7.1147e+05       -1.1840e+05        1.000          18.3
  34      9.5846e+01       7.2286e+05       -1.0170e+05        1.000          18.9
  35      7.2411e+01       7.3312e+05       -9.1783e+04        1.000          19.4
  36      5.4092e+01       7.3619e+05       -9.7831e+04        1.000          20.8
  37      3.9533e+01       7.5208e+05       -8.5245e+04        1.000          22.6
  38      2.8174e+01       7.5999e+05       -8.9010e+04        1.000          24.0
  39      1.9503e+01       7.7401e+05       -9.5431e+04        0.999          25.6
  40      1.3058e+01       7.9242e+05       -1.0908e+05        1.000          27.5
  41      8.4196e+00       8.1574e+05       -1.3076e+05        0.999          29.6
  42      5.2123e+00       8.4765e+05       -1.6456e+05        1.000          32.3
  43      3.0979e+00       8.9409e+05       -2.1386e+05        1.000          35.6
  44      1.7783e+00       9.5950e+05       -2.8609e+05        1.000          40.5
  45      1.0000e+00       1.0527e+06       -3.8816e+05        1.000          45.0

