File.......:  cell4ppocl0604liftfsi20wt - OCT,15.2021

System.....:  
Potential..:  -0.093V
Current....:  30.167nA
Temperature:  -0.8 +-0.2 C
Time.......:  15:24:00 - 15:24:49
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.3027e+02       -8.1904e+02        0.998           0.0
   2      7.5549e+05       2.2107e+02       -1.0507e+03        0.998           1.3
   3      5.7077e+05       3.5641e+02       -1.3748e+03        0.995           1.8
   4      4.3121e+05       6.4609e+02       -1.6401e+03        0.998           2.8
   5      3.2578e+05       9.9216e+02       -1.9859e+03        0.997           3.7
   6      2.4612e+05       1.4630e+03       -2.3029e+03        0.998           4.1
   7      1.8594e+05       2.0797e+03       -2.5591e+03        0.998           4.6
   8      1.4048e+05       2.7592e+03       -2.6437e+03        0.998           5.0
   9      1.0613e+05       3.4412e+03       -2.5861e+03        0.998           5.5
  10      8.0180e+04       4.0699e+03       -2.3694e+03        0.999           5.9
  11      6.0575e+04       4.5575e+03       -2.0735e+03        0.999           6.4
  12      4.5764e+04       4.9232e+03       -1.7482e+03        1.000           6.8
  13      3.4574e+04       5.1803e+03       -1.4556e+03        1.000           7.3
  14      2.6121e+04       5.3556e+03       -1.1972e+03        1.000           7.7
  15      1.9734e+04       5.4790e+03       -9.8876e+02        1.000           8.2
  16      1.4909e+04       5.5637e+03       -8.3705e+02        1.000           8.6
  17      1.1263e+04       5.6383e+03       -7.2333e+02        1.000           9.1
  18      8.5095e+03       5.6911e+03       -6.5153e+02        1.000           9.5
  19      6.4288e+03       5.7461e+03       -6.1509e+02        1.000          10.0
  20      4.8569e+03       5.7978e+03       -6.0584e+02        1.000          10.5
  21      3.6694e+03       5.8572e+03       -6.1412e+02        1.000          10.9
  22      2.7722e+03       5.9187e+03       -6.5837e+02        1.000          11.4
  23      2.0944e+03       5.9900e+03       -7.2604e+02        1.000          11.8
  24      1.5823e+03       6.0746e+03       -8.1811e+02        1.000          12.3
  25      1.1954e+03       6.1736e+03       -9.4318e+02        1.000          12.8
  26      9.0311e+02       6.2909e+03       -1.0955e+03        1.000          13.2
  27      6.8229e+02       6.4304e+03       -1.2859e+03        1.000          13.7
  28      5.1546e+02       6.5962e+03       -1.5160e+03        1.000          14.1
  29      3.8943e+02       6.7924e+03       -1.7875e+03        1.000          14.8
  30      2.9421e+02       7.0309e+03       -2.1146e+03        1.000          15.5
  31      2.2227e+02       7.3208e+03       -2.4949e+03        1.000          16.0
  32      1.6793e+02       7.6612e+03       -2.9502e+03        1.000          16.4
  33      1.2687e+02       8.0669e+03       -3.4853e+03        1.000          16.9
  34      9.5846e+01       8.5527e+03       -4.1122e+03        1.000          17.4
  35      7.2411e+01       9.1290e+03       -4.8421e+03        1.000          18.0
  36      5.4092e+01       9.8339e+03       -5.7460e+03        1.000          19.4
  37      3.9533e+01       1.0755e+04       -6.8719e+03        1.000          21.2
  38      2.8174e+01       1.1962e+04       -8.3209e+03        1.000          22.6
  39      1.9503e+01       1.3565e+04       -1.0204e+04        1.000          24.2
  40      1.3058e+01       1.5702e+04       -1.2711e+04        1.000          26.0
  41      8.4196e+00       1.8576e+04       -1.6152e+04        1.000          28.2
  42      5.2123e+00       2.2465e+04       -2.1089e+04        1.000          30.8
  43      3.0979e+00       2.7847e+04       -2.8497e+04        1.000          34.1
  44      1.7783e+00       3.5635e+04       -3.9942e+04        1.000          39.0
  45      1.0000e+00       4.7163e+04       -5.7236e+04        0.999          46.0

