File.......:  cell10ppobqliftfsi50wt1002 - OCT,18.2021

System.....:  
Potential..:  0.024V
Current....:  -1.8552nA
Temperature:  -0.7 +-0.2 C
Time.......:  10:22:11 - 10:23:00
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       7.3899e+01       -8.5880e+02        0.994           0.0
   2      7.5549e+05       9.7658e+01       -1.1352e+03        0.997           1.8
   3      5.7077e+05       4.2185e+01       -1.4509e+03        0.994           2.3
   4      4.3121e+05       1.8734e+02       -1.8854e+03        0.999           3.3
   5      3.2578e+05       2.3490e+02       -2.4663e+03        0.998           4.2
   6      2.4612e+05       3.2658e+02       -3.1921e+03        0.999           4.7
   7      1.8594e+05       4.7265e+02       -4.1610e+03        0.997           5.1
   8      1.4048e+05       5.9988e+02       -5.3940e+03        0.994           5.6
   9      1.0613e+05       8.6503e+02       -6.9661e+03        0.998           6.1
  10      8.0180e+04       1.1047e+03       -9.1403e+03        0.997           6.5
  11      6.0575e+04       1.5535e+03       -1.1814e+04        0.999           7.2
  12      4.5764e+04       2.0103e+03       -1.5344e+04        0.998           7.9
  13      3.4574e+04       2.6839e+03       -1.9940e+04        0.999           8.4
  14      2.6121e+04       3.6753e+03       -2.5863e+04        0.998           8.9
  15      1.9734e+04       5.1048e+03       -3.3564e+04        0.999           9.3
  16      1.4909e+04       7.2953e+03       -4.3512e+04        0.997           9.8
  17      1.1263e+04       1.0592e+04       -5.6316e+04        0.999          10.2
  18      8.5095e+03       1.5673e+04       -7.2639e+04        0.999          10.7
  19      6.4288e+03       2.4416e+04       -9.2789e+04        0.999          11.4
  20      4.8569e+03       3.6448e+04       -1.1794e+05        0.999          12.1
  21      3.6694e+03       5.4680e+04       -1.4783e+05        0.998          12.6
  22      2.7722e+03       8.1221e+04       -1.8190e+05        0.998          13.1
  23      2.0944e+03       1.1951e+05       -2.1746e+05        0.997          13.5
  24      1.5823e+03       1.7123e+05       -2.5038e+05        0.998          14.0
  25      1.1954e+03       2.3327e+05       -2.7581e+05        0.996          14.5
  26      9.0311e+02       3.0414e+05       -2.8746e+05        0.998          15.0
  27      6.8229e+02       3.7392e+05       -2.8490e+05        1.000          15.4
  28      5.1546e+02       4.3795e+05       -2.7107e+05        0.999          15.9
  29      3.8943e+02       4.9282e+05       -2.4876e+05        1.000          16.4
  30      2.9421e+02       5.3724e+05       -2.2624e+05        1.000          16.9
  31      2.2227e+02       5.7521e+05       -2.0274e+05        0.999          17.3
  32      1.6793e+02       6.0724e+05       -1.8518e+05        1.000          17.8
  33      1.2687e+02       6.3553e+05       -1.6790e+05        0.999          18.3
  34      9.5846e+01       6.6323e+05       -1.5303e+05        1.000          18.8
  35      7.2411e+01       6.8232e+05       -1.4402e+05        1.000          19.6
  36      5.4092e+01       6.8739e+05       -1.1987e+05        1.000          21.3
  37      3.9533e+01       7.2103e+05       -1.2479e+05        1.000          23.1
  38      2.8174e+01       7.4790e+05       -1.2211e+05        0.997          24.5
  39      1.9503e+01       7.6453e+05       -1.1723e+05        0.998          26.1
  40      1.3058e+01       7.8724e+05       -1.2196e+05        0.999          28.0
  41      8.4196e+00       8.0999e+05       -1.3500e+05        0.998          30.1
  42      5.2123e+00       8.3782e+05       -1.6058e+05        1.000          32.8
  43      3.0979e+00       8.7454e+05       -2.0898e+05        1.000          36.1
  44      1.7783e+00       9.2673e+05       -2.8801e+05        1.000          41.0
  45      1.0000e+00       1.0041e+06       -4.1547e+05        0.999          45.6

