File.......:  cell3ppoclliftfsi30wt1018 - OCT,19.2021

System.....:  
Potential..:  0.010V
Current....:  -4.4nA
Temperature:  -0.7 +-0.1 C
Time.......:  13:08:07 - 13:08:55
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.4653e+02       -8.5046e+02        0.998           0.0
   2      7.5549e+05       2.2686e+02       -1.1023e+03        0.996           1.5
   3      5.7077e+05       3.9167e+02       -1.4099e+03        0.996           2.1
   4      4.3121e+05       7.2255e+02       -1.7079e+03        0.997           3.0
   5      3.2578e+05       1.0672e+03       -2.0623e+03        0.997           4.0
   6      2.4612e+05       1.5275e+03       -2.3618e+03        0.997           4.4
   7      1.8594e+05       2.1267e+03       -2.6226e+03        0.998           4.9
   8      1.4048e+05       2.7618e+03       -2.7489e+03        0.998           5.4
   9      1.0613e+05       3.4533e+03       -2.8038e+03        0.998           5.8
  10      8.0180e+04       4.1099e+03       -2.7270e+03        0.999           6.3
  11      6.0575e+04       4.6753e+03       -2.5535e+03        1.000           6.7
  12      4.5764e+04       5.1230e+03       -2.3838e+03        0.999           7.2
  13      3.4574e+04       5.4920e+03       -2.2305e+03        1.000           7.7
  14      2.6121e+04       5.7507e+03       -2.1141e+03        0.999           8.1
  15      1.9734e+04       6.0165e+03       -2.0506e+03        1.000           8.6
  16      1.4909e+04       6.2643e+03       -2.0535e+03        1.000           9.1
  17      1.1263e+04       6.5561e+03       -2.1084e+03        1.000           9.5
  18      8.5095e+03       6.8466e+03       -2.2120e+03        1.000          10.2
  19      6.4288e+03       7.1782e+03       -2.3904e+03        1.000          10.9
  20      4.8569e+03       7.4900e+03       -2.6320e+03        1.000          11.4
  21      3.6694e+03       7.8717e+03       -2.9154e+03        1.000          11.9
  22      2.7722e+03       8.3326e+03       -3.2895e+03        1.000          12.3
  23      2.0944e+03       8.7049e+03       -3.7378e+03        1.000          12.8
  24      1.5823e+03       9.2661e+03       -4.2719e+03        1.000          13.3
  25      1.1954e+03       9.8300e+03       -4.9103e+03        0.999          13.8
  26      9.0311e+02       1.0551e+04       -5.6545e+03        0.999          14.2
  27      6.8229e+02       1.1398e+04       -6.5277e+03        0.999          14.7
  28      5.1546e+02       1.2366e+04       -7.5393e+03        0.999          15.2
  29      3.8943e+02       1.3492e+04       -8.6992e+03        1.000          15.7
  30      2.9421e+02       1.4790e+04       -1.0036e+04        1.000          16.1
  31      2.2227e+02       1.6335e+04       -1.1554e+04        0.999          16.6
  32      1.6793e+02       1.8075e+04       -1.3305e+04        0.999          17.0
  33      1.2687e+02       2.0059e+04       -1.5309e+04        0.999          17.5
  34      9.5846e+01       2.2339e+04       -1.7608e+04        0.999          18.1
  35      7.2411e+01       2.4952e+04       -2.0273e+04        0.999          18.7
  36      5.4092e+01       2.8013e+04       -2.3473e+04        0.999          20.1
  37      3.9533e+01       3.1838e+04       -2.7580e+04        0.999          21.9
  38      2.8174e+01       3.6661e+04       -3.2891e+04        0.999          23.3
  39      1.9503e+01       4.2958e+04       -3.9883e+04        0.999          24.9
  40      1.3058e+01       5.1269e+04       -4.9400e+04        0.999          27.2
  41      8.4196e+00       6.2579e+04       -6.2686e+04        0.999          29.8
  42      5.2123e+00       7.8459e+04       -8.1638e+04        0.999          32.4
  43      3.0979e+00       1.0127e+05       -1.0909e+05        0.999          35.8
  44      1.7783e+00       1.3449e+05       -1.4864e+05        0.999          40.8
  45      1.0000e+00       1.8148e+05       -2.0447e+05        0.999          45.4

