File.......:  cell10ppobqliftfsi40w1020 - OCT,22.2021

System.....:  
Potential..:  0.075V
Current....:  -3.5094nA
Temperature:  -0.7 +-0.1 C
Time.......:  10:35:25 - 10:36:13
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.4350e+02       -6.1813e+02        0.997           0.0
   2      7.5549e+05       3.7168e+02       -7.4864e+02        0.998           1.3
   3      5.7077e+05       5.3110e+02       -8.8510e+02        0.999           1.8
   4      4.3121e+05       7.7110e+02       -9.4751e+02        0.998           2.8
   5      3.2578e+05       1.0171e+03       -1.0009e+03        0.999           3.7
   6      2.4612e+05       1.2754e+03       -9.9699e+02        0.999           4.1
   7      1.8594e+05       1.5199e+03       -9.4189e+02        1.000           4.6
   8      1.4048e+05       1.7262e+03       -8.4782e+02        0.999           5.0
   9      1.0613e+05       1.8884e+03       -7.3164e+02        1.000           5.5
  10      8.0180e+04       2.0089e+03       -6.1368e+02        1.000           5.9
  11      6.0575e+04       2.0940e+03       -5.0987e+02        1.000           6.4
  12      4.5764e+04       2.1528e+03       -4.1995e+02        1.000           6.8
  13      3.4574e+04       2.1947e+03       -3.5087e+02        1.000           7.3
  14      2.6121e+04       2.2227e+03       -2.9786e+02        1.000           7.7
  15      1.9734e+04       2.2446e+03       -2.6056e+02        1.000           8.2
  16      1.4909e+04       2.2628e+03       -2.3838e+02        1.000           8.6
  17      1.1263e+04       2.2810e+03       -2.2901e+02        1.000           9.1
  18      8.5095e+03       2.2979e+03       -2.3198e+02        1.000           9.5
  19      6.4288e+03       2.3161e+03       -2.4732e+02        1.000          10.0
  20      4.8569e+03       2.3370e+03       -2.7377e+02        1.000          10.5
  21      3.6694e+03       2.3625e+03       -3.0915e+02        1.000          10.9
  22      2.7722e+03       2.3899e+03       -3.6306e+02        1.000          11.4
  23      2.0944e+03       2.4230e+03       -4.3273e+02        1.000          11.8
  24      1.5823e+03       2.4628e+03       -5.2155e+02        1.000          12.3
  25      1.1954e+03       2.5109e+03       -6.3563e+02        1.000          12.8
  26      9.0311e+02       2.5694e+03       -7.7797e+02        0.999          13.2
  27      6.8229e+02       2.6398e+03       -9.5708e+02        1.000          13.7
  28      5.1546e+02       2.7256e+03       -1.1810e+03        1.000          14.1
  29      3.8943e+02       2.8327e+03       -1.4586e+03        1.000          14.6
  30      2.9421e+02       2.9608e+03       -1.8065e+03        0.999          15.1
  31      2.2227e+02       3.1193e+03       -2.2388e+03        0.999          15.5
  32      1.6793e+02       3.3101e+03       -2.7818e+03        0.999          16.0
  33      1.2687e+02       3.5449e+03       -3.4633e+03        0.999          16.4
  34      9.5846e+01       3.8381e+03       -4.3194e+03        0.999          17.0
  35      7.2411e+01       4.2043e+03       -5.3900e+03        0.999          17.5
  36      5.4092e+01       4.6542e+03       -6.7886e+03        0.999          19.3
  37      3.9533e+01       5.3085e+03       -8.7100e+03        0.999          21.5
  38      2.8174e+01       6.2471e+03       -1.1403e+04        0.999          22.9
  39      1.9503e+01       7.6299e+03       -1.5256e+04        0.999          24.5
  40      1.3058e+01       9.7365e+03       -2.0909e+04        0.999          26.3
  41      8.4196e+00       1.3050e+04       -2.9411e+04        0.999          28.5
  42      5.2123e+00       1.8384e+04       -4.2530e+04        0.999          31.2
  43      3.0979e+00       2.7151e+04       -6.3042e+04        0.999          34.6
  44      1.7783e+00       4.1720e+04       -9.5574e+04        0.999          41.4
  45      1.0000e+00       6.5321e+04       -1.4590e+05        0.999          46.1

