File.......:  cell3ppoclliftfsi50wt1020 - OCT,22.2021

System.....:  
Potential..:  0.106V
Current....:  -22.914nA
Temperature:  -0.7 +-0.1 C
Time.......:  10:33:43 - 10:34:30
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       4.6778e+01       -9.6966e+02        0.998           0.0
   2      7.5549e+05       7.5464e+01       -1.2936e+03        0.996           1.5
   3      5.7077e+05       1.0717e+02       -1.6838e+03        0.991           2.1
   4      4.3121e+05       2.6380e+02       -2.1947e+03        0.998           3.0
   5      3.2578e+05       4.1511e+02       -2.8585e+03        0.998           4.0
   6      2.4612e+05       6.7934e+02       -3.6988e+03        0.998           4.4
   7      1.8594e+05       1.0274e+03       -4.7760e+03        0.999           4.8
   8      1.4048e+05       1.7212e+03       -6.0896e+03        0.997           5.3
   9      1.0613e+05       2.5583e+03       -7.6702e+03        0.999           5.7
  10      8.0180e+04       4.1284e+03       -9.4454e+03        0.999           6.4
  11      6.0575e+04       6.1512e+03       -1.1323e+04        0.999           7.1
  12      4.5764e+04       8.9150e+03       -1.3041e+04        0.999           7.5
  13      3.4574e+04       1.2348e+04       -1.4250e+04        0.999           8.0
  14      2.6121e+04       1.6132e+04       -1.4607e+04        1.000           8.5
  15      1.9734e+04       1.9874e+04       -1.4085e+04        0.999           8.9
  16      1.4909e+04       2.3107e+04       -1.2868e+04        1.000           9.4
  17      1.1263e+04       2.5669e+04       -1.1282e+04        0.999           9.8
  18      8.5095e+03       2.7549e+04       -9.6533e+03        0.999          10.3
  19      6.4288e+03       2.8885e+04       -8.2152e+03        1.000          10.7
  20      4.8569e+03       2.9850e+04       -7.0308e+03        1.000          11.2
  21      3.6694e+03       3.0578e+04       -6.0913e+03        1.000          11.6
  22      2.7722e+03       3.1158e+04       -5.4960e+03        1.000          12.1
  23      2.0944e+03       3.1669e+04       -5.1516e+03        1.000          12.6
  24      1.5823e+03       3.2163e+04       -5.0318e+03        1.000          13.0
  25      1.1954e+03       3.2678e+04       -5.1516e+03        1.000          13.5
  26      9.0311e+02       3.3227e+04       -5.4623e+03        1.000          13.9
  27      6.8229e+02       3.3839e+04       -5.9885e+03        1.000          14.4
  28      5.1546e+02       3.4539e+04       -6.7255e+03        1.000          14.9
  29      3.8943e+02       3.5375e+04       -7.6631e+03        1.000          15.3
  30      2.9421e+02       3.6338e+04       -8.8722e+03        1.000          15.8
  31      2.2227e+02       3.7488e+04       -1.0322e+04        1.000          16.2
  32      1.6793e+02       3.8838e+04       -1.2121e+04        1.000          16.7
  33      1.2687e+02       4.0438e+04       -1.4278e+04        1.000          17.2
  34      9.5846e+01       4.2376e+04       -1.6846e+04        1.000          17.7
  35      7.2411e+01       4.4699e+04       -1.9876e+04        1.000          18.3
  36      5.4092e+01       4.7439e+04       -2.3755e+04        1.000          19.7
  37      3.9533e+01       5.1301e+04       -2.8574e+04        1.000          21.4
  38      2.8174e+01       5.6357e+04       -3.4800e+04        1.000          22.8
  39      1.9503e+01       6.3332e+04       -4.2881e+04        0.999          24.8
  40      1.3058e+01       7.3048e+04       -5.3456e+04        0.999          27.1
  41      8.4196e+00       8.6802e+04       -6.7301e+04        0.999          29.2
  42      5.2123e+00       1.0624e+05       -8.5439e+04        0.999          31.9
  43      3.0979e+00       1.3351e+05       -1.0909e+05        0.999          35.2
  44      1.7783e+00       1.7093e+05       -1.3997e+05        0.998          40.1
  45      1.0000e+00       2.1995e+05       -1.7985e+05        0.998          44.7

