File.......:  cell1ppoclliftfsi30wt - OCT,25.2021

System.....:  
Potential..:  -0.007V
Current....:  -1.4507nA
Temperature:  -0.7 +-0.2 C
Time.......:  10:33:33 - 10:34:22
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       4.6285e+01       -6.3187e+02        0.996           0.0
   2      7.5549e+05       6.3871e+01       -8.2817e+02        0.997           1.8
   3      5.7077e+05       5.5415e+01       -1.0829e+03        0.997           2.3
   4      4.3121e+05       1.4108e+02       -1.3956e+03        0.998           3.3
   5      3.2578e+05       1.7769e+02       -1.8194e+03        0.998           4.2
   6      2.4612e+05       2.4201e+02       -2.3751e+03        0.998           4.7
   7      1.8594e+05       3.1605e+02       -3.0458e+03        0.997           5.1
   8      1.4048e+05       4.2201e+02       -4.0025e+03        0.999           5.6
   9      1.0613e+05       5.2929e+02       -5.2018e+03        0.999           6.1
  10      8.0180e+04       6.9548e+02       -6.8130e+03        0.999           6.5
  11      6.0575e+04       9.0292e+02       -8.8176e+03        0.996           7.0
  12      4.5764e+04       1.2676e+03       -1.1504e+04        0.999           7.7
  13      3.4574e+04       1.6962e+03       -1.5011e+04        0.998           8.4
  14      2.6121e+04       2.3677e+03       -1.9531e+04        0.999           8.9
  15      1.9734e+04       3.2049e+03       -2.5454e+04        0.998           9.3
  16      1.4909e+04       4.4160e+03       -3.3039e+04        0.997           9.8
  17      1.1263e+04       6.3839e+03       -4.3049e+04        0.999          10.2
  18      8.5095e+03       9.2702e+03       -5.5849e+04        0.998          10.7
  19      6.4288e+03       1.3836e+04       -7.2216e+04        0.998          11.2
  20      4.8569e+03       2.1551e+04       -9.2765e+04        0.999          11.9
  21      3.6694e+03       3.2631e+04       -1.1855e+05        0.999          12.6
  22      2.7722e+03       4.9090e+04       -1.4973e+05        0.997          13.1
  23      2.0944e+03       7.4292e+04       -1.8617e+05        0.998          13.6
  24      1.5823e+03       1.1063e+05       -2.2594e+05        0.998          14.0
  25      1.1954e+03       1.6062e+05       -2.6521e+05        0.996          14.5
  26      9.0311e+02       2.2415e+05       -2.9898e+05        0.998          15.0
  27      6.8229e+02       2.9822e+05       -3.2142e+05        0.999          15.4
  28      5.1546e+02       3.7634e+05       -3.2967e+05        0.999          15.9
  29      3.8943e+02       4.5111e+05       -3.2368e+05        0.999          16.4
  30      2.9421e+02       5.2031e+05       -3.1002e+05        0.999          16.9
  31      2.2227e+02       5.7780e+05       -2.9110e+05        1.000          17.3
  32      1.6793e+02       6.3350e+05       -2.7114e+05        0.998          18.0
  33      1.2687e+02       6.8074e+05       -2.5400e+05        0.999          18.7
  34      9.5846e+01       7.1828e+05       -2.3394e+05        0.999          19.3
  35      7.2411e+01       7.6553e+05       -2.1785e+05        1.000          19.9
  36      5.4092e+01       7.7046e+05       -1.8320e+05        1.000          21.3
  37      3.9533e+01       8.2909e+05       -1.9193e+05        1.000          23.1
  38      2.8174e+01       8.7636e+05       -1.8323e+05        0.995          24.5
  39      1.9503e+01       9.0440e+05       -1.6561e+05        0.999          26.1
  40      1.3058e+01       9.4116e+05       -1.5906e+05        0.998          27.9
  41      8.4196e+00       9.7431e+05       -1.5769e+05        0.997          30.1
  42      5.2123e+00       1.0106e+06       -1.6466e+05        0.999          32.8
  43      3.0979e+00       1.0516e+06       -1.8877e+05        1.000          36.1
  44      1.7783e+00       1.1001e+06       -2.3545e+05        1.000          41.0
  45      1.0000e+00       1.1635e+06       -3.1536e+05        1.000          45.6

