File.......:  cell4ppoclliftfsi40wt - OCT,26.2021

System.....:  
Potential..:  -0.019V
Current....:  -6.0711nA
Temperature:  -0.7 +-0.1 C
Time.......:  10:33:19 - 10:34:07
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.1745e+01       -8.8386e+02        0.995           0.0
   2      7.5549e+05       3.6405e+01       -1.1586e+03        0.997           1.5
   3      5.7077e+05       8.4803e+00       -1.4990e+03        0.996           2.1
   4      4.3121e+05       1.7410e+02       -1.9851e+03        0.997           3.0
   5      3.2578e+05       2.6186e+02       -2.5944e+03        0.998           4.0
   6      2.4612e+05       4.1249e+02       -3.3670e+03        0.999           4.4
   7      1.8594e+05       6.3099e+02       -4.3836e+03        0.996           4.9
   8      1.4048e+05       1.0935e+03       -5.6893e+03        0.997           5.4
   9      1.0613e+05       1.6192e+03       -7.3150e+03        0.998           5.8
  10      8.0180e+04       2.4988e+03       -9.3888e+03        0.995           6.3
  11      6.0575e+04       4.0270e+03       -1.1856e+04        0.998           7.0
  12      4.5764e+04       6.1638e+03       -1.4679e+04        0.998           7.6
  13      3.4574e+04       9.2388e+03       -1.7714e+04        0.998           8.1
  14      2.6121e+04       1.3548e+04       -2.0504e+04        0.998           8.6
  15      1.9734e+04       1.8945e+04       -2.2508e+04        0.998           9.1
  16      1.4909e+04       2.4934e+04       -2.3240e+04        0.999           9.5
  17      1.1263e+04       3.0931e+04       -2.2532e+04        0.999          10.0
  18      8.5095e+03       3.6068e+04       -2.0700e+04        1.000          10.5
  19      6.4288e+03       4.0274e+04       -1.8257e+04        0.999          10.9
  20      4.8569e+03       4.3212e+04       -1.5582e+04        0.999          11.4
  21      3.6694e+03       4.5460e+04       -1.3368e+04        1.000          11.9
  22      2.7722e+03       4.7013e+04       -1.1585e+04        1.000          12.3
  23      2.0944e+03       4.8207e+04       -1.0294e+04        1.000          12.8
  24      1.5823e+03       4.9198e+04       -9.4695e+03        1.000          13.3
  25      1.1954e+03       5.0051e+04       -9.1281e+03        1.000          13.8
  26      9.0311e+02       5.0934e+04       -9.1973e+03        1.000          14.2
  27      6.8229e+02       5.1866e+04       -9.6817e+03        1.000          14.7
  28      5.1546e+02       5.2916e+04       -1.0566e+04        1.000          15.2
  29      3.8943e+02       5.4185e+04       -1.1798e+04        1.000          15.7
  30      2.9421e+02       5.5662e+04       -1.3469e+04        1.000          16.1
  31      2.2227e+02       5.7442e+04       -1.5496e+04        1.000          16.6
  32      1.6793e+02       5.9597e+04       -1.8024e+04        1.000          17.0
  33      1.2687e+02       6.2194e+04       -2.1014e+04        1.000          17.5
  34      9.5846e+01       6.5352e+04       -2.4539e+04        1.000          18.3
  35      7.2411e+01       6.9030e+04       -2.8534e+04        1.000          19.1
  36      5.4092e+01       7.3823e+04       -3.3064e+04        1.000          20.6
  37      3.9533e+01       7.9461e+04       -3.8877e+04        0.999          22.3
  38      2.8174e+01       8.6936e+04       -4.6043e+04        0.999          23.8
  39      1.9503e+01       9.6494e+04       -5.4694e+04        1.000          25.4
  40      1.3058e+01       1.0872e+05       -6.6054e+04        0.999          27.2
  41      8.4196e+00       1.2440e+05       -8.1322e+04        0.999          29.4
  42      5.2123e+00       1.4478e+05       -1.0307e+05        0.999          32.0
  43      3.0979e+00       1.7224e+05       -1.3557e+05        0.999          35.4
  44      1.7783e+00       2.1053e+05       -1.8498e+05        0.999          40.3
  45      1.0000e+00       2.6495e+05       -2.5933e+05        0.999          44.9

