File.......:  cell4ppobqliftfsi40wt - OCT,29.2021

System.....:  
Potential..:  0.036V
Current....:  -6.423nA
Temperature:  -0.8 +-0.2 C
Time.......:  13:42:27 - 13:43:15
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.1973e+02       -6.5004e+02        0.998           0.0
   2      7.5549e+05       4.8578e+02       -7.4857e+02        0.997           1.3
   3      5.7077e+05       6.7554e+02       -8.4286e+02        0.998           1.8
   4      4.3121e+05       9.0431e+02       -8.0969e+02        0.999           2.8
   5      3.2578e+05       1.1107e+03       -7.7486e+02        0.999           3.7
   6      2.4612e+05       1.2875e+03       -7.0106e+02        0.999           4.1
   7      1.8594e+05       1.4265e+03       -6.0804e+02        1.000           4.6
   8      1.4048e+05       1.5276e+03       -5.0813e+02        1.000           5.0
   9      1.0613e+05       1.5994e+03       -4.2286e+02        1.000           5.5
  10      8.0180e+04       1.6490e+03       -3.4781e+02        1.000           5.9
  11      6.0575e+04       1.6817e+03       -2.9031e+02        1.000           6.4
  12      4.5764e+04       1.7055e+03       -2.4643e+02        1.000           6.8
  13      3.4574e+04       1.7248e+03       -2.1695e+02        1.000           7.3
  14      2.6121e+04       1.7403e+03       -1.9837e+02        1.000           7.7
  15      1.9734e+04       1.7546e+03       -1.9143e+02        1.000           8.2
  16      1.4909e+04       1.7693e+03       -1.9482e+02        1.000           8.6
  17      1.1263e+04       1.7859e+03       -2.0804e+02        1.000           9.1
  18      8.5095e+03       1.8041e+03       -2.3133e+02        1.000           9.5
  19      6.4288e+03       1.8258e+03       -2.6579e+02        1.000          10.0
  20      4.8569e+03       1.8518e+03       -3.1093e+02        1.000          10.5
  21      3.6694e+03       1.8838e+03       -3.6642e+02        1.000          10.9
  22      2.7722e+03       1.9213e+03       -4.4047e+02        1.000          11.4
  23      2.0944e+03       1.9669e+03       -5.3203e+02        1.000          11.8
  24      1.5823e+03       2.0229e+03       -6.4477e+02        1.000          12.3
  25      1.1954e+03       2.0898e+03       -7.8510e+02        0.999          12.8
  26      9.0311e+02       2.1712e+03       -9.5647e+02        1.000          13.2
  27      6.8229e+02       2.2685e+03       -1.1681e+03        1.000          13.7
  28      5.1546e+02       2.3855e+03       -1.4284e+03        0.999          14.1
  29      3.8943e+02       2.5286e+03       -1.7482e+03        0.999          14.6
  30      2.9421e+02       2.6980e+03       -2.1439e+03        0.999          15.1
  31      2.2227e+02       2.9041e+03       -2.6321e+03        0.999          15.5
  32      1.6793e+02       3.1481e+03       -3.2400e+03        0.999          16.0
  33      1.2687e+02       3.4419e+03       -3.9974e+03        0.999          16.4
  34      9.5846e+01       3.8005e+03       -4.9464e+03        0.999          17.0
  35      7.2411e+01       4.2233e+03       -6.1225e+03        0.999          17.8
  36      5.4092e+01       4.7730e+03       -7.6733e+03        0.999          19.4
  37      3.9533e+01       5.5408e+03       -9.7980e+03        0.999          21.2
  38      2.8174e+01       6.6305e+03       -1.2771e+04        0.999          22.6
  39      1.9503e+01       8.2404e+03       -1.7017e+04        0.999          24.2
  40      1.3058e+01       1.0690e+04       -2.3215e+04        0.999          26.1
  41      8.4196e+00       1.4534e+04       -3.2475e+04        0.999          28.3
  42      5.2123e+00       2.0700e+04       -4.6620e+04        0.999          31.0
  43      3.0979e+00       3.0715e+04       -6.8523e+04        1.000          35.0
  44      1.7783e+00       4.7122e+04       -1.0286e+05        1.000          40.7
  45      1.0000e+00       7.3164e+04       -1.5544e+05        0.999          45.3

