File.......:  cell3ppoclliftfsi20wt - OCT,30.2021

System.....:  
Potential..:  0.042V
Current....:  -38.91nA
Temperature:  -0.7 +-0.0 C
Time.......:  15:01:28 - 15:02:15
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.9612e+02       -2.5962e+02        0.999           0.0
   2      7.5549e+05       4.5847e+02       -2.2752e+02        0.999           1.3
   3      5.7077e+05       5.1434e+02       -2.0242e+02        0.998           1.8
   4      4.3121e+05       5.8911e+02       -1.6732e+02        1.000           2.5
   5      3.2578e+05       6.2617e+02       -1.3938e+02        1.000           3.2
   6      2.4612e+05       6.4162e+02       -1.1443e+02        1.000           3.7
   7      1.8594e+05       6.5169e+02       -9.5931e+01        1.000           4.1
   8      1.4048e+05       6.1520e+02       -7.9628e+01        1.000           4.6
   9      1.0613e+05       6.1849e+02       -7.0434e+01        1.000           5.0
  10      8.0180e+04       6.1636e+02       -6.3949e+01        1.000           5.5
  11      6.0575e+04       6.4846e+02       -6.4094e+01        1.000           5.9
  12      4.5764e+04       6.4816e+02       -6.4385e+01        1.000           6.3
  13      3.4574e+04       6.5311e+02       -6.8049e+01        1.000           6.8
  14      2.6121e+04       6.5093e+02       -7.1442e+01        1.000           7.5
  15      1.9734e+04       6.6840e+02       -7.9589e+01        1.000           8.2
  16      1.4909e+04       6.8167e+02       -8.9871e+01        1.000           8.6
  17      1.1263e+04       7.0146e+02       -1.0343e+02        1.000           9.1
  18      8.5095e+03       7.2282e+02       -1.2004e+02        1.000           9.5
  19      6.4288e+03       7.4108e+02       -1.4060e+02        1.000          10.0
  20      4.8569e+03       7.3329e+02       -1.6509e+02        1.000          10.5
  21      3.6694e+03       7.6681e+02       -1.9361e+02        1.000          10.9
  22      2.7722e+03       7.8783e+02       -2.2963e+02        1.000          11.4
  23      2.0944e+03       8.1378e+02       -2.7293e+02        1.000          11.8
  24      1.5823e+03       8.4077e+02       -3.2534e+02        1.000          12.3
  25      1.1954e+03       8.7575e+02       -3.8984e+02        1.000          12.8
  26      9.0311e+02       9.1888e+02       -4.6859e+02        1.000          13.2
  27      6.8229e+02       9.6751e+02       -5.6622e+02        1.000          13.7
  28      5.1546e+02       1.0188e+03       -6.8742e+02        1.000          14.1
  29      3.8943e+02       1.0824e+03       -8.3798e+02        0.999          14.6
  30      2.9421e+02       1.1584e+03       -1.0265e+03        1.000          15.1
  31      2.2227e+02       1.2484e+03       -1.2613e+03        0.999          15.5
  32      1.6793e+02       1.3547e+03       -1.5559e+03        0.999          16.0
  33      1.2687e+02       1.4836e+03       -1.9238e+03        0.998          16.4
  34      9.5846e+01       1.6657e+03       -2.3832e+03        0.998          17.0
  35      7.2411e+01       1.8928e+03       -2.9543e+03        0.998          17.5
  36      5.4092e+01       2.1839e+03       -3.6949e+03        0.997          18.9
  37      3.9533e+01       2.5914e+03       -4.6997e+03        0.997          20.7
  38      2.8174e+01       3.1747e+03       -6.0816e+03        0.997          22.5
  39      1.9503e+01       4.0306e+03       -8.0317e+03        0.996          24.6
  40      1.3058e+01       5.3252e+03       -1.0831e+04        0.996          26.4
  41      8.4196e+00       7.3808e+03       -1.4926e+04        0.995          28.7
  42      5.2123e+00       1.0692e+04       -2.1004e+04        0.995          31.4
  43      3.0979e+00       1.6060e+04       -3.0027e+04        0.995          34.8
  44      1.7783e+00       2.4776e+04       -4.3372e+04        0.995          39.8
  45      1.0000e+00       3.8252e+04       -6.2251e+04        0.994          44.4

