File.......:  cell10ppoclliftfsi50wt - OCT,31.2021

System.....:  
Potential..:  0.003V
Current....:  -28.549nA
Temperature:  -0.7 +-0.2 C
Time.......:  11:54:42 - 11:55:30
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.9306e+02       -1.9456e+02        0.999           0.0
   2      7.5549e+05       3.3326e+02       -1.7518e+02        0.998           1.3
   3      5.7077e+05       3.6400e+02       -1.5751e+02        0.999           1.8
   4      4.3121e+05       3.8522e+02       -1.3526e+02        1.000           2.5
   5      3.2578e+05       4.0303e+02       -1.1996e+02        1.000           3.2
   6      2.4612e+05       4.1681e+02       -1.0863e+02        1.000           3.7
   7      1.8594e+05       4.2845e+02       -1.0148e+02        1.000           4.1
   8      1.4048e+05       4.3954e+02       -9.8183e+01        1.000           4.6
   9      1.0613e+05       4.4885e+02       -9.9357e+01        1.000           5.0
  10      8.0180e+04       4.5951e+02       -1.0433e+02        1.000           5.5
  11      6.0575e+04       4.6902e+02       -1.1455e+02        1.000           5.9
  12      4.5764e+04       4.8132e+02       -1.2867e+02        1.000           6.3
  13      3.4574e+04       4.9539e+02       -1.4846e+02        1.000           6.8
  14      2.6121e+04       5.1118e+02       -1.7312e+02        1.000           7.3
  15      1.9734e+04       5.2994e+02       -2.0424e+02        1.000           7.7
  16      1.4909e+04       5.5142e+02       -2.4406e+02        1.000           8.2
  17      1.1263e+04       5.7848e+02       -2.9342e+02        1.000           8.6
  18      8.5095e+03       6.0513e+02       -3.5149e+02        0.999           9.3
  19      6.4288e+03       6.4276e+02       -4.2650e+02        1.000          10.0
  20      4.8569e+03       6.8896e+02       -5.1817e+02        0.999          10.5
  21      3.6694e+03       7.4643e+02       -6.2955e+02        1.000          10.9
  22      2.7722e+03       8.1559e+02       -7.6665e+02        0.999          11.4
  23      2.0944e+03       9.0077e+02       -9.3367e+02        0.998          11.8
  24      1.5823e+03       1.0054e+03       -1.1370e+03        0.998          12.3
  25      1.1954e+03       1.1336e+03       -1.3852e+03        0.999          12.8
  26      9.0311e+02       1.2927e+03       -1.6868e+03        0.998          13.2
  27      6.8229e+02       1.4899e+03       -2.0532e+03        0.999          13.7
  28      5.1546e+02       1.7362e+03       -2.4963e+03        0.998          14.1
  29      3.8943e+02       2.0491e+03       -3.0290e+03        0.998          14.6
  30      2.9421e+02       2.4375e+03       -3.6651e+03        0.997          15.1
  31      2.2227e+02       2.9295e+03       -4.4160e+03        0.998          15.5
  32      1.6793e+02       3.5350e+03       -5.2982e+03        0.998          16.0
  33      1.2687e+02       4.2723e+03       -6.3166e+03        0.997          16.7
  34      9.5846e+01       5.1846e+03       -7.4994e+03        0.997          17.4
  35      7.2411e+01       6.2879e+03       -8.8507e+03        0.997          18.0
  36      5.4092e+01       7.6438e+03       -1.0464e+04        0.997          19.4
  37      3.9533e+01       9.4064e+03       -1.2457e+04        0.997          21.2
  38      2.8174e+01       1.1688e+04       -1.4966e+04        0.997          22.7
  39      1.9503e+01       1.4673e+04       -1.8187e+04        0.996          24.3
  40      1.3058e+01       1.8632e+04       -2.2447e+04        0.996          26.2
  41      8.4196e+00       2.4029e+04       -2.8243e+04        0.995          28.3
  42      5.2123e+00       3.1575e+04       -3.6302e+04        0.995          31.0
  43      3.0979e+00       4.2232e+04       -4.7523e+04        0.994          34.4
  44      1.7783e+00       5.7446e+04       -6.3220e+04        0.993          41.2
  45      1.0000e+00       7.8139e+04       -8.4638e+04        0.991          45.9

