File.......:  cell1ppoclliftfsi20wt - OCT,31.2021

System.....:  
Potential..:  -0.046V
Current....:  10.718nA
Temperature:  -0.7 +-0.2 C
Time.......:  11:52:50 - 11:53:37
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.0246e+02       -2.4961e+02        0.999           0.0
   2      7.5549e+05       3.6239e+02       -2.3711e+02        0.999           1.3
   3      5.7077e+05       4.1576e+02       -2.1851e+02        0.999           1.8
   4      4.3121e+05       4.5425e+02       -1.8550e+02        1.000           2.5
   5      3.2578e+05       4.8554e+02       -1.5829e+02        1.000           3.2
   6      2.4612e+05       5.0841e+02       -1.3256e+02        1.000           3.7
   7      1.8594e+05       5.2488e+02       -1.1012e+02        1.000           4.1
   8      1.4048e+05       5.3765e+02       -9.1730e+01        1.000           4.6
   9      1.0613e+05       5.4576e+02       -7.7537e+01        1.000           5.0
  10      8.0180e+04       5.5330e+02       -6.6293e+01        1.000           5.5
  11      6.0575e+04       5.5731e+02       -6.0707e+01        1.000           5.9
  12      4.5764e+04       5.6265e+02       -5.6730e+01        1.000           6.3
  13      3.4574e+04       5.6826e+02       -5.6113e+01        1.000           6.8
  14      2.6121e+04       5.7287e+02       -5.7185e+01        1.000           7.3
  15      1.9734e+04       5.7821e+02       -6.0662e+01        1.000           7.7
  16      1.4909e+04       5.8392e+02       -6.7540e+01        1.000           8.2
  17      1.1263e+04       5.9142e+02       -7.6371e+01        1.000           8.6
  18      8.5095e+03       5.9882e+02       -8.8775e+01        1.000           9.1
  19      6.4288e+03       6.0828e+02       -1.0484e+02        1.000           9.6
  20      4.8569e+03       6.1924e+02       -1.2500e+02        1.000          10.0
  21      3.6694e+03       6.3252e+02       -1.4904e+02        1.000          10.5
  22      2.7722e+03       6.4799e+02       -1.8027e+02        1.000          10.9
  23      2.0944e+03       6.6143e+02       -2.1705e+02        1.000          11.6
  24      1.5823e+03       6.8371e+02       -2.6442e+02        1.000          12.3
  25      1.1954e+03       7.1061e+02       -3.2353e+02        0.999          12.8
  26      9.0311e+02       7.4395e+02       -3.9657e+02        1.000          13.2
  27      6.8229e+02       7.8544e+02       -4.8699e+02        1.000          13.7
  28      5.1546e+02       8.3769e+02       -5.9833e+02        1.000          14.1
  29      3.8943e+02       9.0524e+02       -7.3406e+02        0.999          14.6
  30      2.9421e+02       9.9047e+02       -8.9936e+02        1.000          15.1
  31      2.2227e+02       1.1005e+03       -1.0975e+03        0.999          15.5
  32      1.6793e+02       1.2387e+03       -1.3345e+03        0.999          16.0
  33      1.2687e+02       1.4125e+03       -1.6145e+03        0.999          16.4
  34      9.5846e+01       1.6291e+03       -1.9431e+03        0.999          17.0
  35      7.2411e+01       1.8951e+03       -2.3257e+03        0.999          17.5
  36      5.4092e+01       2.2226e+03       -2.7916e+03        0.999          18.9
  37      3.9533e+01       2.6596e+03       -3.3793e+03        0.999          20.7
  38      2.8174e+01       3.2335e+03       -4.1369e+03        1.000          22.1
  39      1.9503e+01       4.0008e+03       -5.1346e+03        1.000          23.7
  40      1.3058e+01       5.0356e+03       -6.4800e+03        1.000          26.1
  41      8.4196e+00       6.4755e+03       -8.3658e+03        1.000          28.8
  42      5.2123e+00       8.5230e+03       -1.1081e+04        1.000          31.4
  43      3.0979e+00       1.1501e+04       -1.5060e+04        0.999          34.8
  44      1.7783e+00       1.5923e+04       -2.0932e+04        0.999          39.8
  45      1.0000e+00       2.2323e+04       -2.9391e+04        0.998          44.4

