File.......:  cell4liftfsi - OCT,31.2021

System.....:  
Potential..:  0.050V
Current....:  -798.38pA
Temperature:  -0.8 +-0.1 C
Time.......:  11:51:06 - 11:51:54
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -1.6233e+01       -9.9947e+02        0.995           0.0
   2      7.5549e+05      -1.9277e+00       -1.3411e+03        0.997           1.8
   3      5.7077e+05      -5.1801e+01       -1.7642e+03        0.992           2.3
   4      4.3121e+05       8.5380e+01       -2.3010e+03        0.997           3.3
   5      3.2578e+05       1.1832e+02       -3.0189e+03        0.998           4.2
   6      2.4612e+05       1.6654e+02       -3.9401e+03        0.998           4.7
   7      1.8594e+05       2.2898e+02       -5.1911e+03        0.997           5.1
   8      1.4048e+05       3.2430e+02       -6.8115e+03        0.998           5.5
   9      1.0613e+05       4.3314e+02       -8.9064e+03        0.998           6.0
  10      8.0180e+04       7.4991e+02       -1.1721e+04        0.998           6.7
  11      6.0575e+04       9.4269e+02       -1.5337e+04        0.999           7.3
  12      4.5764e+04       1.1765e+03       -2.0128e+04        0.998           7.8
  13      3.4574e+04       1.4919e+03       -2.6422e+04        0.998           8.2
  14      2.6121e+04       1.9945e+03       -3.4658e+04        0.997           8.7
  15      1.9734e+04       2.6469e+03       -4.5509e+04        0.999           9.2
  16      1.4909e+04       3.6087e+03       -5.9713e+04        0.997           9.6
  17      1.1263e+04       4.9672e+03       -7.8522e+04        0.998          10.1
  18      8.5095e+03       8.7722e+03       -1.0344e+05        0.999          10.8
  19      6.4288e+03       1.1761e+04       -1.3547e+05        0.998          11.5
  20      4.8569e+03       1.6472e+04       -1.7740e+05        0.998          11.9
  21      3.6694e+03       2.4148e+04       -2.3278e+05        0.999          12.4
  22      2.7722e+03       3.5822e+04       -3.0458e+05        0.997          12.8
  23      2.0944e+03       5.4913e+04       -3.9801e+05        0.998          13.3
  24      1.5823e+03       8.5787e+04       -5.1858e+05        0.999          13.7
  25      1.1954e+03       1.3525e+05       -6.7258e+05        0.998          14.2
  26      9.0311e+02       2.3863e+05       -8.6383e+05        0.998          14.9
  27      6.8229e+02       3.6462e+05       -1.0951e+06        0.997          15.6
  28      5.1546e+02       5.5819e+05       -1.3627e+06        0.999          16.0
  29      3.8943e+02       8.5067e+05       -1.6500e+06        0.998          16.5
  30      2.9421e+02       1.2484e+06       -1.9152e+06        0.999          17.0
  31      2.2227e+02       1.7694e+06       -2.1044e+06        0.998          17.4
  32      1.6793e+02       2.3385e+06       -2.1765e+06        0.999          17.9
  33      1.2687e+02       2.9067e+06       -2.1101e+06        0.998          18.3
  34      9.5846e+01       3.4186e+06       -1.9002e+06        1.000          18.9
  35      7.2411e+01       3.8081e+06       -1.6362e+06        0.999          19.4
  36      5.4092e+01       4.2486e+06       -1.3094e+06        0.998          20.8
  37      3.9533e+01       4.2651e+06       -1.0946e+06        0.999          22.6
  38      2.8174e+01       4.4427e+06       -8.3317e+05        0.994          24.0
  39      1.9503e+01       4.5390e+06       -6.4784e+05        0.998          25.6
  40      1.3058e+01       4.6139e+06       -5.1619e+05        0.999          27.5
  41      8.4196e+00       4.6705e+06       -4.2083e+05        0.997          29.6
  42      5.2123e+00       4.7304e+06       -3.7382e+05        0.999          32.2
  43      3.0979e+00       4.8045e+06       -3.7345e+05        1.000          35.6
  44      1.7783e+00       4.8975e+06       -4.2064e+05        1.000          40.5
  45      1.0000e+00       5.0217e+06       -5.2094e+05        1.000          45.0

