File.......:  cell10ppobqliftfsi40wt - NOV,03.2021

System.....:  
Potential..:  0.004V
Current....:  1.9224nA
Temperature:  -0.8 +-0.1 C
Time.......:  15:56:03 - 15:56:52
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.7967e+02       -1.8238e+02        0.998           0.0
   2      7.5549e+05       3.1775e+02       -1.6397e+02        0.999           1.3
   3      5.7077e+05       3.4959e+02       -1.4725e+02        0.999           1.8
   4      4.3121e+05       3.7234e+02       -1.2555e+02        1.000           2.5
   5      3.2578e+05       3.9024e+02       -1.0822e+02        1.000           3.3
   6      2.4612e+05       4.0387e+02       -9.2919e+01        1.000           3.7
   7      1.8594e+05       4.1472e+02       -8.0943e+01        1.000           4.1
   8      1.4048e+05       4.2387e+02       -7.2754e+01        1.000           4.6
   9      1.0613e+05       4.3059e+02       -6.6790e+01        1.000           5.1
  10      8.0180e+04       4.3754e+02       -6.3704e+01        1.000           5.5
  11      6.0575e+04       4.4292e+02       -6.4646e+01        1.000           6.0
  12      4.5764e+04       4.4992e+02       -6.7377e+01        1.000           6.4
  13      3.4574e+04       4.5770e+02       -7.3340e+01        1.000           6.9
  14      2.6121e+04       4.6554e+02       -8.1264e+01        1.000           7.4
  15      1.9734e+04       4.7500e+02       -9.1988e+01        1.000           7.9
  16      1.4909e+04       4.8564e+02       -1.0642e+02        1.000           8.3
  17      1.1263e+04       4.9874e+02       -1.2421e+02        1.000           8.8
  18      8.5095e+03       5.1324e+02       -1.4614e+02        1.000           9.3
  19      6.4288e+03       5.3068e+02       -1.7332e+02        0.999           9.7
  20      4.8569e+03       5.5099e+02       -2.0614e+02        1.000          10.2
  21      3.6694e+03       5.7528e+02       -2.4498e+02        1.000          10.7
  22      2.7722e+03       6.0296e+02       -2.9328e+02        0.999          11.1
  23      2.0944e+03       6.3036e+02       -3.4931e+02        1.000          11.8
  24      1.5823e+03       6.6738e+02       -4.2070e+02        1.000          12.6
  25      1.1954e+03       7.0968e+02       -5.0912e+02        1.000          13.0
  26      9.0311e+02       7.5900e+02       -6.1875e+02        1.000          13.5
  27      6.8229e+02       8.1634e+02       -7.5579e+02        1.000          14.0
  28      5.1546e+02       8.8365e+02       -9.2778e+02        1.000          14.4
  29      3.8943e+02       9.6511e+02       -1.1435e+03        0.999          14.9
  30      2.9421e+02       1.0621e+03       -1.4155e+03        0.999          15.4
  31      2.2227e+02       1.1827e+03       -1.7575e+03        0.999          15.9
  32      1.6793e+02       1.3293e+03       -2.1886e+03        0.999          16.3
  33      1.2687e+02       1.5133e+03       -2.7310e+03        0.999          16.8
  34      9.5846e+01       1.7475e+03       -3.4131e+03        0.999          17.3
  35      7.2411e+01       2.0456e+03       -4.2670e+03        0.999          17.9
  36      5.4092e+01       2.4286e+03       -5.3718e+03        0.999          19.3
  37      3.9533e+01       2.9834e+03       -6.8797e+03        0.999          21.5
  38      2.8174e+01       3.7878e+03       -8.9779e+03        0.999          23.4
  39      1.9503e+01       4.9938e+03       -1.1948e+04        0.999          25.0
  40      1.3058e+01       6.8466e+03       -1.6235e+04        0.999          27.0
  41      8.4196e+00       9.7679e+03       -2.2549e+04        0.999          29.2
  42      5.2123e+00       1.4475e+04       -3.2017e+04        0.999          31.9
  43      3.0979e+00       2.2118e+04       -4.6360e+04        1.000          35.3
  44      1.7783e+00       3.4541e+04       -6.8057e+04        0.999          42.2
  45      1.0000e+00       5.3898e+04       -1.0007e+05        1.000          46.8

