File.......:  cell10 - NOV,09.2021

System.....:  
Potential..:  0.006V
Current....:  -15.763nA
Temperature:  -0.8 +-0.1 C
Time.......:  12:05:01 - 12:05:50
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.3133e+01        9.7078e-01        0.999           0.0
   2      7.5549e+05       2.3222e+01        2.1829e-01        0.999           1.3
   3      5.7077e+05       2.3234e+01       -4.4950e-01        1.000           1.8
   4      4.3121e+05       2.3530e+01       -1.1054e+00        1.000           2.3
   5      3.2578e+05       2.3647e+01       -1.7624e+00        1.000           2.8
   6      2.4612e+05       2.3866e+01       -2.4449e+00        1.000           3.3
   7      1.8594e+05       2.4002e+01       -3.1934e+00        1.000           3.8
   8      1.4048e+05       2.4691e+01       -4.0509e+00        1.000           4.3
   9      1.0613e+05       2.5264e+01       -5.0505e+00        1.000           4.8
  10      8.0180e+04       2.5781e+01       -6.2442e+00        1.000           5.3
  11      6.0575e+04       2.6636e+01       -7.7121e+00        1.000           5.8
  12      4.5764e+04       2.7502e+01       -9.5017e+00        1.000           6.3
  13      3.4574e+04       2.8531e+01       -1.1718e+01        1.000           6.8
  14      2.6121e+04       2.9764e+01       -1.4407e+01        1.000           7.3
  15      1.9734e+04       3.1109e+01       -1.7760e+01        1.000           7.8
  16      1.4909e+04       3.2696e+01       -2.1935e+01        1.000           8.3
  17      1.1263e+04       3.4621e+01       -2.7159e+01        0.999           8.8
  18      8.5095e+03       3.6915e+01       -3.3630e+01        0.999           9.4
  19      6.4288e+03       4.0015e+01       -4.1753e+01        0.999           9.9
  20      4.8569e+03       4.3816e+01       -5.1785e+01        0.999          10.4
  21      3.6694e+03       4.9874e+01       -6.4714e+01        1.000          11.2
  22      2.7722e+03       5.6790e+01       -8.0084e+01        0.998          11.9
  23      2.0944e+03       6.5030e+01       -9.8858e+01        0.999          12.4
  24      1.5823e+03       7.5719e+01       -1.2170e+02        0.999          13.0
  25      1.1954e+03       8.9042e+01       -1.4937e+02        0.999          13.5
  26      9.0311e+02       1.0569e+02       -1.8281e+02        0.998          14.0
  27      6.8229e+02       1.2614e+02       -2.2315e+02        0.998          14.5
  28      5.1546e+02       1.5106e+02       -2.7178e+02        0.999          15.0
  29      3.8943e+02       1.8135e+02       -3.3057e+02        0.998          15.5
  30      2.9421e+02       2.1737e+02       -4.0211e+02        0.998          16.1
  31      2.2227e+02       2.6131e+02       -4.8921e+02        0.999          16.6
  32      1.6793e+02       3.1356e+02       -5.9618e+02        0.999          17.0
  33      1.2687e+02       3.7304e+02       -7.2177e+02        0.999          17.8
  34      9.5846e+01       4.4909e+02       -8.8195e+02        0.999          18.7
  35      7.2411e+01       5.4208e+02       -1.0787e+03        0.999          19.3
  36      5.4092e+01       6.6073e+02       -1.3308e+03        0.999          20.8
  37      3.9533e+01       8.2237e+02       -1.6688e+03        0.999          22.7
  38      2.8174e+01       1.0462e+03       -2.1290e+03        0.999          24.1
  39      1.9503e+01       1.3642e+03       -2.7707e+03        0.999          25.9
  40      1.3058e+01       1.8263e+03       -3.6874e+03        0.999          27.8
  41      8.4196e+00       2.5274e+03       -5.0321e+03        0.999          30.0
  42      5.2123e+00       3.6203e+03       -7.0345e+03        0.998          33.3
  43      3.0979e+00       5.3869e+03       -1.0066e+04        0.998          37.3
  44      1.7783e+00       8.2542e+03       -1.4601e+04        0.998          42.4
  45      1.0000e+00       1.2950e+04       -2.1129e+04        0.998          47.1

