File.......:  cell4 - NOV,09.2021

System.....:  
Potential..:  -0.005V
Current....:  643.72pA
Temperature:  -0.8 +-0.1 C
Time.......:  12:03:27 - 12:04:16
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       4.6217e+01       -3.0717e+00        0.999           0.0
   2      7.5549e+05       4.6532e+01       -3.4810e+00        0.999           1.0
   3      5.7077e+05       4.6983e+01       -3.9720e+00        1.000           1.5
   4      4.3121e+05       4.7498e+01       -4.5356e+00        1.000           2.1
   5      3.2578e+05       4.8120e+01       -5.2117e+00        1.000           2.6
   6      2.4612e+05       4.8696e+01       -6.0390e+00        1.000           3.1
   7      1.8594e+05       4.9615e+01       -7.0212e+00        1.000           3.5
   8      1.4048e+05       5.0591e+01       -8.2171e+00        1.000           4.1
   9      1.0613e+05       5.1558e+01       -9.6945e+00        1.000           4.6
  10      8.0180e+04       5.2838e+01       -1.1381e+01        1.000           5.1
  11      6.0575e+04       5.4015e+01       -1.3607e+01        1.000           5.6
  12      4.5764e+04       5.5643e+01       -1.6163e+01        1.000           6.0
  13      3.4574e+04       5.7534e+01       -1.9411e+01        1.000           6.6
  14      2.6121e+04       5.9620e+01       -2.3310e+01        1.000           7.1
  15      1.9734e+04       6.2150e+01       -2.8094e+01        1.000           7.6
  16      1.4909e+04       6.5728e+01       -3.4314e+01        1.000           8.3
  17      1.1263e+04       6.9265e+01       -4.1798e+01        1.000           9.1
  18      8.5095e+03       7.3545e+01       -5.1013e+01        1.000           9.6
  19      6.4288e+03       7.8752e+01       -6.2452e+01        0.999          10.1
  20      4.8569e+03       8.5271e+01       -7.6535e+01        0.999          10.7
  21      3.6694e+03       9.3561e+01       -9.3709e+01        0.999          11.2
  22      2.7722e+03       1.0373e+02       -1.1488e+02        0.998          11.7
  23      2.0944e+03       1.1654e+02       -1.4068e+02        0.999          12.2
  24      1.5823e+03       1.3267e+02       -1.7196e+02        0.999          12.7
  25      1.1954e+03       1.5264e+02       -2.0978e+02        0.999          13.2
  26      9.0311e+02       1.7775e+02       -2.5501e+02        0.999          13.7
  27      6.8229e+02       2.0856e+02       -3.0933e+02        1.000          14.2
  28      5.1546e+02       2.4615e+02       -3.7390e+02        0.999          14.8
  29      3.8943e+02       2.9190e+02       -4.5081e+02        0.998          15.3
  30      2.9421e+02       3.4607e+02       -5.4273e+02        0.999          15.9
  31      2.2227e+02       4.0786e+02       -6.4799e+02        0.999          16.7
  32      1.6793e+02       4.8361e+02       -7.8016e+02        0.999          17.5
  33      1.2687e+02       5.7419e+02       -9.4098e+02        0.999          18.1
  34      9.5846e+01       6.8355e+02       -1.1370e+03        0.999          18.7
  35      7.2411e+01       8.1757e+02       -1.3750e+03        0.999          19.4
  36      5.4092e+01       9.8540e+02       -1.6767e+03        0.999          20.9
  37      3.9533e+01       1.2162e+03       -2.0736e+03        0.999          22.8
  38      2.8174e+01       1.5346e+03       -2.6037e+03        0.999          24.3
  39      1.9503e+01       1.9845e+03       -3.3212e+03        0.999          26.0
  40      1.3058e+01       2.6356e+03       -4.3110e+03        0.999          27.9
  41      8.4196e+00       3.5899e+03       -5.6900e+03        0.999          30.2
  42      5.2123e+00       5.0131e+03       -7.6482e+03        0.999          33.5
  43      3.0979e+00       7.1857e+03       -1.0460e+04        0.999          37.6
  44      1.7783e+00       1.0503e+04       -1.4447e+04        0.999          42.6
  45      1.0000e+00       1.5457e+04       -1.9917e+04        0.999          47.3

