File.......:  cell1ppoclliftfsi30wt1108 - NOV,09.2021

System.....:  
Potential..:  0.118V
Current....:  -1.723uA
Temperature:  -0.8 +-0.1 C
Time.......:  11:56:16 - 11:57:02
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.4520e+01       -2.8893e-01        0.999           0.0
   2      7.5549e+05       3.4579e+01       -7.6217e-01        0.999           1.0
   3      5.7077e+05       3.4641e+01       -1.1976e+00        1.000           1.5
   4      4.3121e+05       3.4729e+01       -1.5899e+00        1.000           2.3
   5      3.2578e+05       3.4928e+01       -2.0532e+00        1.000           3.0
   6      2.4612e+05       3.5158e+01       -2.5553e+00        1.000           3.4
   7      1.8594e+05       3.5542e+01       -3.1230e+00        1.000           3.8
   8      1.4048e+05       3.6050e+01       -3.7740e+00        1.000           4.3
   9      1.0613e+05       3.6570e+01       -4.5369e+00        1.000           4.8
  10      8.0180e+04       3.7287e+01       -5.4233e+00        1.000           5.2
  11      6.0575e+04       3.7995e+01       -6.5481e+00        1.000           5.7
  12      4.5764e+04       3.8937e+01       -7.8097e+00        1.000           6.1
  13      3.4574e+04       4.0070e+01       -9.3522e+00        1.000           6.6
  14      2.6121e+04       4.1394e+01       -1.1089e+01        1.000           7.0
  15      1.9734e+04       4.2996e+01       -1.3157e+01        1.000           7.5
  16      1.4909e+04       4.4736e+01       -1.5626e+01        1.000           7.9
  17      1.1263e+04       4.6883e+01       -1.8555e+01        1.000           8.4
  18      8.5095e+03       4.9342e+01       -2.2000e+01        1.000           8.8
  19      6.4288e+03       5.2390e+01       -2.6147e+01        0.999           9.3
  20      4.8569e+03       5.5877e+01       -3.1028e+01        1.000           9.8
  21      3.6694e+03       6.0786e+01       -3.7061e+01        1.000          10.4
  22      2.7722e+03       6.6003e+01       -4.3973e+01        1.000          11.1
  23      2.0944e+03       7.2326e+01       -5.2090e+01        0.999          11.6
  24      1.5823e+03       8.0086e+01       -6.1554e+01        0.999          12.0
  25      1.1954e+03       8.9448e+01       -7.2495e+01        0.999          12.5
  26      9.0311e+02       1.0089e+02       -8.4886e+01        0.999          13.0
  27      6.8229e+02       1.1482e+02       -9.8765e+01        0.999          13.4
  28      5.1546e+02       1.3156e+02       -1.1400e+02        0.998          13.9
  29      3.8943e+02       1.5153e+02       -1.3040e+02        0.998          14.3
  30      2.9421e+02       1.7490e+02       -1.4776e+02        0.998          14.8
  31      2.2227e+02       2.0204e+02       -1.6559e+02        0.998          15.3
  32      1.6793e+02       2.3270e+02       -1.8379e+02        0.998          15.7
  33      1.2687e+02       2.6669e+02       -2.0195e+02        0.998          16.2
  34      9.5846e+01       3.0388e+02       -2.2007e+02        0.998          16.7
  35      7.2411e+01       3.4379e+02       -2.3798e+02        0.998          17.3
  36      5.4092e+01       3.8692e+02       -2.5776e+02        0.998          18.7
  37      3.9533e+01       4.3637e+02       -2.7998e+02        0.998          20.5
  38      2.8174e+01       4.9302e+02       -3.0692e+02        0.998          21.9
  39      1.9503e+01       5.5842e+02       -3.4148e+02        0.998          23.5
  40      1.3058e+01       6.3098e+02       -3.8564e+02        0.998          25.8
  41      8.4196e+00       7.2401e+02       -4.5175e+02        0.997          28.4
  42      5.2123e+00       8.4205e+02       -5.4839e+02        0.997          31.0
  43      3.0979e+00       9.9677e+02       -6.9098e+02        0.996          34.4
  44      1.7783e+00       1.2049e+03       -9.0383e+02        0.995          39.3
  45      1.0000e+00       1.4935e+03       -1.2074e+03        0.993          43.9

