File.......:  cell3ppoclliftfsi40wt - NOV,10.2021

System.....:  
Potential..:  0.003V
Current....:  -17.38nA
Temperature:  -0.7 +-0.0 C
Time.......:  11:00:49 - 11:01:36
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.6121e+02       -2.6048e+01        0.999           0.0
   2      7.5549e+05       1.6286e+02       -2.0863e+01        0.999           1.0
   3      5.7077e+05       1.6361e+02       -1.6974e+01        0.999           1.5
   4      4.3121e+05       1.6416e+02       -1.4246e+01        1.000           2.3
   5      3.2578e+05       1.6479e+02       -1.2608e+01        1.000           3.0
   6      2.4612e+05       1.6535e+02       -1.1798e+01        1.000           3.4
   7      1.8594e+05       1.6603e+02       -1.1599e+01        1.000           3.9
   8      1.4048e+05       1.6673e+02       -1.2132e+01        1.000           4.4
   9      1.0613e+05       1.6756e+02       -1.3279e+01        1.000           4.8
  10      8.0180e+04       1.6863e+02       -1.5149e+01        1.000           5.3
  11      6.0575e+04       1.6978e+02       -1.7904e+01        1.000           5.7
  12      4.5764e+04       1.7139e+02       -2.1458e+01        1.000           6.2
  13      3.4574e+04       1.7341e+02       -2.6085e+01        1.000           6.7
  14      2.6121e+04       1.7590e+02       -3.1803e+01        1.000           7.1
  15      1.9734e+04       1.7908e+02       -3.8996e+01        1.000           7.6
  16      1.4909e+04       1.8304e+02       -4.7869e+01        1.000           8.1
  17      1.1263e+04       1.8813e+02       -5.8784e+01        0.999           8.5
  18      8.5095e+03       1.9441e+02       -7.2088e+01        1.000           9.0
  19      6.4288e+03       2.0197e+02       -8.8375e+01        1.000           9.5
  20      4.8569e+03       2.1117e+02       -1.0810e+02        1.000           9.9
  21      3.6694e+03       2.2293e+02       -1.3182e+02        1.000          10.4
  22      2.7722e+03       2.3968e+02       -1.6131e+02        0.999          10.9
  23      2.0944e+03       2.5400e+02       -1.9755e+02        0.999          11.4
  24      1.5823e+03       2.7277e+02       -2.4240e+02        1.000          11.8
  25      1.1954e+03       2.9533e+02       -2.9835e+02        0.999          12.3
  26      9.0311e+02       3.2297e+02       -3.6806e+02        0.999          12.8
  27      6.8229e+02       3.5664e+02       -4.5537e+02        0.998          13.2
  28      5.1546e+02       3.9869e+02       -5.6432e+02        0.998          13.7
  29      3.8943e+02       4.4850e+02       -6.9470e+02        0.998          14.4
  30      2.9421e+02       5.1516e+02       -8.6198e+02        0.998          15.1
  31      2.2227e+02       6.0092e+02       -1.0687e+03        0.999          15.6
  32      1.6793e+02       7.0940e+02       -1.3232e+03        0.999          16.1
  33      1.2687e+02       8.4794e+02       -1.6357e+03        0.999          16.5
  34      9.5846e+01       1.0248e+03       -2.0179e+03        0.999          17.1
  35      7.2411e+01       1.2503e+03       -2.4829e+03        0.999          17.7
  36      5.4092e+01       1.5436e+03       -3.0695e+03        0.999          19.1
  37      3.9533e+01       1.9597e+03       -3.8433e+03        0.999          20.9
  38      2.8174e+01       2.5503e+03       -4.8745e+03        0.999          22.4
  39      1.9503e+01       3.4050e+03       -6.2554e+03        0.999          24.4
  40      1.3058e+01       4.6703e+03       -8.1404e+03        0.999          26.7
  41      8.4196e+00       6.5611e+03       -1.0727e+04        0.999          29.0
  42      5.2123e+00       9.3988e+03       -1.4298e+04        0.999          31.7
  43      3.0979e+00       1.3626e+04       -1.9241e+04        0.999          35.1
  44      1.7783e+00       1.9856e+04       -2.6064e+04        0.999          40.1
  45      1.0000e+00       2.8675e+04       -3.5321e+04        0.999          44.7

