File.......:  cell2ppoclliftfsi20wt - NOV,10.2021

System.....:  
Potential..:  0.012V
Current....:  4.2935nA
Temperature:  -0.8 +-0.1 C
Time.......:  10:57:46 - 10:58:34
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       4.5560e+02       -5.6473e+02        0.999           0.0
   2      7.5549e+05       6.3055e+02       -5.7995e+02        0.996           1.3
   3      5.7077e+05       7.8826e+02       -5.7770e+02        0.998           1.8
   4      4.3121e+05       9.3823e+02       -5.0055e+02        0.994           2.3
   5      3.2578e+05       1.0426e+03       -4.3775e+02        0.991           2.8
   6      2.4612e+05       1.0956e+03       -3.6889e+02        0.997           3.3
   7      1.8594e+05       1.1369e+03       -2.7730e+02        0.998           3.8
   8      1.4048e+05       1.1665e+03       -2.2987e+02        0.995           4.3
   9      1.0613e+05       1.1652e+03       -1.8016e+02        0.999           5.1
  10      8.0180e+04       1.1820e+03       -1.4508e+02        1.000           5.8
  11      6.0575e+04       1.1920e+03       -1.1910e+02        1.000           6.3
  12      4.5764e+04       1.2042e+03       -9.9895e+01        1.000           6.8
  13      3.4574e+04       1.2102e+03       -8.6776e+01        1.000           7.3
  14      2.6121e+04       1.2176e+03       -7.7362e+01        1.000           7.9
  15      1.9734e+04       1.2209e+03       -7.2717e+01        1.000           8.4
  16      1.4909e+04       1.2302e+03       -7.1115e+01        1.000           8.9
  17      1.1263e+04       1.2412e+03       -7.3105e+01        1.000           9.4
  18      8.5095e+03       1.2490e+03       -7.8099e+01        1.000           9.9
  19      6.4288e+03       1.2722e+03       -8.6303e+01        1.000          10.4
  20      4.8569e+03       1.2954e+03       -9.6926e+01        1.000          10.9
  21      3.6694e+03       1.3093e+03       -1.0865e+02        1.000          11.4
  22      2.7722e+03       1.3082e+03       -1.2624e+02        1.000          11.9
  23      2.0944e+03       1.3367e+03       -1.4761e+02        1.000          12.4
  24      1.5823e+03       1.3522e+03       -1.7331e+02        1.000          13.0
  25      1.1954e+03       1.3723e+03       -2.0567e+02        1.000          13.5
  26      9.0311e+02       1.3918e+03       -2.4410e+02        1.000          14.0
  27      6.8229e+02       1.4091e+03       -2.9134e+02        1.000          14.5
  28      5.1546e+02       1.4348e+03       -3.4883e+02        1.000          15.0
  29      3.8943e+02       1.4765e+03       -4.1750e+02        1.000          15.5
  30      2.9421e+02       1.5216e+03       -5.0247e+02        0.999          16.1
  31      2.2227e+02       1.5841e+03       -6.0544e+02        1.000          16.6
  32      1.6793e+02       1.6530e+03       -7.3284e+02        1.000          17.0
  33      1.2687e+02       1.7249e+03       -8.9037e+02        1.000          17.6
  34      9.5846e+01       1.8153e+03       -1.0853e+03        1.000          18.2
  35      7.2411e+01       1.9375e+03       -1.3270e+03        0.999          18.8
  36      5.4092e+01       2.0931e+03       -1.6443e+03        0.999          20.2
  37      3.9533e+01       2.2869e+03       -2.0743e+03        0.999          22.1
  38      2.8174e+01       2.5530e+03       -2.6706e+03        0.999          23.5
  39      1.9503e+01       2.9812e+03       -3.4969e+03        0.999          25.2
  40      1.3058e+01       3.6824e+03       -4.6508e+03        0.999          27.1
  41      8.4196e+00       4.8365e+03       -6.2182e+03        0.999          29.8
  42      5.2123e+00       6.6447e+03       -8.3155e+03        0.999          32.9
  43      3.0979e+00       9.4549e+03       -1.0966e+04        0.999          36.3
  44      1.7783e+00       1.3432e+04       -1.4158e+04        0.999          41.4
  45      1.0000e+00       1.8820e+04       -1.7778e+04        0.999          46.0

