File.......:  cell1ppoclliftfsi20wt - NOV,10.2021

System.....:  
Potential..:  0.025V
Current....:  -120.67nA
Temperature:  -0.7 +-0.0 C
Time.......:  10:55:50 - 10:56:37
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       7.3146e+01       -5.1674e+00        0.999           0.0
   2      7.5549e+05       7.3430e+01       -4.3877e+00        0.999           1.0
   3      5.7077e+05       7.3528e+01       -3.9986e+00        1.000           1.5
   4      4.3121e+05       7.3538e+01       -3.6789e+00        0.999           2.1
   5      3.2578e+05       7.3587e+01       -3.5456e+00        1.000           2.6
   6      2.4612e+05       7.3688e+01       -3.5941e+00        1.000           3.1
   7      1.8594e+05       7.3874e+01       -3.8647e+00        1.000           3.5
   8      1.4048e+05       7.4271e+01       -4.2089e+00        1.000           4.1
   9      1.0613e+05       7.5022e+01       -4.7607e+00        1.000           4.6
  10      8.0180e+04       7.5872e+01       -5.5396e+00        1.000           5.1
  11      6.0575e+04       7.6654e+01       -6.4936e+00        1.000           5.6
  12      4.5764e+04       7.7243e+01       -7.7593e+00        1.000           6.0
  13      3.4574e+04       7.8066e+01       -9.3230e+00        1.000           6.6
  14      2.6121e+04       7.8998e+01       -1.1244e+01        1.000           7.1
  15      1.9734e+04       8.0268e+01       -1.3677e+01        1.000           7.6
  16      1.4909e+04       8.1849e+01       -1.6664e+01        1.000           8.1
  17      1.1263e+04       8.3902e+01       -2.0417e+01        1.000           8.6
  18      8.5095e+03       8.5795e+01       -2.5044e+01        1.000           9.1
  19      6.4288e+03       8.8282e+01       -3.0796e+01        1.000           9.6
  20      4.8569e+03       9.1731e+01       -3.7838e+01        1.000          10.1
  21      3.6694e+03       9.6125e+01       -4.6354e+01        1.000          10.6
  22      2.7722e+03       1.0132e+02       -5.6944e+01        1.000          11.1
  23      2.0944e+03       1.0795e+02       -6.9781e+01        1.000          11.7
  24      1.5823e+03       1.1687e+02       -8.5213e+01        0.999          12.2
  25      1.1954e+03       1.2824e+02       -1.0363e+02        1.000          12.7
  26      9.0311e+02       1.4327e+02       -1.2514e+02        0.999          13.2
  27      6.8229e+02       1.6275e+02       -1.4994e+02        0.998          13.7
  28      5.1546e+02       1.8775e+02       -1.7774e+02        0.999          14.2
  29      3.8943e+02       2.1902e+02       -2.0799e+02        1.000          14.8
  30      2.9421e+02       2.5699e+02       -2.3998e+02        1.000          15.3
  31      2.2227e+02       3.0282e+02       -2.7226e+02        0.999          15.8
  32      1.6793e+02       3.5552e+02       -3.0386e+02        0.999          16.3
  33      1.2687e+02       4.1516e+02       -3.3424e+02        0.999          16.8
  34      9.5846e+01       4.8056e+02       -3.6237e+02        0.999          17.4
  35      7.2411e+01       5.5031e+02       -3.8812e+02        0.999          18.0
  36      5.4092e+01       6.1878e+02       -4.1156e+02        0.999          20.0
  37      3.9533e+01       7.0176e+02       -4.3861e+02        0.999          22.2
  38      2.8174e+01       7.9438e+02       -4.6985e+02        1.000          23.7
  39      1.9503e+01       8.9954e+02       -5.0858e+02        1.000          25.3
  40      1.3058e+01       1.0204e+03       -5.5977e+02        1.000          27.2
  41      8.4196e+00       1.1633e+03       -6.3150e+02        1.000          29.4
  42      5.2123e+00       1.3377e+03       -7.3410e+02        0.999          32.2
  43      3.0979e+00       1.5567e+03       -8.8514e+02        1.000          35.5
  44      1.7783e+00       1.8361e+03       -1.1028e+03        0.999          40.5
  45      1.0000e+00       2.1940e+03       -1.4167e+03        0.999          45.2

