File.......:  cell1ppocllitfsi20wt - NOV,11.2021

System.....:  
Potential..:  -0.034V
Current....:  1.3663nA
Temperature:  -0.7 +-0.1 C
Time.......:  08:40:15 - 08:41:05
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       8.4957e+01       -5.7114e+02        0.996           0.0
   2      7.5549e+05       1.1054e+02       -7.5259e+02        0.997           1.5
   3      5.7077e+05       1.3261e+02       -9.5614e+02        0.991           2.1
   4      4.3121e+05       2.5128e+02       -1.2039e+03        0.992           2.6
   5      3.2578e+05       2.7324e+02       -1.5856e+03        0.984           3.1
   6      2.4612e+05       4.6087e+02       -2.0321e+03        0.986           3.6
   7      1.8594e+05       6.2316e+02       -2.7861e+03        0.985           4.0
   8      1.4048e+05       8.2432e+02       -3.4162e+03        0.972           4.6
   9      1.0613e+05       1.0763e+03       -4.1455e+03        0.995           5.3
  10      8.0180e+04       1.6285e+03       -5.2559e+03        0.978           6.1
  11      6.0575e+04       2.4376e+03       -6.8024e+03        0.996           6.6
  12      4.5764e+04       3.4548e+03       -8.1802e+03        0.991           7.1
  13      3.4574e+04       5.0012e+03       -1.0044e+04        0.988           7.6
  14      2.6121e+04       7.1319e+03       -1.1775e+04        0.996           8.1
  15      1.9734e+04       1.0063e+04       -1.3472e+04        0.999           8.9
  16      1.4909e+04       1.3426e+04       -1.4611e+04        0.998           9.6
  17      1.1263e+04       1.7193e+04       -1.4960e+04        0.999          10.1
  18      8.5095e+03       2.0810e+04       -1.4622e+04        0.997          10.7
  19      6.4288e+03       2.3883e+04       -1.3715e+04        0.999          11.2
  20      4.8569e+03       2.6740e+04       -1.2231e+04        0.996          11.7
  21      3.6694e+03       2.8846e+04       -1.0991e+04        0.999          12.2
  22      2.7722e+03       3.0508e+04       -9.8027e+03        1.000          12.7
  23      2.0944e+03       3.1740e+04       -8.8204e+03        0.999          13.2
  24      1.5823e+03       3.2794e+04       -8.1297e+03        0.999          13.7
  25      1.1954e+03       3.3743e+04       -7.8133e+03        0.999          14.3
  26      9.0311e+02       3.4519e+04       -7.7475e+03        1.000          14.8
  27      6.8229e+02       3.5368e+04       -8.0213e+03        1.000          15.3
  28      5.1546e+02       3.6276e+04       -8.6059e+03        1.000          15.8
  29      3.8943e+02       3.7321e+04       -9.4237e+03        1.000          16.3
  30      2.9421e+02       3.8468e+04       -1.0594e+04        1.000          16.8
  31      2.2227e+02       3.9808e+04       -1.2128e+04        0.999          17.3
  32      1.6793e+02       4.1297e+04       -1.3986e+04        0.999          17.8
  33      1.2687e+02       4.3067e+04       -1.6249e+04        0.999          18.4
  34      9.5846e+01       4.5393e+04       -1.8953e+04        1.000          18.9
  35      7.2411e+01       4.7954e+04       -2.2510e+04        1.000          19.6
  36      5.4092e+01       4.9519e+04       -2.6033e+04        0.999          21.0
  37      3.9533e+01       5.4936e+04       -3.1704e+04        0.999          22.8
  38      2.8174e+01       5.9931e+04       -3.9068e+04        0.998          24.7
  39      1.9503e+01       6.7106e+04       -4.8690e+04        0.998          26.8
  40      1.3058e+01       7.7397e+04       -6.1884e+04        0.998          28.7
  41      8.4196e+00       9.1891e+04       -7.9865e+04        0.997          30.9
  42      5.2123e+00       1.1287e+05       -1.0540e+05        0.998          33.6
  43      3.0979e+00       1.4396e+05       -1.4075e+05        0.999          37.0
  44      1.7783e+00       1.9063e+05       -1.8948e+05        0.999          42.0
  45      1.0000e+00       2.5725e+05       -2.5390e+05        0.999          46.6


