File.......:  cell10ppoclliftfsi30wt - NOV,11.2021

System.....:  
Potential..:  0.016V
Current....:  84.171pA
Temperature:  -0.7 +-0.1 C
Time.......:  08:45:29 - 08:46:19
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       8.2426e+01       -6.5775e+02        0.993           0.0
   2      7.5549e+05       1.3517e+02       -8.4720e+02        0.996           1.5
   3      5.7077e+05       1.8655e+02       -1.1317e+03        0.995           2.1
   4      4.3121e+05       3.4663e+02       -1.4290e+03        0.982           2.6
   5      3.2578e+05       5.2447e+02       -1.8330e+03        0.990           3.1
   6      2.4612e+05       8.3602e+02       -2.3791e+03        0.985           3.6
   7      1.8594e+05       1.1490e+03       -2.6933e+03        0.967           4.0
   8      1.4048e+05       1.4430e+03       -3.3222e+03        0.977           4.6
   9      1.0613e+05       2.5271e+03       -3.8867e+03        0.993           5.3
  10      8.0180e+04       3.3671e+03       -4.4232e+03        0.989           6.1
  11      6.0575e+04       4.4259e+03       -4.7692e+03        0.995           6.6
  12      4.5764e+04       5.5617e+03       -4.5874e+03        0.993           7.1
  13      3.4574e+04       6.6381e+03       -4.6645e+03        0.992           7.6
  14      2.6121e+04       7.6702e+03       -4.3187e+03        0.998           8.1
  15      1.9734e+04       8.4650e+03       -3.9526e+03        0.998           8.6
  16      1.4909e+04       9.1004e+03       -3.6198e+03        0.999           9.4
  17      1.1263e+04       9.5979e+03       -3.3552e+03        0.999          10.1
  18      8.5095e+03       1.0023e+04       -3.2255e+03        0.999          10.7
  19      6.4288e+03       1.0408e+04       -3.1734e+03        0.999          11.2
  20      4.8569e+03       1.0679e+04       -3.2303e+03        0.999          11.7
  21      3.6694e+03       1.1178e+04       -3.3587e+03        1.000          12.2
  22      2.7722e+03       1.1598e+04       -3.6367e+03        1.000          12.7
  23      2.0944e+03       1.2042e+04       -4.0344e+03        1.000          13.2
  24      1.5823e+03       1.2565e+04       -4.5426e+03        0.999          13.7
  25      1.1954e+03       1.3155e+04       -5.1758e+03        1.000          14.3
  26      9.0311e+02       1.3852e+04       -5.9657e+03        0.999          14.8
  27      6.8229e+02       1.4644e+04       -6.9212e+03        0.999          15.3
  28      5.1546e+02       1.5561e+04       -8.0690e+03        0.999          15.8
  29      3.8943e+02       1.6648e+04       -9.4291e+03        0.999          16.3
  30      2.9421e+02       1.7911e+04       -1.1053e+04        1.000          16.8
  31      2.2227e+02       1.9357e+04       -1.2989e+04        0.999          17.3
  32      1.6793e+02       2.1105e+04       -1.5315e+04        0.999          17.8
  33      1.2687e+02       2.3137e+04       -1.8067e+04        0.998          18.3
  34      9.5846e+01       2.5642e+04       -2.1321e+04        0.999          18.9
  35      7.2411e+01       2.8536e+04       -2.5305e+04        0.999          19.6
  36      5.4092e+01       3.2927e+04       -3.0000e+04        0.999          21.0
  37      3.9533e+01       3.6858e+04       -3.6426e+04        0.999          22.8
  38      2.8174e+01       4.3043e+04       -4.4412e+04        0.997          24.3
  39      1.9503e+01       5.1304e+04       -5.4919e+04        0.999          26.0
  40      1.3058e+01       6.2941e+04       -6.9152e+04        0.998          28.3
  41      8.4196e+00       7.8994e+04       -8.8506e+04        0.996          31.0
  42      5.2123e+00       1.0232e+05       -1.1531e+05        0.999          33.7
  43      3.0979e+00       1.3537e+05       -1.5328e+05        0.999          37.1
  44      1.7783e+00       1.8232e+05       -2.0725e+05        0.999          42.1
  45      1.0000e+00       2.4629e+05       -2.8347e+05        0.999          46.7

