File.......:  cell3ppoclliftfsi40wt - NOV,12.2021

System.....:  
Potential..:  -0.020V
Current....:  -18.098nA
Temperature:  -0.7 +-0.1 C
Time.......:  11:47:00 - 11:47:47
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.1121e+02       -1.2576e+02        0.999           0.0
   2      7.5549e+05       3.3118e+02       -1.0221e+02        0.999           1.3
   3      5.7077e+05       3.4473e+02       -8.4012e+01        0.999           1.8
   4      4.3121e+05       3.5043e+02       -6.5691e+01        1.000           2.5
   5      3.2578e+05       3.5610e+02       -5.3649e+01        1.000           3.2
   6      2.4612e+05       3.5950e+02       -4.4418e+01        1.000           3.7
   7      1.8594e+05       3.6253e+02       -3.7973e+01        1.000           4.1
   8      1.4048e+05       3.6517e+02       -3.3688e+01        1.000           4.6
   9      1.0613e+05       3.6676e+02       -3.1335e+01        1.000           5.0
  10      8.0180e+04       3.6909e+02       -3.0741e+01        1.000           5.5
  11      6.0575e+04       3.7077e+02       -3.2794e+01        1.000           5.9
  12      4.5764e+04       3.7352e+02       -3.5848e+01        1.000           6.3
  13      3.4574e+04       3.7702e+02       -4.0994e+01        1.000           6.8
  14      2.6121e+04       3.8076e+02       -4.7519e+01        1.000           7.3
  15      1.9734e+04       3.8559e+02       -5.6190e+01        1.000           7.7
  16      1.4909e+04       3.9137e+02       -6.7485e+01        1.000           8.2
  17      1.1263e+04       3.9903e+02       -8.1311e+01        1.000           8.6
  18      8.5095e+03       4.0784e+02       -9.8334e+01        1.000           9.1
  19      6.4288e+03       4.1898e+02       -1.1922e+02        1.000           9.6
  20      4.8569e+03       4.3250e+02       -1.4438e+02        0.999          10.0
  21      3.6694e+03       4.4924e+02       -1.7396e+02        1.000          10.5
  22      2.7722e+03       4.6873e+02       -2.1065e+02        0.999          10.9
  23      2.0944e+03       4.9197e+02       -2.5508e+02        0.999          11.4
  24      1.5823e+03       5.1992e+02       -3.0917e+02        1.000          11.8
  25      1.1954e+03       5.5258e+02       -3.7567e+02        1.000          12.3
  26      9.0311e+02       5.8746e+02       -4.5351e+02        1.000          13.0
  27      6.8229e+02       6.3386e+02       -5.5301e+02        0.999          13.7
  28      5.1546e+02       6.8959e+02       -6.7578e+02        1.000          14.1
  29      3.8943e+02       7.5779e+02       -8.2722e+02        0.999          14.6
  30      2.9421e+02       8.3981e+02       -1.0145e+03        1.000          15.1
  31      2.2227e+02       9.4135e+02       -1.2457e+03        0.999          15.5
  32      1.6793e+02       1.0645e+03       -1.5319e+03        0.999          16.0
  33      1.2687e+02       1.2165e+03       -1.8855e+03        0.999          16.4
  34      9.5846e+01       1.4052e+03       -2.3231e+03        0.999          17.0
  35      7.2411e+01       1.6414e+03       -2.8617e+03        0.999          17.5
  36      5.4092e+01       1.9408e+03       -3.5539e+03        0.999          18.9
  37      3.9533e+01       2.3620e+03       -4.4871e+03        0.999          20.7
  38      2.8174e+01       2.9586e+03       -5.7659e+03        0.999          22.2
  39      1.9503e+01       3.8327e+03       -7.5404e+03        0.999          24.2
  40      1.3058e+01       5.1668e+03       -1.0065e+04        0.999          26.5
  41      8.4196e+00       7.2661e+03       -1.3686e+04        0.999          28.8
  42      5.2123e+00       1.0632e+04       -1.8904e+04        0.999          31.5
  43      3.0979e+00       1.6040e+04       -2.6313e+04        0.999          34.9
  44      1.7783e+00       2.4583e+04       -3.6651e+04        0.999          39.9
  45      1.0000e+00       3.7267e+04       -5.0343e+04        1.000          44.5

