File.......:  cell10ppocllifsi30wt - NOV,18.2021

System.....:  
Potential..:  0.022V
Current....:  -15.801nA
Temperature:  -0.7 +-0.1 C
Time.......:  14:21:29 - 14:22:17
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.1596e+02       -5.7621e+02        0.999           0.0
   2      7.5549e+05       1.7739e+02       -7.3534e+02        0.997           1.5
   3      5.7077e+05       2.3383e+02       -9.3776e+02        0.998           2.1
   4      4.3121e+05       3.7950e+02       -1.1465e+03        0.998           3.0
   5      3.2578e+05       5.2979e+02       -1.4232e+03        0.998           4.0
   6      2.4612e+05       7.3758e+02       -1.7478e+03        0.999           4.4
   7      1.8594e+05       1.0137e+03       -2.1207e+03        0.998           4.8
   8      1.4048e+05       1.3932e+03       -2.5327e+03        0.999           5.3
   9      1.0613e+05       1.8774e+03       -2.9741e+03        0.999           5.7
  10      8.0180e+04       2.4935e+03       -3.4097e+03        0.998           6.2
  11      6.0575e+04       3.2155e+03       -3.8002e+03        0.999           6.6
  12      4.5764e+04       4.0519e+03       -4.1224e+03        0.999           7.1
  13      3.4574e+04       4.9508e+03       -4.3659e+03        0.999           7.5
  14      2.6121e+04       5.9024e+03       -4.4674e+03        0.999           8.2
  15      1.9734e+04       6.8185e+03       -4.5245e+03        0.999           8.9
  16      1.4909e+04       7.7036e+03       -4.5178e+03        0.999           9.4
  17      1.1263e+04       8.5468e+03       -4.4823e+03        1.000           9.8
  18      8.5095e+03       9.3439e+03       -4.4403e+03        0.999          10.3
  19      6.4288e+03       1.0103e+04       -4.4143e+03        1.000          10.7
  20      4.8569e+03       1.0835e+04       -4.4072e+03        1.000          11.2
  21      3.6694e+03       1.1555e+04       -4.4300e+03        1.000          11.6
  22      2.7722e+03       1.2257e+04       -4.5148e+03        1.000          12.1
  23      2.0944e+03       1.2964e+04       -4.6511e+03        0.999          12.6
  24      1.5823e+03       1.3681e+04       -4.8504e+03        0.999          13.0
  25      1.1954e+03       1.4419e+04       -5.1309e+03        1.000          13.5
  26      9.0311e+02       1.5193e+04       -5.4914e+03        0.999          13.9
  27      6.8229e+02       1.6014e+04       -5.9533e+03        1.000          14.4
  28      5.1546e+02       1.6897e+04       -6.5277e+03        1.000          14.9
  29      3.8943e+02       1.7880e+04       -7.2167e+03        1.000          15.3
  30      2.9421e+02       1.8953e+04       -8.0605e+03        1.000          15.8
  31      2.2227e+02       2.0172e+04       -9.0453e+03        1.000          16.2
  32      1.6793e+02       2.1537e+04       -1.0224e+04        1.000          16.7
  33      1.2687e+02       2.3093e+04       -1.1595e+04        1.000          17.2
  34      9.5846e+01       2.4891e+04       -1.3174e+04        0.999          17.7
  35      7.2411e+01       2.6942e+04       -1.4967e+04        0.999          18.3
  36      5.4092e+01       2.9323e+04       -1.7134e+04        0.999          19.7
  37      3.9533e+01       3.2353e+04       -1.9785e+04        0.999          21.4
  38      2.8174e+01       3.6154e+04       -2.3072e+04        0.999          22.8
  39      1.9503e+01       4.1018e+04       -2.7229e+04        0.999          24.4
  40      1.3058e+01       4.7338e+04       -3.2611e+04        0.999          26.3
  41      8.4196e+00       5.5770e+04       -3.9656e+04        0.999          28.4
  42      5.2123e+00       6.7267e+04       -4.9048e+04        0.999          31.6
  43      3.0979e+00       8.3131e+04       -6.1397e+04        1.000          35.4
  44      1.7783e+00       1.0527e+05       -7.7521e+04        1.000          40.4
  45      1.0000e+00       1.3504e+05       -9.6972e+04        0.999          45.0

