File.......:  cell4ppocllifsi30wt - NOV,18.2021

System.....:  
Potential..:  -0.005V
Current....:  17.67nA
Temperature:  -0.7 +-0.1 C
Time.......:  14:19:50 - 14:20:36
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       4.4842e+01       -7.8272e+02        0.999           0.0
   2      7.5549e+05       7.6897e+01       -1.0299e+03        0.996           1.5
   3      5.7077e+05       8.3924e+01       -1.3498e+03        0.997           2.1
   4      4.3121e+05       2.2578e+02       -1.7030e+03        0.998           3.0
   5      3.2578e+05       3.3331e+02       -2.2039e+03        0.998           4.0
   6      2.4612e+05       4.9466e+02       -2.8245e+03        0.999           4.4
   7      1.8594e+05       7.0419e+02       -3.6397e+03        0.998           4.8
   8      1.4048e+05       1.0680e+03       -4.6469e+03        0.999           5.3
   9      1.0613e+05       1.5221e+03       -5.9231e+03        0.998           5.7
  10      8.0180e+04       2.2249e+03       -7.4806e+03        0.999           6.2
  11      6.0575e+04       3.3329e+03       -9.3140e+03        0.999           6.9
  12      4.5764e+04       4.7560e+03       -1.1498e+04        0.999           7.5
  13      3.4574e+04       6.7523e+03       -1.3971e+04        0.999           8.0
  14      2.6121e+04       9.4411e+03       -1.6588e+04        0.999           8.5
  15      1.9734e+04       1.2934e+04       -1.9205e+04        0.999           8.9
  16      1.4909e+04       1.7195e+04       -2.1554e+04        0.998           9.4
  17      1.1263e+04       2.2131e+04       -2.3374e+04        0.999           9.8
  18      8.5095e+03       2.7480e+04       -2.4509e+04        1.000          10.3
  19      6.4288e+03       3.2913e+04       -2.4917e+04        0.999          10.7
  20      4.8569e+03       3.8134e+04       -2.4716e+04        0.999          11.2
  21      3.6694e+03       4.3063e+04       -2.3965e+04        1.000          11.6
  22      2.7722e+03       4.7489e+04       -2.3137e+04        0.999          12.1
  23      2.0944e+03       5.1497e+04       -2.2287e+04        0.999          12.6
  24      1.5823e+03       5.5163e+04       -2.1574e+04        0.999          13.0
  25      1.1954e+03       5.8544e+04       -2.1121e+04        1.000          13.5
  26      9.0311e+02       6.1762e+04       -2.0939e+04        1.000          13.9
  27      6.8229e+02       6.4893e+04       -2.1111e+04        1.000          14.4
  28      5.1546e+02       6.8012e+04       -2.1591e+04        1.000          15.1
  29      3.8943e+02       7.1214e+04       -2.2493e+04        1.000          15.8
  30      2.9421e+02       7.4476e+04       -2.3881e+04        1.000          16.3
  31      2.2227e+02       7.7980e+04       -2.5703e+04        1.000          16.7
  32      1.6793e+02       8.1721e+04       -2.8104e+04        1.000          17.1
  33      1.2687e+02       8.5857e+04       -3.1103e+04        1.000          17.6
  34      9.5846e+01       9.0513e+04       -3.4747e+04        1.000          18.1
  35      7.2411e+01       9.5838e+04       -3.8999e+04        1.000          18.7
  36      5.4092e+01       1.0199e+05       -4.4197e+04        1.000          20.1
  37      3.9533e+01       1.1009e+05       -5.0759e+04        1.000          21.9
  38      2.8174e+01       1.2017e+05       -5.8661e+04        1.000          23.3
  39      1.9503e+01       1.3326e+05       -6.8365e+04        0.999          24.9
  40      1.3058e+01       1.5032e+05       -8.0327e+04        1.000          26.7
  41      8.4196e+00       1.7284e+05       -9.4849e+04        0.999          28.9
  42      5.2123e+00       2.0278e+05       -1.1241e+05        0.999          31.5
  43      3.0979e+00       2.4197e+05       -1.3267e+05        0.999          34.8
  44      1.7783e+00       2.9199e+05       -1.5602e+05        0.998          39.8
  45      1.0000e+00       3.5275e+05       -1.8035e+05        0.998          44.3

