File.......:  cell10ppochloranillibf4 - NOV,23.2021

System.....:  
Potential..:  -0.023V
Current....:  -244.58pA
Temperature:  -0.8 +-0.2 C
Time.......:  19:49:51 - 19:50:40
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       6.0169e+01       -6.9374e+02        0.996           0.0
   2      7.5549e+05       9.4746e+01       -9.0988e+02        0.997           1.8
   3      5.7077e+05       8.9872e+01       -1.1776e+03        0.997           2.3
   4      4.3121e+05       1.7549e+02       -1.5116e+03        0.998           3.3
   5      3.2578e+05       2.2546e+02       -1.9646e+03        0.998           4.2
   6      2.4612e+05       2.9415e+02       -2.5504e+03        0.998           4.7
   7      1.8594e+05       3.6938e+02       -3.3100e+03        0.998           5.1
   8      1.4048e+05       4.7478e+02       -4.2982e+03        0.999           5.5
   9      1.0613e+05       6.1313e+02       -5.5768e+03        0.999           6.0
  10      8.0180e+04       7.8255e+02       -7.2512e+03        0.999           6.4
  11      6.0575e+04       1.1217e+03       -9.4142e+03        0.999           7.1
  12      4.5764e+04       1.4187e+03       -1.2235e+04        0.998           7.8
  13      3.4574e+04       1.8113e+03       -1.5921e+04        0.999           8.2
  14      2.6121e+04       2.3870e+03       -2.0694e+04        0.999           8.7
  15      1.9734e+04       3.1646e+03       -2.6943e+04        0.999           9.2
  16      1.4909e+04       4.2182e+03       -3.5002e+04        0.999           9.6
  17      1.1263e+04       5.7280e+03       -4.5509e+04        0.999          10.1
  18      8.5095e+03       7.8585e+03       -5.9112e+04        0.999          10.5
  19      6.4288e+03       1.0938e+04       -7.6665e+04        0.998          11.0
  20      4.8569e+03       1.6548e+04       -9.9254e+04        0.998          11.7
  21      3.6694e+03       2.3493e+04       -1.2822e+05        0.999          12.4
  22      2.7722e+03       3.3633e+04       -1.6494e+05        0.999          12.8
  23      2.0944e+03       4.8760e+04       -2.1116e+05        0.997          13.3
  24      1.5823e+03       7.1147e+04       -2.6835e+05        0.998          13.7
  25      1.1954e+03       1.0364e+05       -3.3785e+05        1.000          14.2
  26      9.0311e+02       1.4963e+05       -4.1956e+05        0.998          14.7
  27      6.8229e+02       2.1180e+05       -5.1300e+05        0.999          15.1
  28      5.1546e+02       2.9219e+05       -6.1721e+05        0.999          15.6
  29      3.8943e+02       4.0129e+05       -7.2496e+05        0.998          16.3
  30      2.9421e+02       5.1780e+05       -8.4639e+05        0.999          17.0
  31      2.2227e+02       6.5170e+05       -9.8033e+05        0.999          17.4
  32      1.6793e+02       8.0678e+05       -1.1280e+06        0.998          17.9
  33      1.2687e+02       9.8041e+05       -1.3008e+06        0.999          18.3
  34      9.5846e+01       1.1878e+06       -1.4913e+06        0.999          18.9
  35      7.2411e+01       1.4164e+06       -1.7114e+06        0.999          19.4
  36      5.4092e+01       1.7588e+06       -2.0871e+06        0.997          20.8
  37      3.9533e+01       2.0580e+06       -2.2927e+06        0.999          22.6
  38      2.8174e+01       2.5426e+06       -2.7463e+06        0.994          24.0
  39      1.9503e+01       3.1192e+06       -3.2181e+06        0.995          25.7
  40      1.3058e+01       3.9608e+06       -3.8131e+06        0.996          27.6
  41      8.4196e+00       5.0770e+06       -4.5428e+06        0.995          29.8
  42      5.2123e+00       6.5368e+06       -5.3607e+06        0.998          32.4
  43      3.0979e+00       8.3957e+06       -6.2228e+06        0.999          36.5
  44      1.7783e+00       1.0632e+07       -7.2073e+06        0.999          42.1
  45      1.0000e+00       1.3116e+07       -8.4602e+06        0.998          46.7

